Name,Number,Rarity
Oddish,1/149,Common
Gloom,2/149,Uncommon
Vileplume,3/149,Rare Holo
Bellossom,4/149,Rare
Tangela,5/149,Common
Tangrowth,6/149,Rare Holo
Scyther,7/149,Common
Heracross,8/149,Uncommon
Celebi-EX,9/149,Rare Holo EX
Shaymin,10/149,Rare
Snivy,11/149,Common
Servine,12/149,Uncommon
Serperior,13/149,Rare Holo
Cottonee,14/149,Common
Whimsicott,15/149,Rare
Petilil,16/149,Uncommon
Lilligant,17/149,Rare
Charmander,18/149,Common
Charmeleon,19/149,Uncommon
Charizard,20/149,Rare Holo
Numel,21/149,Common
Camerupt,22/149,Rare
Victini,23/149,Rare
Tepig,24/149,Common
Pignite,25/149,Uncommon
Emboar,26/149,Rare Holo
Darumaka,27/149,Common
Darmanitan,28/149,Uncommon
Squirtle,29/149,Common
Wartortle,30/149,Uncommon
Blastoise,31/149,Rare Holo
Psyduck,32/149,Common
Psyduck,33/149,Common
Golduck,34/149,Uncommon
Golduck,35/149,Rare
Marill,36/149,Common
Azumarill,37/149,Uncommon
Delibird,38/149,Uncommon
Oshawott,39/149,Common
Dewott,40/149,Uncommon
Samurott,41/149,Rare Holo
Ducklett,42/149,Common
Swanna,43/149,Uncommon
Frillish,44/149,Common
Jellicent,45/149,Rare
Cryogonal,46/149,Uncommon
Keldeo,47/149,Rare Holo
Keldeo,48/149,Rare
Keldeo-EX,49/149,Rare Holo EX
Pikachu,50/149,Common
Voltorb,51/149,Common
Electrode,52/149,Uncommon
Electabuzz,53/149,Common
Electivire,54/149,Rare Holo
Chinchou,55/149,Common
Blitzle,56/149,Common
Zebstrika,57/149,Rare Holo
Wobbuffet,58/149,Uncommon
Spoink,59/149,Common
Grumpig,60/149,Rare
Duskull,61/149,Common
Dusclops,62/149,Uncommon
Dusknoir,63/149,Rare Holo
Croagunk,64/149,Common
Croagunk,65/149,Uncommon
Toxicroak,66/149,Rare
Cresselia-EX,67/149,Rare Holo EX
Munna,68/149,Uncommon
Musharna,69/149,Rare
Woobat,70/149,Common
Swoobat,71/149,Rare
Venipede,72/149,Common
Whirlipede,73/149,Uncommon
Scolipede,74/149,Rare Holo
Gothita,75/149,Common
Gothorita,76/149,Uncommon
Meloetta,77/149,Rare Holo
Sandshrew,78/149,Common
Sandslash,79/149,Uncommon
Gligar,80/149,Common
Gliscor,81/149,Rare Holo
Makuhita,82/149,Common
Trapinch,83/149,Common
Dwebble,84/149,Common
Crustle,85/149,Rare Holo
Mienfoo,86/149,Common
Mienfoo,87/149,Uncommon
Mienshao,88/149,Uncommon
Landorus-EX,89/149,Rare Holo EX
Purrloin,90/149,Common
Liepard,91/149,Rare Holo
Vullaby,92/149,Common
Mandibuzz,93/149,Uncommon
Scizor,94/149,Rare Holo
Skarmory,95/149,Uncommon
Skarmory,96/149,Uncommon
Klink,97/149,Uncommon
Vibrava,98/149,Uncommon
Flygon,99/149,Rare Holo
Black Kyurem,100/149,Rare
Black Kyurem-EX,101/149,Rare Holo EX
White Kyurem,102/149,Rare
White Kyurem-EX,103/149,Rare Holo EX
Rattata,104/149,Common
Raticate,105/149,Uncommon
Meowth,106/149,Common
Farfetch'd,107/149,Uncommon
Ditto,108/149,Rare Holo
Snorlax,109/149,Uncommon
Togepi,110/149,Common
Dunsparce,111/149,Common
Taillow,112/149,Common
Skitty,113/149,Common
Delcatty,114/149,Uncommon
Spinda,115/149,Common
Buneary,116/149,Common
Lopunny,117/149,Uncommon
Patrat,118/149,Common
Watchog,119/149,Uncommon
Lillipup,120/149,Common
Herdier,121/149,Uncommon
Stoutland,122/149,Rare Holo
Pidove,123/149,Common
Tranquill,124/149,Uncommon
Unfezant,125/149,Rare
Audino,126/149,Rare
Aspertia City Gym,127/149,Uncommon
Energy Search,128/149,Common
Great Ball,129/149,Uncommon
Hugh,130/149,Uncommon
Poké Ball,131/149,Common
Potion,132/149,Common
Rocky Helmet,133/149,Uncommon
Skyla,134/149,Uncommon
Switch,135/149,Common
Town Map,136/149,Uncommon
Computer Search,137/149,Rare ACE
Crystal Edge,138/149,Rare ACE
Crystal Wall,139/149,Rare ACE
Gold Potion,140/149,Rare ACE
Celebi-EX,141/149,Rare Ultra
Keldeo-EX,142/149,Rare Ultra
Cresselia-EX,143/149,Rare Ultra
Landorus-EX,144/149,Rare Ultra
Black Kyurem-EX,145/149,Rare Ultra
White Kyurem-EX,146/149,Rare Ultra
Bianca,147/149,Rare Ultra
Cheren,148/149,Rare Ultra
Skyla,149/149,Rare Ultra
Golurk,150/149,Rare Secret
Terrakion,151/149,Rare Secret
Altaria,152/149,Rare Secret
Rocky Helmet,153/149,Rare Secret
