Name,Number,Rarity
Snivy,1/114,Common
Snivy,2/114,Common
Servine,3/114,Uncommon
Servine,4/114,Uncommon
Serperior,5/114,Rare Holo
Serperior,6/114,Rare Holo
Pansage,7/114,Common
Simisage,8/114,Uncommon
Petilil,9/114,Common
Lilligant,10/114,Rare
Maractus,11/114,Uncommon
Maractus,12/114,Rare
Deerling,13/114,Common
Sawsbuck,14/114,Rare
Tepig,15/114,Common
Tepig,16/114,Common
Pignite,17/114,Uncommon
Pignite,18/114,Uncommon
Emboar,19/114,Rare Holo
Emboar,20/114,Rare Holo
Pansear,21/114,Common
Simisear,22/114,Uncommon
Darumaka,23/114,Common
Darumaka,24/114,Uncommon
Darmanitan,25/114,Rare
Reshiram,26/114,Rare Holo
Oshawott,27/114,Common
Oshawott,28/114,Common
Dewott,29/114,Uncommon
Dewott,30/114,Uncommon
Samurott,31/114,Rare Holo
Samurott,32/114,Rare Holo
Panpour,33/114,Common
Simipour,34/114,Uncommon
Basculin,35/114,Uncommon
Ducklett,36/114,Common
Swanna,37/114,Rare
Alomomola,38/114,Uncommon
Alomomola,39/114,Rare
Blitzle,40/114,Common
Blitzle,41/114,Common
Zebstrika,42/114,Uncommon
Zebstrika,43/114,Rare
Joltik,44/114,Common
Joltik,45/114,Common
Galvantula,46/114,Rare
Zekrom,47/114,Rare Holo
Munna,48/114,Uncommon
Musharna,49/114,Rare
Woobat,50/114,Common
Swoobat,51/114,Uncommon
Venipede,52/114,Common
Whirlipede,53/114,Uncommon
Scolipede,54/114,Rare
Solosis,55/114,Common
Duosion,56/114,Uncommon
Reuniclus,57/114,Rare Holo
Timburr,58/114,Common
Timburr,59/114,Common
Gurdurr,60/114,Uncommon
Throh,61/114,Rare
Sawk,62/114,Rare
Sandile,63/114,Common
Krokorok,64/114,Uncommon
Krookodile,65/114,Rare Holo
Purrloin,66/114,Common
Liepard,67/114,Rare
Scraggy,68/114,Common
Scrafty,69/114,Rare
Zorua,70/114,Common
Zoroark,71/114,Rare Holo
Vullaby,72/114,Uncommon
Mandibuzz,73/114,Rare
Klink,74/114,Common
Klang,75/114,Uncommon
Klinklang,76/114,Rare Holo
Patrat,77/114,Common
Patrat,78/114,Common
Watchog,79/114,Uncommon
Lillipup,80/114,Common
Lillipup,81/114,Common
Herdier,82/114,Uncommon
Stoutland,83/114,Rare
Pidove,84/114,Common
Tranquill,85/114,Uncommon
Unfezant,86/114,Rare
Audino,87/114,Uncommon
Minccino,88/114,Common
Cinccino,89/114,Rare
Bouffalant,90/114,Uncommon
Bouffalant,91/114,Rare
Energy Retrieval,92/114,Uncommon
Energy Search,93/114,Common
Energy Switch,94/114,Uncommon
Full Heal,95/114,Uncommon
PlusPower,96/114,Uncommon
Poké Ball,97/114,Uncommon
Pokédex,98/114,Uncommon
Pokémon Communication,99/114,Uncommon
Potion,100/114,Common
Professor Juniper,101/114,Uncommon
Revive,102/114,Uncommon
Super Scoop Up,103/114,Uncommon
Switch,104/114,Common
Grass Energy,105/114,Common
Fire Energy,106/114,Common
Water Energy,107/114,Common
Lightning Energy,108/114,Common
Psychic Energy,109/114,Common
Fighting Energy,110/114,Common
Darkness Energy,111/114,Common
Metal Energy,112/114,Common
Reshiram,113/114,Rare Ultra
Zekrom,114/114,Rare Ultra
Pikachu,115/114,Rare Secret
