Name,Number,Rarity
Bulbasaur,1/108,Common
Ivysaur,2/108,Uncommon
Venusaur,3/108,Rare Holo
Scyther,4/108,Uncommon
Carnivine,5/108,Rare
Leafeon,6/108,Rare
Dwebble,7/108,Common
Crustle,8/108,Uncommon
Karrablast,9/108,Common
Shelmet,10/108,Common
Accelgor,11/108,Rare
Flareon,12/108,Uncommon
Entei-EX,13/108,Rare Holo EX
Torchic,14/108,Common
Torchic,15/108,Common
Combusken,16/108,Uncommon
Blaziken,17/108,Rare Holo
Torkoal,18/108,Uncommon
Heatmor,19/108,Rare
Larvesta,20/108,Common
Larvesta,21/108,Common
Volcarona,22/108,Rare Holo
Slowpoke,23/108,Common
Slowbro,24/108,Uncommon
Vaporeon,25/108,Uncommon
Kyogre-EX,26/108,Rare Holo EX
Piplup,27/108,Common
Prinplup,28/108,Uncommon
Empoleon,29/108,Rare Holo
Glaceon,30/108,Rare
Tympole,31/108,Common
Palpitoad,32/108,Uncommon
Vanillite,33/108,Common
Vanillish,34/108,Uncommon
Ducklett,35/108,Common
Swanna,36/108,Rare
Jolteon,37/108,Uncommon
Raikou-EX,38/108,Rare Holo EX
Plusle,39/108,Common
Minun,40/108,Common
Joltik,41/108,Common
Joltik,42/108,Common
Galvantula,43/108,Rare
Tynamo,44/108,Common
Tynamo,45/108,Common
Eelektrik,46/108,Uncommon
Eelektross,47/108,Rare Holo
Espeon,48/108,Rare
Slowking,49/108,Rare
Woobat,50/108,Common
Yamask,51/108,Uncommon
Cofagrigus,52/108,Rare
Aerodactyl,53/108,Rare
Groudon-EX,54/108,Rare Holo EX
Drilbur,55/108,Common
Excadrill,56/108,Rare
Excadrill,57/108,Rare
Timburr,58/108,Common
Gurdurr,59/108,Uncommon
Umbreon,60/108,Uncommon
Umbreon,61/108,Uncommon
Sableye,62/108,Uncommon
Darkrai-EX,63/108,Rare Holo EX
Sandile,64/108,Common
Krokorok,65/108,Uncommon
Krookodile,66/108,Rare Holo
Scraggy,67/108,Common
Scrafty,68/108,Rare
Zorua,69/108,Common
Zorua,70/108,Common
Zoroark,71/108,Rare
Bisharp,72/108,Rare
Vullaby,73/108,Uncommon
Escavalier,74/108,Rare
Klink,75/108,Common
Klang,76/108,Uncommon
Klinklang,77/108,Rare Holo
Pawniard,78/108,Common
Bisharp,79/108,Rare
Chansey,80/108,Common
Chansey,81/108,Common
Blissey,82/108,Rare Holo
Eevee,83/108,Common
Eevee,84/108,Common
Chatot,85/108,Uncommon
Lillipup,86/108,Common
Herdier,87/108,Uncommon
Stoutland,88/108,Rare
Haxorus,89/108,Rare Holo
Tornadus-EX,90/108,Rare Holo EX
Cheren,91/108,Uncommon
Dark Claw,92/108,Uncommon
Dark Patch,93/108,Uncommon
Enhanced Hammer,94/108,Uncommon
Hooligans Jim & Cas,95/108,Uncommon
N,96/108,Uncommon
Old Amber Aerodactyl,97/108,Uncommon
Professor Juniper,98/108,Uncommon
Random Receiver,99/108,Uncommon
Rare Candy,100/108,Uncommon
Twist Mountain,101/108,Uncommon
Ultra Ball,102/108,Uncommon
Entei-EX,103/108,Rare Ultra
Kyogre-EX,104/108,Rare Ultra
Raikou-EX,105/108,Rare Ultra
Groudon-EX,106/108,Rare Ultra
Darkrai-EX,107/108,Rare Ultra
Tornadus-EX,108/108,Rare Ultra
Gardevoir,109/108,Rare Secret
Archeops,110/108,Rare Secret
Pokémon Catcher,111/108,Rare Secret
