Name,Number,Rarity
Hoppip,1/124,Common
Skiploom,2/124,Uncommon
Jumpluff,3/124,Rare
Yanma,4/124,Common
Yanmega,5/124,Rare
Wurmple,6/124,Common
Silcoon,7/124,Uncommon
Beautifly,8/124,Rare
Cascoon,9/124,Uncommon
Nincada,10/124,Common
Ninjask,11/124,Uncommon
Roselia,12/124,Uncommon
Roselia,13/124,Common
Roserade,14/124,Uncommon
Roserade,15/124,Rare
Maractus,16/124,Uncommon
Foongus,17/124,Common
Vulpix,18/124,Common
Ninetales,19/124,Rare Holo
Magmar,20/124,Common
Magmortar,21/124,Rare
Ho-Oh-EX,22/124,Rare Holo EX
Magikarp,23/124,Common
Gyarados,24/124,Rare
Wailmer,25/124,Uncommon
Wailord,26/124,Rare Holo
Feebas,27/124,Common
Milotic,28/124,Rare Holo
Spheal,29/124,Common
Sealeo,30/124,Uncommon
Walrein,31/124,Rare
Buizel,32/124,Common
Floatzel,33/124,Uncommon
Tympole,34/124,Common
Palpitoad,35/124,Uncommon
Seismitoad,36/124,Rare
Alomomola,37/124,Rare
Mareep,38/124,Common
Flaaffy,39/124,Uncommon
Ampharos,40/124,Rare Holo
Electrike,41/124,Common
Electrike,42/124,Common
Manectric,43/124,Rare
Manectric,44/124,Rare
Emolga,45/124,Uncommon
Mew-EX,46/124,Rare Holo EX
Dustox,47/124,Rare
Shedinja,48/124,Rare
Drifloon,49/124,Common
Drifloon,50/124,Common
Drifblim,51/124,Rare
Sigilyph,52/124,Rare Holo
Trubbish,53/124,Common
Garbodor,54/124,Rare Holo
Gothita,55/124,Common
Gothorita,56/124,Uncommon
Gothitelle,57/124,Rare
Golett,58/124,Common
Golurk,59/124,Rare Holo
Cubone,60/124,Common
Marowak,61/124,Rare
Nosepass,62/124,Common
Baltoy,63/124,Common
Claydol,64/124,Rare
Roggenrola,65/124,Common
Boldore,66/124,Uncommon
Gigalith,67/124,Rare Holo
Throh,68/124,Uncommon
Sawk,69/124,Uncommon
Stunfisk,70/124,Uncommon
Terrakion-EX,71/124,Rare Holo EX
Murkrow,72/124,Common
Honchkrow,73/124,Rare
Houndour,74/124,Common
Houndoom,75/124,Rare
Stunky,76/124,Common
Skuntank,77/124,Uncommon
Aron,78/124,Common
Lairon,79/124,Uncommon
Aggron,80/124,Rare Holo
Registeel-EX,81/124,Rare Holo EX
Probopass,82/124,Rare
Durant,83/124,Uncommon
Altaria,84/124,Rare Holo
Rayquaza-EX,85/124,Rare Holo EX
Gible,86/124,Common
Gible,87/124,Common
Gabite,88/124,Uncommon
Gabite,89/124,Uncommon
Garchomp,90/124,Rare Holo
Garchomp,91/124,Rare
Giratina-EX,92/124,Rare Holo EX
Deino,93/124,Common
Deino,94/124,Common
Zweilous,95/124,Uncommon
Zweilous,96/124,Uncommon
Hydreigon,97/124,Rare Holo
Hydreigon,98/124,Rare
Aipom,99/124,Common
Ambipom,100/124,Rare
Slakoth,101/124,Common
Vigoroth,102/124,Uncommon
Slaking,103/124,Rare Holo
Swablu,104/124,Uncommon
Swablu,105/124,Common
Bidoof,106/124,Common
Bibarel,107/124,Uncommon
Audino,108/124,Uncommon
Minccino,109/124,Common
Bouffalant,110/124,Uncommon
Rufflet,111/124,Common
Braviary,112/124,Rare
Devolution Spray,113/124,Uncommon
Giant Cape,114/124,Uncommon
Rescue Scarf,115/124,Uncommon
Tool Scrapper,116/124,Uncommon
Blend Energy GrassFirePsychicDarkness,117/124,Uncommon
Blend Energy WaterLightningFightingMetal,118/124,Uncommon
Ho-Oh-EX,119/124,Rare Ultra
Mew-EX,120/124,Rare Ultra
Terrakion-EX,121/124,Rare Ultra
Registeel-EX,122/124,Rare Ultra
Rayquaza-EX,123/124,Rare Ultra
Giratina-EX,124/124,Rare Ultra
Serperior,125/124,Rare Secret
Reuniclus,126/124,Rare Secret
Krookodile,127/124,Rare Secret
Rayquaza,128/124,Rare Secret
