Name,Number,Rarity
Pansage,1/98,Common
Simisage,2/98,Rare
Sewaddle,3/98,Common
Sewaddle,4/98,Common
Swadloon,5/98,Uncommon
Swadloon,6/98,Uncommon
Leavanny,7/98,Rare
Leavanny,8/98,Rare
Cottonee,9/98,Common
Cottonee,10/98,Common
Whimsicott,11/98,Uncommon
Whimsicott,12/98,Rare
Petilil,13/98,Common
Lilligant,14/98,Uncommon
Deerling,15/98,Common
Sawsbuck,16/98,Rare
Virizion,17/98,Rare Holo
Pansear,18/98,Common
Simisear,19/98,Rare
Darumaka,20/98,Common
Darmanitan,21/98,Rare
Panpour,22/98,Common
Simipour,23/98,Rare
Basculin,24/98,Common
Basculin,25/98,Uncommon
Ducklett,26/98,Common
Swanna,27/98,Rare
Cubchoo,28/98,Common
Cubchoo,29/98,Common
Beartic,30/98,Rare Holo
Beartic,31/98,Rare
Emolga,32/98,Common
Joltik,33/98,Common
Galvantula,34/98,Uncommon
Thundurus,35/98,Rare Holo
Woobat,36/98,Common
Swoobat,37/98,Rare
Venipede,38/98,Common
Whirlipede,39/98,Uncommon
Scolipede,40/98,Rare
Sigilyph,41/98,Uncommon
Sigilyph,42/98,Uncommon
Gothita,43/98,Common
Gothita,44/98,Common
Gothorita,45/98,Uncommon
Gothorita,46/98,Uncommon
Gothitelle,47/98,Rare Holo
Gothitelle,48/98,Rare
Roggenrola,49/98,Common
Roggenrola,50/98,Common
Boldore,51/98,Uncommon
Boldore,52/98,Uncommon
Gigalith,53/98,Rare
Drilbur,54/98,Uncommon
Drilbur,55/98,Common
Excadrill,56/98,Rare Holo
Excadrill,57/98,Rare
Throh,58/98,Uncommon
Sawk,59/98,Uncommon
Sandile,60/98,Common
Krokorok,61/98,Uncommon
Krookodile,62/98,Rare
Terrakion,63/98,Rare Holo
Purrloin,64/98,Common
Liepard,65/98,Rare
Zorua,66/98,Uncommon
Zoroark,67/98,Rare Holo
Vullaby,68/98,Common
Mandibuzz,69/98,Rare
Ferroseed,70/98,Common
Ferroseed,71/98,Common
Ferrothorn,72/98,Rare
Ferrothorn,73/98,Uncommon
Klink,74/98,Common
Klang,75/98,Uncommon
Klinklang,76/98,Rare
Cobalion,77/98,Rare Holo
Patrat,78/98,Common
Watchog,79/98,Uncommon
Pidove,80/98,Common
Tranquill,81/98,Uncommon
Unfezant,82/98,Rare
Audino,83/98,Uncommon
Minccino,84/98,Common
Cinccino,85/98,Uncommon
Rufflet,86/98,Common
Rufflet,87/98,Common
Braviary,88/98,Rare Holo
Tornadus,89/98,Rare Holo
Bianca,90/98,Uncommon
Cheren,91/98,Uncommon
Crushing Hammer,92/98,Uncommon
Great Ball,93/98,Uncommon
Max Potion,94/98,Uncommon
Pokémon Catcher,95/98,Uncommon
Recycle,96/98,Uncommon
Thundurus,97/98,Rare Ultra
Tornadus,98/98,Rare Ultra
