Name,Number,Rarity
Tangela,1/113,Common
Tangrowth,2/113,Rare
Shuckle,3/113,Uncommon
Cherubi,4/113,Uncommon
Carnivine,5/113,Uncommon
Snivy,6/113,Common
Servine,7/113,Uncommon
Serperior,8/113,Rare Holo
Sewaddle,9/113,Common
Sewaddle,10/113,Common
Swadloon,11/113,Uncommon
Leavanny,12/113,Rare Holo
Dwebble,13/113,Common
Crustle,14/113,Uncommon
Virizion,15/113,Rare Holo
Genesect,16/113,Rare Holo
Charmander,17/113,Common
Charmeleon,18/113,Uncommon
Charizard,19/113,Rare Holo
Vulpix,20/113,Common
Ninetales,21/113,Rare
Moltres,22/113,Rare Holo
Victini,23/113,Rare Holo
Victini-EX,24/113,Rare Holo EX
Tepig,25/113,Common
Pignite,26/113,Uncommon
Emboar,27/113,Rare Holo
Reshiram,28/113,Rare Holo
Reshiram-EX,29/113,Rare Holo EX
Magikarp,30/113,Common
Gyarados,31/113,Rare
Articuno,32/113,Rare Holo
Piplup,33/113,Common
Prinplup,34/113,Uncommon
Empoleon,35/113,Rare
Phione,36/113,Rare
Oshawott,37/113,Common
Dewott,38/113,Uncommon
Samurott,39/113,Rare Holo
Tympole,40/113,Common
Palpitoad,41/113,Uncommon
Seismitoad,42/113,Rare
Kyurem,43/113,Rare Holo
Kyurem-EX,44/113,Rare Holo EX
Keldeo-EX,45/113,Rare Holo EX
Zapdos,46/113,Rare Holo
Plusle,47/113,Uncommon
Minun,48/113,Uncommon
Emolga,49/113,Uncommon
Thundurus,50/113,Rare Holo
Zekrom,51/113,Rare Holo
Zekrom-EX,52/113,Rare Holo EX
Mewtwo,53/113,Rare Holo
Mewtwo-EX,54/113,Rare Holo EX
Natu,55/113,Common
Xatu,56/113,Rare
Misdreavus,57/113,Common
Mismagius,58/113,Rare
Ralts,59/113,Common
Kirlia,60/113,Uncommon
Sableye,61/113,Uncommon
Croagunk,62/113,Common
Toxicroak,63/113,Rare
Woobat,64/113,Common
Swoobat,65/113,Uncommon
Sigilyph,66/113,Rare Holo
Trubbish,67/113,Common
Garbodor,68/113,Rare Holo
Gothita,69/113,Common
Gothita,70/113,Common
Gothorita,71/113,Uncommon
Gothitelle,72/113,Rare Holo
Solosis,73/113,Common
Solosis,74/113,Common
Duosion,75/113,Uncommon
Reuniclus,76/113,Rare
Chandelure-EX,77/113,Rare Holo EX
Meloetta,78/113,Rare Holo
Riolu,79/113,Uncommon
Lucario,80/113,Rare Holo
Gallade,81/113,Rare
Excadrill-EX,82/113,Rare Holo EX
Stunfisk,83/113,Uncommon
Terrakion,84/113,Rare Holo
Landorus,85/113,Rare Holo
Meloetta,86/113,Rare
Spiritomb,87/113,Uncommon
Darkrai-EX,88/113,Rare Holo EX
Zorua,89/113,Common
Zoroark,90/113,Rare Holo
Cobalion,91/113,Rare Holo
Altaria,92/113,Uncommon
Rayquaza,93/113,Rare Holo
Gible,94/113,Common
Gabite,95/113,Uncommon
Garchomp,96/113,Rare Holo
Deino,97/113,Common
Zweilous,98/113,Uncommon
Hydreigon,99/113,Rare Holo
Black Kyurem-EX,100/113,Rare Holo EX
White Kyurem-EX,101/113,Rare Holo EX
Lugia-EX,102/113,Rare Holo EX
Swablu,103/113,Common
Minccino,104/113,Common
Cinccino,105/113,Rare Holo
Druddigon,106/113,Uncommon
Bouffalant,107/113,Uncommon
Tornadus,108/113,Rare Holo
Bianca,109/113,Uncommon
Cedric Juniper,110/113,Uncommon
Crushing Hammer,111/113,Uncommon
Energy Switch,112/113,Uncommon
Double Colorless Energy,113/113,Uncommon
Reshiram,114/113,Rare Secret
Zekrom,115/113,Rare Secret
Snivy,RC1/113,Common
Servine,RC2/113,Common
Serperior,RC3/113,Uncommon
Growlithe,RC4/113,Uncommon
Torchic,RC5/113,Common
Piplup,RC6/113,Uncommon
Pikachu,RC7/113,Uncommon
Ralts,RC8/113,Common
Kirlia,RC9/113,Common
Gardevoir,RC10/113,Uncommon
Meloetta-EX,RC11/113,Rare
Stunfisk,RC12/113,Uncommon
Purrloin,RC13/113,Uncommon
Eevee,RC14/113,Uncommon
Teddiursa,RC15/113,Common
Ursaring,RC16/113,Common
Audino,RC17/113,Common
Minccino,RC18/113,Common
Cinccino,RC19/113,Uncommon
Elesa,RC20/113,Common
Shaymin-EX,RC21/113,Rare Ultra
Reshiram,RC22/113,Rare Ultra
Emolga,RC23/113,Rare Ultra
Mew-EX,RC24/113,Rare Ultra
Meloetta-EX,RC25/113,Rare Ultra
