Name,Number,Rarity
Sewaddle,1/101,Common
Swadloon,2/101,Uncommon
Leavanny,3/101,Rare Holo
Petilil,4/101,Common
Lilligant,5/101,Rare
Dwebble,6/101,Common
Crustle,7/101,Uncommon
Karrablast,8/101,Common
Foongus,9/101,Common
Amoonguss,10/101,Uncommon
Shelmet,11/101,Common
Accelgor,12/101,Rare
Virizion,13/101,Rare Holo
Victini,14/101,Rare Holo
Victini,15/101,Rare Holo
Pansear,16/101,Common
Simisear,17/101,Uncommon
Heatmor,18/101,Uncommon
Larvesta,19/101,Common
Larvesta,20/101,Common
Volcarona,21/101,Rare
Tympole,22/101,Common
Palpitoad,23/101,Uncommon
Seismitoad,24/101,Rare
Tirtouga,25/101,Uncommon
Carracosta,26/101,Rare
Vanillite,27/101,Common
Vanillish,28/101,Uncommon
Vanilluxe,29/101,Rare
Frillish,30/101,Common
Jellicent,31/101,Rare
Cryogonal,32/101,Uncommon
Cryogonal,33/101,Rare
Kyurem,34/101,Rare Holo
Blitzle,35/101,Common
Zebstrika,36/101,Rare
Emolga,37/101,Uncommon
Tynamo,38/101,Common
Tynamo,39/101,Common
Eelektrik,40/101,Uncommon
Eelektross,41/101,Rare Holo
Stunfisk,42/101,Common
Victini,43/101,Rare
Yamask,44/101,Common
Yamask,45/101,Common
Cofagrigus,46/101,Rare
Cofagrigus,47/101,Rare
Trubbish,48/101,Common
Garbodor,49/101,Uncommon
Solosis,50/101,Common
Duosion,51/101,Uncommon
Reuniclus,52/101,Rare
Reuniclus,53/101,Rare
Elgyem,54/101,Common
Elgyem,55/101,Common
Beheeyem,56/101,Rare
Litwick,57/101,Common
Litwick,58/101,Common
Lampent,59/101,Uncommon
Chandelure,60/101,Rare
Gigalith,61/101,Rare
Timburr,62/101,Common
Gurdurr,63/101,Uncommon
Conkeldurr,64/101,Rare Holo
Conkeldurr,65/101,Rare
Archen,66/101,Uncommon
Archeops,67/101,Rare
Stunfisk,68/101,Uncommon
Mienfoo,69/101,Common
Mienshao,70/101,Uncommon
Golett,71/101,Common
Golurk,72/101,Rare
Terrakion,73/101,Rare Holo
Landorus,74/101,Rare Holo
Pawniard,75/101,Common
Bisharp,76/101,Uncommon
Deino,77/101,Common
Zweilous,78/101,Uncommon
Hydreigon,79/101,Rare Holo
Escavalier,80/101,Rare
Pawniard,81/101,Common
Bisharp,82/101,Rare Holo
Durant,83/101,Uncommon
Cobalion,84/101,Rare Holo
Audino,85/101,Uncommon
Axew,86/101,Common
Fraxure,87/101,Uncommon
Haxorus,88/101,Rare Holo
Druddigon,89/101,Rare
Cover Fossil,90/101,Uncommon
Eviolite,91/101,Uncommon
N,92/101,Uncommon
Plume Fossil,93/101,Uncommon
Rocky Helmet,94/101,Uncommon
Super Rod,95/101,Uncommon
Xtransceiver,96/101,Uncommon
Virizion,97/101,Rare Ultra
Victini,98/101,Rare Ultra
Terrakion,99/101,Rare Ultra
Cobalion,100/101,Rare Ultra
N,101/101,Rare Ultra
Meowth,102/101,Rare Secret
