Name,Number,Rarity
Pinsir,1/99,Rare
Seedot,2/99,Common
Kricketot,3/99,Common
Kricketune,4/99,Uncommon
Shaymin-EX,5/99,Rare Holo EX
Pansage,6/99,Common
Simisage,7/99,Rare
Foongus,8/99,Common
Amoonguss,9/99,Rare
Growlithe,10/99,Common
Growlithe,11/99,Common
Arcanine,12/99,Rare
Arcanine,13/99,Uncommon
Moltres,14/99,Rare Holo
Pansear,15/99,Common
Simisear,16/99,Rare
Darumaka,17/99,Common
Litwick,18/99,Common
Lampent,19/99,Uncommon
Chandelure,20/99,Rare Holo
Reshiram,21/99,Rare
Reshiram-EX,22/99,Rare Holo EX
Staryu,23/99,Common
Starmie,24/99,Uncommon
Lapras,25/99,Rare
Lapras,26/99,Uncommon
Articuno,27/99,Rare Holo
Panpour,28/99,Common
Simipour,29/99,Rare
Basculin,30/99,Uncommon
Vanillite,31/99,Common
Vanillish,32/99,Uncommon
Vanilluxe,33/99,Rare Holo
Frillish,34/99,Uncommon
Jellicent,35/99,Rare
Cubchoo,36/99,Common
Beartic,37/99,Rare
Kyurem-EX,38/99,Rare Holo EX
Pikachu,39/99,Common
Raichu,40/99,Uncommon
Zapdos,41/99,Rare Holo
Shinx,42/99,Common
Shinx,43/99,Common
Luxio,44/99,Uncommon
Luxio,45/99,Uncommon
Luxray,46/99,Rare Holo
Blitzle,47/99,Common
Zebstrika,48/99,Rare
Emolga,49/99,Uncommon
Zekrom,50/99,Rare
Zekrom-EX,51/99,Rare Holo EX
Grimer,52/99,Common
Muk,53/99,Rare
Mewtwo-EX,54/99,Rare Holo EX
Ralts,55/99,Common
Kirlia,56/99,Uncommon
Gardevoir,57/99,Rare Holo
Munna,58/99,Common
Musharna,59/99,Rare
Darmanitan,60/99,Rare
Elgyem,61/99,Common
Beheeyem,62/99,Rare
Riolu,63/99,Common
Lucario,64/99,Rare Holo
Hippopotas,65/99,Common
Hippowdon,66/99,Uncommon
Mienfoo,67/99,Common
Mienshao,68/99,Uncommon
Sneasel,69/99,Common
Weavile,70/99,Rare
Nuzleaf,71/99,Uncommon
Shiftry,72/99,Rare
Scraggy,73/99,Uncommon
Scrafty,74/99,Rare Holo
Bronzor,75/99,Common
Bronzong,76/99,Rare
Ferroseed,77/99,Common
Jigglypuff,78/99,Uncommon
Wigglytuff,79/99,Rare
Meowth,80/99,Common
Persian,81/99,Rare
Regigigas-EX,82/99,Rare Holo EX
Pidove,83/99,Common
Minccino,84/99,Uncommon
Cinccino,85/99,Rare Holo
Cilan,86/99,Uncommon
Exp. Share,87/99,Uncommon
Heavy Ball,88/99,Uncommon
Level Ball,89/99,Uncommon
Pokémon Center,90/99,Uncommon
Skyarrow Bridge,91/99,Uncommon
Double Colorless Energy,92/99,Uncommon
Prism Energy,93/99,Uncommon
Shaymin-EX,94/99,Rare Ultra
Reshiram-EX,95/99,Rare Ultra
Kyurem-EX,96/99,Rare Ultra
Zekrom-EX,97/99,Rare Ultra
Mewtwo-EX,98/99,Rare Ultra
Regigigas-EX,99/99,Rare Ultra
Emboar,100/99,Rare Secret
Chandelure,101/99,Rare Secret
Zoroark,102/99,Rare Secret
Hydreigon,103/99,Rare Secret
