Name,Number,Rarity
Surskit,1/101,Common
Masquerain,2/101,Rare
Lileep,3/101,Uncommon
Cradily,4/101,Rare
Tropius,5/101,Uncommon
Karrablast,6/101,Common
Shelmet,7/101,Common
Accelgor,8/101,Rare
Virizion-EX,9/101,Rare Holo EX
Genesect,10/101,Rare
Genesect-EX,11/101,Rare Holo EX
Larvesta,12/101,Common
Volcarona,13/101,Rare
Squirtle,14/101,Common
Wartortle,15/101,Uncommon
Blastoise,16/101,Rare Holo
Lapras,17/101,Common
Remoraid,18/101,Common
Octillery,19/101,Uncommon
Suicune,20/101,Rare
Snorunt,21/101,Common
Glalie,22/101,Uncommon
Froslass,23/101,Rare
Relicanth,24/101,Uncommon
Snover,25/101,Common
Abomasnow,26/101,Uncommon
Tirtouga,27/101,Uncommon
Carracosta,28/101,Rare
Ducklett,29/101,Common
Kyurem-EX,30/101,Rare Holo EX
Tynamo,31/101,Common
Eelektrik,32/101,Uncommon
Eelektross,33/101,Rare Holo
Drifloon,34/101,Common
Drifblim,35/101,Rare
Uxie,36/101,Rare
Mesprit,37/101,Rare Holo
Azelf,38/101,Rare
Munna,39/101,Common
Musharna,40/101,Uncommon
Sigilyph,41/101,Rare Holo
Solosis,42/101,Common
Duosion,43/101,Uncommon
Reuniclus,44/101,Rare
Golett,45/101,Common
Golurk,46/101,Rare Holo
Machop,47/101,Common
Machoke,48/101,Uncommon
Machamp,49/101,Rare Holo
Machamp,50/101,Rare
Throh,51/101,Common
Sawk,52/101,Common
Archen,53/101,Uncommon
Archeops,54/101,Rare Holo
Houndour,55/101,Common
Houndoom,56/101,Rare Holo
Aron,57/101,Common
Lairon,58/101,Uncommon
Aggron,59/101,Rare
Jirachi-EX,60/101,Rare Holo EX
Escavalier,61/101,Rare
Bagon,62/101,Common
Shelgon,63/101,Uncommon
Salamence,64/101,Rare Holo
Dialga-EX,65/101,Rare Holo EX
Palkia-EX,66/101,Rare Holo EX
Axew,67/101,Common
Fraxure,68/101,Uncommon
Haxorus,69/101,Rare Holo
Druddigon,70/101,Common
Kangaskhan,71/101,Common
Porygon,72/101,Common
Porygon2,73/101,Uncommon
Porygon-Z,74/101,Rare Holo
Teddiursa,75/101,Common
Ursaring,76/101,Uncommon
Chatot,77/101,Uncommon
Caitlin,78/101,Uncommon
Cover Fossil,79/101,Uncommon
Energy Retrieval,80/101,Uncommon
Iris,81/101,Uncommon
Plume Fossil,82/101,Uncommon
Pokémon Catcher,83/101,Uncommon
Professor Juniper,84/101,Uncommon
Rare Candy,85/101,Uncommon
Reversal Trigger,86/101,Uncommon
Root Fossil Lileep,87/101,Uncommon
Silver Bangle,88/101,Uncommon
Silver Mirror,89/101,Uncommon
Ultra Ball,90/101,Uncommon
Plasma Energy,91/101,Uncommon
G Booster,92/101,Rare ACE
G Scope,93/101,Rare ACE
Master Ball,94/101,Rare ACE
Scoop Up Cyclone,95/101,Rare ACE
Virizion-EX,96/101,Rare Ultra
Genesect-EX,97/101,Rare Ultra
Jirachi-EX,98/101,Rare Ultra
Dialga-EX,99/101,Rare Ultra
Palkia-EX,100/101,Rare Ultra
Iris,101/101,Rare Ultra
Exeggcute,102/101,Rare Secret
Virizion,103/101,Rare Secret
Dusknoir,104/101,Rare Secret
Rare Candy,105/101,Rare Secret
