Name,Number,Rarity
Weedle,1/116,Common
Kakuna,2/116,Uncommon
Beedrill,3/116,Rare
Exeggcute,4/116,Uncommon
Exeggutor,5/116,Rare
Treecko,6/116,Common
Grovyle,7/116,Uncommon
Sceptile,8/116,Rare Holo
Cacnea,9/116,Common
Cacturne,10/116,Rare
Leafeon,11/116,Rare
Flareon,12/116,Uncommon
Heatran-EX,13/116,Rare Holo EX
Litwick,14/116,Common
Lampent,15/116,Uncommon
Chandelure,16/116,Rare Holo
Reshiram,17/116,Rare Holo
Horsea,18/116,Common
Seadra,19/116,Uncommon
Vaporeon,20/116,Uncommon
Wooper,21/116,Common
Quagsire,22/116,Rare
Glaceon,23/116,Rare
Tympole,24/116,Common
Palpitoad,25/116,Uncommon
Seismitoad,26/116,Rare
Vanillite,27/116,Common
Vanillish,28/116,Uncommon
Vanilluxe,29/116,Rare
Cryogonal,30/116,Uncommon
Kyurem,31/116,Rare Holo
Voltorb,32/116,Common
Electrode,33/116,Rare Holo
Jolteon,34/116,Uncommon
Chinchou,35/116,Common
Lanturn,36/116,Uncommon
Pachirisu,37/116,Common
Thundurus-EX,38/116,Rare Holo EX
Zekrom,39/116,Rare Holo
Nidoran ♀,40/116,Common
Nidorina,41/116,Uncommon
Nidoqueen,42/116,Rare
Nidoran ♂,43/116,Common
Nidorino,44/116,Uncommon
Grimer,45/116,Common
Muk,46/116,Rare
Mr. Mime,47/116,Rare
Espeon,48/116,Uncommon
Sableye,49/116,Rare
Beldum,50/116,Common
Metang,51/116,Uncommon
Metagross,52/116,Rare Holo
Deoxys-EX,53/116,Rare Holo EX
Yamask,54/116,Common
Yamask,55/116,Common
Cofagrigus,56/116,Rare Holo
Cofagrigus,57/116,Rare
Nidoking,58/116,Rare
Mankey,59/116,Common
Primeape,60/116,Common
Onix,61/116,Uncommon
Makuhita,62/116,Common
Hariyama,63/116,Rare
Umbreon,64/116,Rare Holo
Sneasel,65/116,Common
Weavile,66/116,Rare
Absol,67/116,Rare Holo
Sandile,68/116,Common
Krokorok,69/116,Uncommon
Krookodile,70/116,Rare
Pawniard,71/116,Common
Pawniard,72/116,Common
Bisharp,73/116,Rare
Bisharp,74/116,Uncommon
Deino,75/116,Common
Deino,76/116,Common
Zweilous,77/116,Uncommon
Hydreigon,78/116,Rare Holo
Steelix,79/116,Rare
Mawile,80/116,Uncommon
Dratini,81/116,Common
Dragonair,82/116,Uncommon
Dragonite,83/116,Rare Holo
Kingdra,84/116,Rare Holo
Latias-EX,85/116,Rare Holo EX
Latios-EX,86/116,Rare Holo EX
Rattata,87/116,Common
Raticate,88/116,Rare
Eevee,89/116,Common
Eevee,90/116,Common
Hoothoot,91/116,Common
Noctowl,92/116,Uncommon
Miltank,93/116,Uncommon
Kecleon,94/116,Rare
Starly,95/116,Common
Staravia,96/116,Uncommon
Staraptor,97/116,Rare
Tornadus-EX,98/116,Rare Holo EX
Float Stone,99/116,Uncommon
Frozen City,100/116,Uncommon
Ghetsis,101/116,Rare Holo
Shadow Triad,102/116,Uncommon
Superior Energy Retrieval,103/116,Uncommon
Team Plasma Badge,104/116,Uncommon
Team Plasma Ball,105/116,Uncommon
Plasma Energy,106/116,Uncommon
Life Dew,107/116,Rare ACE
Rock Guard,108/116,Rare ACE
Heatran-EX,109/116,Rare Ultra
Thundurus-EX,110/116,Rare Ultra
Deoxys-EX,111/116,Rare Ultra
Latias-EX,112/116,Rare Ultra
Latios-EX,113/116,Rare Ultra
Tornadus-EX,114/116,Rare Ultra
Ghetsis,115/116,Rare Ultra
Professor Juniper,116/116,Rare Ultra
Empoleon,117/116,Rare Secret
Sigilyph,118/116,Rare Secret
Garbodor,119/116,Rare Secret
Garchomp,120/116,Rare Secret
Max Potion,121/116,Rare Secret
Ultra Ball,122/116,Rare Secret
