Name,Number,Rarity
Turtwig,1/135,Common
Grotle,2/135,Uncommon
Torterra,3/135,Rare
Combee,4/135,Common
Vespiquen,5/135,Rare
Cherubi,6/135,Common
Cherrim,7/135,Rare
Sewaddle,8/135,Common
Swadloon,9/135,Uncommon
Leavanny,10/135,Rare
Maractus,11/135,Uncommon
Foongus,12/135,Common
Amoonguss,13/135,Uncommon
Moltres-EX,14/135,Rare Holo EX
Chimchar,15/135,Common
Monferno,16/135,Uncommon
Infernape,17/135,Rare Holo
Victini-EX,18/135,Rare Holo EX
Pansear,19/135,Common
Simisear,20/135,Uncommon
Litwick,21/135,Common
Lampent,22/135,Uncommon
Heatmor,23/135,Uncommon
Squirtle,24/135,Common
Articuno-EX,25/135,Rare Holo EX
Swinub,26/135,Common
Piloswine,27/135,Uncommon
Mamoswine,28/135,Rare
Lotad,29/135,Common
Lombre,30/135,Uncommon
Ludicolo,31/135,Rare
Carvanha,32/135,Common
Sharpedo,33/135,Rare
Manaphy,34/135,Rare Holo
Vanillite,35/135,Common
Vanillish,36/135,Uncommon
Vanilluxe,37/135,Rare
Frillish,38/135,Common
Jellicent,39/135,Rare
Cubchoo,40/135,Common
Beartic,41/135,Rare
Magnemite,42/135,Common
Magnemite,43/135,Common
Magneton,44/135,Uncommon
Magneton,45/135,Uncommon
Magnezone,46/135,Rare Holo
Magnezone,47/135,Rare
Zapdos-EX,48/135,Rare Holo EX
Rotom,49/135,Uncommon
Joltik,50/135,Common
Galvantula,51/135,Uncommon
Zubat,52/135,Common
Zubat,53/135,Common
Golbat,54/135,Uncommon
Crobat,55/135,Rare Holo
Koffing,56/135,Common
Koffing,57/135,Uncommon
Weezing,58/135,Rare Holo
Ralts,59/135,Common
Kirlia,60/135,Uncommon
Gallade,61/135,Rare Holo
Giratina,62/135,Rare
Trubbish,63/135,Uncommon
Trubbish,64/135,Common
Trubbish,65/135,Common
Garbodor,66/135,Rare Holo
Garbodor,67/135,Rare
Elgyem,68/135,Common
Elgyem,69/135,Uncommon
Beheeyem,70/135,Rare
Phanpy,71/135,Common
Donphan,72/135,Uncommon
Lunatone,73/135,Uncommon
Solrock,74/135,Uncommon
Riolu,75/135,Common
Riolu,76/135,Common
Lucario,77/135,Uncommon
Lucario,78/135,Rare Holo
Timburr,79/135,Common
Gurdurr,80/135,Uncommon
Conkeldurr,81/135,Rare
Purrloin,82/135,Common
Purrloin,83/135,Common
Liepard,84/135,Rare
Scraggy,85/135,Common
Scrafty,86/135,Rare
Skarmory,87/135,Rare
Klink,88/135,Common
Klang,89/135,Uncommon
Klinklang,90/135,Rare Holo
Durant,91/135,Uncommon
Durant,92/135,Uncommon
Cobalion-EX,93/135,Rare Holo EX
Druddigon,94/135,Rare
Black Kyurem-EX,95/135,Rare Holo EX
White Kyurem-EX,96/135,Rare Holo EX
Clefairy,97/135,Common
Clefable,98/135,Rare
Doduo,99/135,Common
Dodrio,100/135,Rare
Snorlax,101/135,Rare
Togepi,102/135,Common
Togetic,103/135,Uncommon
Togekiss,104/135,Rare Holo
Whismur,105/135,Common
Loudred,106/135,Uncommon
Exploud,107/135,Rare
Lugia-EX,108/135,Rare Holo EX
Skitty,109/135,Common
Patrat,110/135,Common
Patrat,111/135,Common
Watchog,112/135,Uncommon
Watchog,113/135,Rare
Bouffalant,114/135,Rare
Rufflet,115/135,Common
Braviary,116/135,Rare
Bicycle,117/135,Uncommon
Colress,118/135,Uncommon
Colress Machine,119/135,Uncommon
Escape Rope,120/135,Uncommon
Ether,121/135,Uncommon
Eviolite,122/135,Uncommon
Hypnotoxic Laser,123/135,Uncommon
Plasma Frigate,124/135,Uncommon
Team Plasma Grunt,125/135,Uncommon
Virbank City Gym,126/135,Uncommon
Plasma Energy,127/135,Uncommon
Dowsing Machine,128/135,Rare ACE
Scramble Switch,129/135,Rare ACE
Victory Piece,130/135,Rare ACE
Victini-EX,131/135,Rare Ultra
Articuno-EX,132/135,Rare Ultra
Cobalion-EX,133/135,Rare Ultra
Lugia-EX,134/135,Rare Ultra
Colress,135/135,Rare Ultra
Charizard,136/135,Rare Secret
Blastoise,137/135,Rare Secret
Random Receiver,138/135,Rare Secret
