Name,Number,Rarity
Azumarill,1/109,Rare Holo
Dark Ampharos,2/109,Rare Holo
Dark Crobat,3/109,Rare Holo
Dark Electrode,4/109,Rare Holo
Dark Houndoom,5/109,Rare Holo
Dark Hypno,6/109,Rare Holo
Dark Marowak,7/109,Rare Holo
Dark Octillery,8/109,Rare Holo
Dark Slowking,9/109,Rare Holo
Dark Steelix,10/109,Rare Holo
Jumpluff,11/109,Rare Holo
Kingdra,12/109,Rare Holo
Piloswine,13/109,Rare Holo
Togetic,14/109,Rare Holo
Dark Dragonite,15/109,Rare
Dark Muk,16/109,Rare
Dark Raticate,17/109,Rare
Dark Sandslash,18/109,Rare
Dark Tyranitar,19/109,Rare
Dark Tyranitar,20/109,Rare
Delibird,21/109,Rare
Furret,22/109,Rare
Ledian,23/109,Rare
Magby,24/109,Rare
Misdreavus,25/109,Rare
Quagsire,26/109,Rare
Qwilfish,27/109,Rare
Yanma,28/109,Rare
Dark Arbok,29/109,Uncommon
Dark Ariados,30/109,Uncommon
Dark Dragonair,31/109,Uncommon
Dark Dragonair,32/109,Uncommon
Dark Flaaffy,33/109,Uncommon
Dark Golbat,34/109,Uncommon
Dark Golduck,35/109,Uncommon
Dark Gyarados,36/109,Uncommon
Dark Houndoom,37/109,Uncommon
Dark Magcargo,38/109,Uncommon
Dark Magneton,39/109,Uncommon
Dark Pupitar,40/109,Uncommon
Dark Pupitar,41/109,Uncommon
Dark Weezing,42/109,Uncommon
Heracross,43/109,Uncommon
Magmar,44/109,Uncommon
Mantine,45/109,Uncommon
Rocket's Meowth,46/109,Uncommon
Rocket's Wobbuffet,47/109,Uncommon
Seadra,48/109,Uncommon
Skiploom,49/109,Uncommon
Togepi,50/109,Uncommon
Cubone,51/109,Common
Dratini,52/109,Common
Dratini,53/109,Common
Drowzee,54/109,Common
Ekans,55/109,Common
Grimer,56/109,Common
Hoppip,57/109,Common
Horsea,58/109,Common
Houndour,59/109,Common
Houndour,60/109,Common
Koffing,61/109,Common
Larvitar,62/109,Common
Larvitar,63/109,Common
Ledyba,64/109,Common
Magikarp,65/109,Common
Magnemite,66/109,Common
Mareep,67/109,Common
Marill,68/109,Common
Onix,69/109,Common
Psyduck,70/109,Common
Rattata,71/109,Common
Rattata,72/109,Common
Remoraid,73/109,Common
Sandshrew,74/109,Common
Sentret,75/109,Common
Slowpoke,76/109,Common
Slugma,77/109,Common
Spinarak,78/109,Common
Swinub,79/109,Common
Voltorb,80/109,Common
Wooper,81/109,Common
Zubat,82/109,Common
Copycat,83/109,Uncommon
Pokémon Retriever,84/109,Uncommon
Pow! Hand Extension,85/109,Uncommon
Rocket's Admin.,86/109,Uncommon
Rocket's Hideout,87/109,Uncommon
Rocket's Mission,88/109,Uncommon
Rocket's Poké Ball,89/109,Uncommon
Rocket's Tricky Gym,90/109,Uncommon
Surprise! Time Machine,91/109,Uncommon
Swoop! Teleporter,92/109,Uncommon
Venture Bomb,93/109,Uncommon
Dark Metal Energy,94/109,Uncommon
R Energy,95/109,Uncommon
Rocket's Articuno ex,96/109,Rare Holo EX
Rocket's Entei ex,97/109,Rare Holo EX
Rocket's Hitmonchan ex,98/109,Rare Holo EX
Rocket's Mewtwo ex,99/109,Rare Holo EX
Rocket's Moltres ex,100/109,Rare Holo EX
Rocket's Scizor ex,101/109,Rare Holo EX
Rocket's Scyther ex,102/109,Rare Holo EX
Rocket's Sneasel ex,103/109,Rare Holo EX
Rocket's Snorlax ex,104/109,Rare Holo EX
Rocket's Suicune ex,105/109,Rare Holo EX
Rocket's Zapdos ex,106/109,Rare Holo EX
Mudkip ★,107/109,Rare Holo Star
Torchic ★,108/109,Rare Holo Star
Treecko ★,109/109,Rare Holo Star
Charmeleon,110/109,Rare Secret
Here Comes Team Rocket!,111/109,Rare Secret
