Name,Number,Rarity
Erika's Oddish,1/217,Common
Erika's Gloom,2/217,Uncommon
Erika's Vileplume ex,3/217,Double Rare
Erika's Bellsprout,4/217,Common
Erika's Weepinbell,5/217,Uncommon
Erika's Victreebel,6/217,Rare
Erika's Tangela,7/217,Common
Chikorita,8/217,Common
Bayleef,9/217,Uncommon
Mega Meganium ex,10/217,Double Rare
Wurmple,11/217,Common
Silcoon,12/217,Common
Beautifly,13/217,Uncommon
Cascoon,14/217,Common
Dustox,15/217,Uncommon
Budew,16/217,Common
Grubbin,17/217,Common
Team Rocket's Tarountula,18/217,Common
Team Rocket's Spidops,19/217,Rare
Charmander,20/217,Common
Charmeleon,21/217,Uncommon
Mega Charizard Y ex,22/217,Double Rare
Ethan's Slugma,23/217,Common
Ethan's Magcargo,24/217,Rare
Entei,25/217,Rare
Ethan's Ho-Oh ex,26/217,Double Rare
Numel,27/217,Common
Camerupt,28/217,Uncommon
Tepig,29/217,Common
Pignite,30/217,Uncommon
Mega Emboar ex,31/217,Double Rare
N's Darumaka,32/217,Common
N's Darmanitan,33/217,Uncommon
Salandit,34/217,Common
Salazzle,35/217,Uncommon
Scorbunny,36/217,Common
Raboot,37/217,Common
Cinderace ex,38/217,Double Rare
Psyduck,39/217,Common
Golduck,40/217,Uncommon
Totodile,41/217,Common
Croconaw,42/217,Uncommon
Mega Feraligatr ex,43/217,Double Rare
Sneasel,44/217,Common
Weavile,45/217,Uncommon
Snorunt,46/217,Common
Mega Froslass ex,47/217,Double Rare
Regice ex,48/217,Double Rare
N's Vanillite,49/217,Common
N's Vanillish,50/217,Common
N's Vanilluxe,51/217,Uncommon
Snom,52/217,Common
Frosmoth,53/217,Uncommon
Glastrier,54/217,Uncommon
Pikachu,55/217,Common
Raichu,56/217,Uncommon
Pikachu ex,57/217,Double Rare
Voltorb ex,58/217,Double Rare
Tynamo,59/217,Common
Eelektrik,60/217,Uncommon
Mega Eelektross ex,61/217,Double Rare
Stunfisk,62/217,Common
Helioptile,63/217,Common
Heliolisk,64/217,Uncommon
Charjabug,65/217,Common
Vikavolt,66/217,Uncommon
Tapu Koko,67/217,Rare
Hop's Pincurchin ex,68/217,Double Rare
Iono's Tadbulb,69/217,Common
Iono's Bellibolt ex,70/217,Double Rare
Iono's Wattrel,71/217,Common
Iono's Kilowattrel,72/217,Rare
Miraidon ex,73/217,Double Rare
Clefairy,74/217,Common
Clefable,75/217,Uncommon
Lillie's Clefairy ex,76/217,Double Rare
Team Rocket's Exeggcute,77/217,Common
Team Rocket's Exeggutor,78/217,Rare
Team Rocket's Mewtwo ex,79/217,Double Rare
Togepi,80/217,Common
Togetic,81/217,Common
Togekiss,82/217,Rare
Marill,83/217,Common
Azumarill ex,84/217,Double Rare
Misdreavus,85/217,Common
Mismagius,86/217,Rare
Ralts,87/217,Common
Kirlia,88/217,Common
Mega Gardevoir ex,89/217,Double Rare
Shuppet,90/217,Common
Banette,91/217,Uncommon
Rotom,92/217,Common
Swirlix,93/217,Common
