Name,Number,Rarity
Bulbasaur,1/132,Common
Ivysaur,2/132,Common
Mega Venusaur ex,3/132,Double Rare
Exeggcute,4/132,Common
Exeggutor,5/132,Uncommon
Tangela,6/132,Common
Tangrowth,7/132,Uncommon
Chikorita,8/132,Common
Bayleef,9/132,Common
Meganium,10/132,Rare
Shuckle,11/132,Uncommon
Celebi,12/132,Uncommon
Seedot,13/132,Common
Nuzleaf,14/132,Common
Shiftry,15/132,Uncommon
Nincada,16/132,Common
Ninjask,17/132,Uncommon
Dhelmise,18/132,Common
Vulpix,19/132,Common
Ninetales,20/132,Uncommon
Numel,21/132,Common
Mega Camerupt ex,22/132,Double Rare
Litleo,23/132,Common
Pyroar,24/132,Uncommon
Volcanion,25/132,Uncommon
Scorbunny,26/132,Common
Raboot,27/132,Common
Cinderace,28/132,Rare
Sizzlipede,29/132,Common
Centiskorch,30/132,Uncommon
Chi-Yu,31/132,Uncommon
Mantine,32/132,Common
Corphish,33/132,Common
Kyogre,34/132,Rare
Snover,35/132,Common
Mega Abomasnow ex,36/132,Double Rare
Clauncher,37/132,Common
Clawitzer,38/132,Rare
Sobble,39/132,Common
Drizzile,40/132,Common
Inteleon,41/132,Uncommon
Snom,42/132,Common
Frosmoth,43/132,Uncommon
Eiscue,44/132,Common
Magnemite,45/132,Common
Magneton,46/132,Common
Magnezone,47/132,Uncommon
Raikou,48/132,Rare
Electrike,49/132,Common
Mega Manectric ex,50/132,Double Rare
Pachirisu,51/132,Common
Helioptile,52/132,Common
Heliolisk,53/132,Common
Abra,54/132,Common
Kadabra,55/132,Uncommon
Alakazam,56/132,Rare
Jynx,57/132,Common
Ralts,58/132,Common
Kirlia,59/132,Common
Mega Gardevoir ex,60/132,Double Rare
Shedinja,61/132,Uncommon
Spoink,62/132,Common
Grumpig,63/132,Uncommon
Xerneas,64/132,Rare
Greavard,65/132,Common
Houndstone,66/132,Uncommon
Gimmighoul,67/132,Common
Sandshrew,68/132,Common
Sandslash,69/132,Common
Onix,70/132,Common
Tyrogue,71/132,Common
Makuhita,72/132,Common
Hariyama,73/132,Rare
Lunatone,74/132,Rare
Solrock,75/132,Uncommon
Riolu,76/132,Common
Mega Lucario ex,77/132,Double Rare
Croagunk,78/132,Common
Toxicroak,79/132,Common
Marshadow,80/132,Uncommon
Stonjourner,81/132,Uncommon
Nacli,82/132,Common
Naclstack,83/132,Common
Garganacl,84/132,Uncommon
Crawdaunt,85/132,Uncommon
Mega Absol ex,86/132,Double Rare
Spiritomb,87/132,Uncommon
Yveltal,88/132,Rare
Nickit,89/132,Common
Thievul,90/132,Common
Shroodle,91/132,Common
Grafaiai,92/132,Common
Steelix,93/132,Rare
Mega Mawile ex,94/132,Double Rare
Dialga,95/132,Rare
Tinkatink,96/132,Common
Tinkatuff,97/132,Common
Tinkaton,98/132,Uncommon
Gholdengo,99/132,Uncommon
Mega Latias ex,100/132,Double Rare
Latios,101/132,Uncommon
Spearow,102/132,Common
Fearow,103/132,Common
Mega Kangaskhan ex,104/132,Double Rare
Delibird,105/132,Common
Miltank,106/132,Common
Buneary,107/132,Common
Lopunny,108/132,Common
Yungoos,109/132,Common
Gumshoos,110/132,Uncommon
Stufful,111/132,Common
Bewear,112/132,Common
Acerola's Mischief,113/132,Uncommon
Boss's Orders,114/132,Uncommon
Energy Switch,115/132,Common
Fighting Gong,116/132,Uncommon
Forest of Vitality,117/132,Uncommon
Iron Defender,118/132,Uncommon
Lillie's Determination,119/132,Uncommon
Lt. Surge's Bargain,120/132,Uncommon
Mega Signal,121/132,Uncommon
