Name,Number,Rarity
Oddish,1/94,Common
Gloom,2/94,Common
Vileplume,3/94,Rare
Mega Heracross ex,4/94,Double Rare
Lotad,5/94,Common
Lombre,6/94,Common
Ludicolo,7/94,Uncommon
Genesect,8/94,Rare
Nymble,9/94,Common
Lokix,10/94,Uncommon
Charmander,11/94,Common
Charmeleon,12/94,Common
Mega Charizard X ex,13/94,Double Rare
Moltres,14/94,Rare
Darumaka,15/94,Common
Darmanitan,16/94,Uncommon
Reshiram,17/94,Rare
Oricorio ex,18/94,Double Rare
Charcadet,19/94,Common
Ceruledge,20/94,Uncommon
Seel,21/94,Common
Dewgong,22/94,Common
Swinub,23/94,Common
Piloswine,24/94,Common
Mamoswine,25/94,Uncommon
Suicune,26/94,Rare
Piplup,27/94,Common
Prinplup,28/94,Common
Rotom ex,29/94,Double Rare
Yamper,30/94,Common
Boltund,31/94,Common
Pawmi,32/94,Common
Pawmo,33/94,Common
Pawmot,34/94,Rare
Misdreavus,35/94,Common
Mismagius ex,36/94,Double Rare
Snubbull,37/94,Common
Granbull,38/94,Uncommon
Cresselia,39/94,Uncommon
Meloetta,40/94,Uncommon
Mega Diancie ex,41/94,Double Rare
Mimikyu,42/94,Common
Milcery,43/94,Common
Alcremie,44/94,Uncommon
Zacian,45/94,Rare
Bramblin,46/94,Common
Brambleghast,47/94,Uncommon
Paldean Tauros,48/94,Uncommon
Gligar,49/94,Common
Gliscor,50/94,Uncommon
Trapinch,51/94,Common
Vibrava,52/94,Common
Flygon,53/94,Rare
Gastly,54/94,Common
Haunter,55/94,Uncommon
Mega Gengar ex,56/94,Double Rare
Murkrow,57/94,Common
Honchkrow,58/94,Uncommon
Sableye,59/94,Common
Carvanha,60/94,Common
Mega Sharpedo ex,61/94,Double Rare
Seviper,62/94,Uncommon
Absol,63/94,Common
Sandile,64/94,Common
Krokorok,65/94,Common
Krookodile,66/94,Uncommon
Toxel,67/94,Common
Toxtricity,68/94,Rare
Eternatus,69/94,Uncommon
Empoleon ex,70/94,Double Rare
Bronzor,71/94,Common
Bronzong,72/94,Uncommon
Togedemaru,73/94,Common
Duraludon,74/94,Common
Archaludon,75/94,Uncommon
Jigglypuff,76/94,Common
Wigglytuff,77/94,Uncommon
Aipom,78/94,Common
Ambipom,79/94,Rare
Smeargle,80/94,Common
Zigzagoon,81/94,Common
Linoone,82/94,Uncommon
Buneary,83/94,Common
Mega Lopunny ex,84/94,Double Rare
Battle Cage,85/94,Uncommon
Blowtorch,86/94,Uncommon
Dawn,87/94,Uncommon
Dizzying Valley,88/94,Uncommon
Firebreather,89/94,Uncommon
Grimsley's Move,90/94,Uncommon
Jumbo Ice Cream,91/94,Uncommon
Punk Helmet,92/94,Uncommon
Sacred Charm,93/94,Uncommon
Wondrous Patch,94/94,Uncommon
Ludicolo,95/94,Illustration Rare
Nymble,96/94,Illustration Rare
Dewgong,97/94,Illustration Rare
Piplup,98/94,Illustration Rare
Yamper,99/94,Illustration Rare
Zacian,100/94,Illustration Rare
Flygon,101/94,Illustration Rare
Paldean Wooper,102/94,Illustration Rare
Toxtricity,103/94,Illustration Rare
Togedemaru,104/94,Illustration Rare
Wigglytuff,105/94,Illustration Rare
Meowth,106/94,Illustration Rare
Ambipom,107/94,Illustration Rare
Mega Heracross ex,108/94,Ultra Rare
Mega Charizard X ex,109/94,Ultra Rare
Oricorio ex,110/94,Ultra Rare
Rotom ex,111/94,Ultra Rare
Mismagius ex,112/94,Ultra Rare
Mega Sharpedo ex,113/94,Ultra Rare
Empoleon ex,114/94,Ultra Rare
Mega Lopunny ex,115/94,Ultra Rare
Battle Cage,116/94,Ultra Rare
Blowtorch,117/94,Ultra Rare
Dawn,118/94,Ultra Rare
Firebreather,119/94,Ultra Rare
Grimsley's Move,120/94,Ultra Rare
Punk Helmet,121/94,Ultra Rare
Sacred Charm,122/94,Ultra Rare
Switch,123/94,Ultra Rare
Ignition Energy,124/94,Ultra Rare
Mega Charizard X ex,125/94,Special Illustration Rare
Rotom ex,126/94,Special Illustration Rare
Mega Sharpedo ex,127/94,Special Illustration Rare
Mega Lopunny ex,128/94,Special Illustration Rare
Dawn,129/94,Special Illustration Rare
Mega Charizard X ex,130/94,Mega Hyper Rare
