Name,Number,Rarity
Caterpie,1/147,Common
Metapod,2/147,Uncommon
Butterfree,3/147,Rare
Oddish,4/147,Common
Gloom,5/147,Uncommon
Vileplume,6/147,Rare Holo
Tangela,7/147,Common
Tangrowth,8/147,Rare
Ledyba,9/147,Common
Ledian,10/147,Rare
Heracross,11/147,Rare
Pansage,12/147,Common
Simisage,13/147,Uncommon
Dewpider,14/147,Common
Araquanid,15/147,Rare
Wimpod,16/147,Common
Golisopod-GX,17/147,Rare Holo GX
Charmander,18/147,Common
Charmander,18a/147,Common
Charmeleon,19/147,Uncommon
Charizard-GX,20/147,Rare Holo GX
Ho-Oh-GX,21/147,Rare Holo GX
Pansear,22/147,Common
Simisear,23/147,Uncommon
Heatmor,24/147,Uncommon
Salazzle-GX,25/147,Rare Holo GX
Turtonator,26/147,Rare
Alolan Vulpix,27/147,Common
Alolan Ninetales,28/147,Rare
Horsea,29/147,Common
Seadra,30/147,Uncommon
Kingdra,31/147,Rare Holo
Magikarp,32/147,Common
Gyarados,33/147,Rare Holo
Marill,34/147,Common
Azumarill,35/147,Rare
Panpour,36/147,Common
Simipour,37/147,Uncommon
Bruxish,38/147,Rare
Tapu Fini-GX,39/147,Rare Holo GX
Tapu Fini-GX,39a/147,Rare Holo GX
Pikachu,40/147,Common
Raichu,41/147,Rare Holo
Electabuzz,42/147,Uncommon
Electivire,43/147,Rare
Tynamo,44/147,Common
Eelektrik,45/147,Uncommon
Eelektross,46/147,Rare
Togedemaru,47/147,Common
Slowking,48/147,Rare
Wobbuffet,49/147,Uncommon
Seviper,50/147,Uncommon
Duskull,51/147,Common
Dusclops,52/147,Uncommon
Dusknoir,53/147,Rare Holo
Croagunk,54/147,Common
Toxicroak,55/147,Rare
Venipede,56/147,Common
Whirlipede,57/147,Uncommon
Scolipede,58/147,Rare
Espurr,59/147,Common
Meowstic,60/147,Rare
Sandygast,61/147,Common
Palossand,62/147,Rare Holo
Necrozma-GX,63/147,Rare Holo GX
Machamp-GX,64/147,Rare Holo GX
Rhyhorn,65/147,Common
Rhydon,66/147,Uncommon
Rhyperior,67/147,Rare Holo
Lunatone,68/147,Uncommon
Solrock,69/147,Uncommon
Riolu,70/147,Common
Lucario,71/147,Rare Holo
Sawk,72/147,Common
Crabrawler,73/147,Common
Crabominable,74/147,Rare
Lycanroc,75/147,Rare Holo
Lycanroc,76/147,Rare
Mudbray,77/147,Common
Mudsdale,78/147,Rare
Passimian,79/147,Rare
Marshadow-GX,80/147,Rare Holo GX
Alolan Rattata,81/147,Common
Alolan Raticate,82/147,Rare
Alolan Grimer,83/147,Common
Alolan Muk-GX,84/147,Rare Holo GX
Sneasel,85/147,Common
Weavile,86/147,Rare
Darkrai,87/147,Rare Holo
Darkrai-GX,88/147,Rare Holo GX
Darkrai-GX,88a/147,Rare Holo GX
Inkay,89/147,Common
Malamar,90/147,Rare
Ralts,91/147,Common
Kirlia,92/147,Uncommon
Kirlia,92a/147,Uncommon
Gardevoir-GX,93/147,Rare Holo GX
Diancie,94/147,Rare Holo
Cutiefly,95/147,Common
Ribombee,96/147,Uncommon
Morelull,97/147,Common
Shiinotic,98/147,Rare
Noivern-GX,99/147,Rare Holo GX
Zygarde,100/147,Rare Holo
Meowth,101/147,Common
Persian,102/147,Rare
Porygon,103/147,Common
Porygon2,104/147,Uncommon
Porygon-Z,105/147,Rare Holo
Porygon-Z,105a/147,Rare Holo
Hoothoot,106/147,Common
Noctowl,107/147,Uncommon
Bouffalant,108/147,Uncommon
Noibat,109/147,Common
Stufful,110/147,Common
Bewear,111/147,Rare
Acerola,112/147,Uncommon
Acerola,112a/147,Uncommon
Bodybuilding Dumbbells,113/147,Uncommon
Escape Rope,114/147,Uncommon
Guzma,115/147,Uncommon
Guzma,115a/147,Uncommon
Kiawe,116/147,Uncommon
Kiawe,116a/147,Uncommon
Lana,117/147,Uncommon
Mount Lanakila,118/147,Uncommon
Olivia,119/147,Uncommon
Plumeria,120/147,Uncommon
Po Town,121/147,Uncommon
Rotom Dex Poké Finder Mode,122/147,Uncommon
Sophocles,123/147,Uncommon
Super Scoop Up,124/147,Uncommon
Tormenting Spray,125/147,Uncommon
Weakness Policy,126/147,Uncommon
Wicke,127/147,Uncommon
Wishful Baton,128/147,Uncommon
Golisopod-GX,129/147,Rare Ultra
Tapu Bulu-GX,130/147,Rare Ultra
Ho-Oh-GX,131/147,Rare Ultra
