Name,Number,Rarity
Venusaur & Snivy-GX,1/236,Rare Holo GX
Oddish,2/236,Common
Gloom,3/236,Uncommon
Vileplume-GX,4/236,Rare Holo GX
Tangela,5/236,Common
Tangrowth,6/236,Uncommon
Sunkern,7/236,Common
Sunflora,8/236,Rare
Heracross,9/236,Uncommon
Lileep,10/236,Uncommon
Cradily,11/236,Rare
Tropius,12/236,Uncommon
Kricketot,13/236,Common
Kricketune,14/236,Uncommon
Deerling,15/236,Common
Sawsbuck,16/236,Rare Holo
Rowlet,17/236,Common
Rowlet,18/236,Common
Dartrix,19/236,Uncommon
Decidueye,20/236,Rare Holo
Buzzwole,21/236,Rare Holo
Charizard & Braixen-GX,22/236,Rare Holo GX
Ponyta,23/236,Common
Rapidash,24/236,Uncommon
Flareon,25/236,Uncommon
Slugma,26/236,Common
Magcargo,27/236,Rare
Entei,28/236,Rare
Torkoal,29/236,Uncommon
Victini,30/236,Rare Holo
Tepig,31/236,Common
Pignite,32/236,Uncommon
Emboar,33/236,Rare
Larvesta,34/236,Uncommon
Volcarona-GX,35/236,Rare Holo GX
Litleo,36/236,Common
Pyroar,37/236,Uncommon
Blastoise & Piplup-GX,38/236,Rare Holo GX
Alolan Vulpix,39/236,Common
Psyduck,40/236,Common
Golduck,41/236,Uncommon
Vaporeon,42/236,Uncommon
Sneasel,43/236,Common
Weavile,44/236,Rare
Wailmer,45/236,Common
Wailord,46/236,Rare
Snorunt,47/236,Common
Glalie,48/236,Rare
Spheal,49/236,Common
Spheal,50/236,Common
Sealeo,51/236,Uncommon
Walrein,52/236,Rare
Kyogre,53/236,Rare
Piplup,54/236,Common
Prinplup,55/236,Uncommon
Empoleon,56/236,Rare
Phione,57/236,Rare
Tympole,58/236,Common
Ducklett,59/236,Common
Swanna,60/236,Rare
Black Kyurem,61/236,Rare Holo
Wishiwashi,62/236,Rare Holo
Wishiwashi-GX,63/236,Rare Holo GX
Dewpider,64/236,Common
Araquanid,65/236,Uncommon
Pikachu,66/236,Common
Raichu,67/236,Rare
Magnemite,68/236,Common
Magneton,69/236,Rare Holo
Jolteon,70/236,Uncommon
Chinchou,71/236,Common
Lanturn,72/236,Rare
Togedemaru,73/236,Uncommon
Togedemaru,74/236,Common
Solgaleo & Lunala-GX,75/236,Rare Holo GX
Koffing,76/236,Common
Weezing,77/236,Rare
Natu,78/236,Common
Xatu,79/236,Rare
Ralts,80/236,Common
Kirlia,81/236,Uncommon
Gallade,82/236,Rare Holo
Duskull,83/236,Common
Dusclops,84/236,Uncommon
Dusknoir,85/236,Rare Holo
Rotom,86/236,Uncommon
Woobat,87/236,Common
Swoobat,88/236,Rare
Golett,89/236,Common
Golurk,90/236,Rare
Skrelp,91/236,Common
Dragalge,92/236,Rare
Phantump,93/236,Common
Trevenant,94/236,Rare
Oricorio-GX,95/236,Rare Holo GX
Mimikyu,96/236,Uncommon
Mimikyu,97/236,Rare
Dhelmise,98/236,Uncommon
Cosmog,99/236,Common
Cosmog,100/236,Common
Cosmoem,101/236,Uncommon
Lunala,102/236,Rare Holo
Marshadow,103/236,Rare
Blacephalon,104/236,Rare Holo
Onix,105/236,Common
Nosepass,106/236,Common
Trapinch,107/236,Common
Trapinch,108/236,Common
Vibrava,109/236,Uncommon
Flygon-GX,110/236,Rare Holo GX
Anorith,111/236,Uncommon
Armaldo,112/236,Rare
Groudon,113/236,Rare
Drilbur,114/236,Common
Excadrill,115/236,Rare Holo
Palpitoad,116/236,Common
Seismitoad,117/236,Rare
Throh,118/236,Uncommon
Pancham,119/236,Common
Pangoro,120/236,Uncommon
Crabrawler,121/236,Common
Crabominable,122/236,Rare
Rockruff,123/236,Common
Lycanroc,124/236,Rare Holo
Passimian,125/236,Common
Sandygast,126/236,Common
Palossand,127/236,Rare
Alolan Meowth,128/236,Common
Alolan Persian-GX,129/236,Rare Holo GX
Alolan Grimer,130/236,Common
Alolan Muk,131/236,Rare
Carvanha,132/236,Common
Absol,133/236,Uncommon
Pawniard,134/236,Common
Bisharp,135/236,Uncommon
Guzzlord,136/236,Rare Holo
Alolan Sandshrew,137/236,Common
Alolan Sandslash,138/236,Rare
Steelix,139/236,Rare Holo
Mawile,140/236,Uncommon
Probopass,141/236,Uncommon
Solgaleo,142/236,Rare Holo
Togepi & Cleffa & Igglybuff-GX,143/236,Rare Holo GX
Togepi & Cleffa & Igglybuff-GX,143a/236,Rare Ultra
Clefairy,144/236,Uncommon
Alolan Ninetales,145/236,Rare Holo
Azurill,146/236,Common
Cottonee,147/236,Common
Whimsicott,148/236,Rare
Flabébé,149/236,Common
Flabébé,150/236,Common
Floette,151/236,Uncommon
Florges,152/236,Rare Holo
Swirlix,153/236,Common
Slurpuff,154/236,Rare
Sylveon,155/236,Rare
Arceus & Dialga & Palkia-GX,156/236,Rare Holo GX
Reshiram & Zekrom-GX,157/236,Rare Holo GX
Naganadel & Guzzlord-GX,158/236,Rare Holo GX
Drampa,159/236,Rare
Jangmo-o,160/236,Common
Jangmo-o,161/236,Common
Hakamo-o,162/236,Uncommon
Kommo-o,163/236,Rare Holo
Ultra Necrozma,164/236,Rare Holo
Mega Lopunny & Jigglypuff-GX,165/236,Rare Holo GX
Eevee,166/236,Common
Eevee,167/236,Common
Igglybuff,168/236,Uncommon
Aipom,169/236,Common
Ambipom,170/236,Uncommon
Teddiursa,171/236,Common
Ursaring,172/236,Rare
Zangoose,173/236,Uncommon
Lillipup,174/236,Common
Herdier,175/236,Uncommon
Stoutland,176/236,Rare Holo
Rufflet,177/236,Common
Braviary,178/236,Rare
Helioptile,179/236,Common
Heliolisk,180/236,Rare
Stufful,181/236,Common
Bewear,182/236,Rare
Type: Null,183/236,Uncommon
Silvally-GX,184/236,Rare Holo GX
Beastite,185/236,Uncommon
Bellelba & Brycen-Man,186/236,Uncommon
Chaotic Swell,187/236,Uncommon
Clay,188/236,Uncommon
Cynthia & Caitlin,189/236,Uncommon
Dragonium Z: Dragon Claw,190/236,Uncommon
Erika,191/236,Uncommon
Great Catcher,192/236,Uncommon
Guzma & Hala,193/236,Uncommon
Island Challenge Amulet,194/236,Uncommon
Lana's Fishing Rod,195/236,Uncommon
Lillie's Full Force,196/236,Uncommon
Lillie's Poké Doll,197/236,Uncommon
Mallow & Lana,198/236,Uncommon
Misty & Lorelei,199/236,Uncommon
N's Resolve,200/236,Uncommon
Professor Oak's Setup,201/236,Uncommon
Red & Blue,202/236,Uncommon
Roller Skater,203/236,Uncommon
Rosa,204/236,Rare Holo
Roxie,205/236,Uncommon
Tag Call,206/236,Uncommon
Unidentified Fossil,207/236,Uncommon
Will,208/236,Uncommon
Draw Energy,209/236,Uncommon
Venusaur & Snivy-GX,210/236,Rare Ultra
Vileplume-GX,211/236,Rare Ultra
Charizard & Braixen-GX,212/236,Rare Ultra
Volcarona-GX,213/236,Rare Ultra
Blastoise & Piplup-GX,214/236,Rare Ultra
Blastoise & Piplup-GX,215/236,Rare Ultra
Solgaleo & Lunala-GX,216/236,Rare Ultra
Oricorio-GX,217/236,Rare Ultra
Flygon-GX,218/236,Rare Ultra
Alolan Persian-GX,219/236,Rare Ultra
Arceus & Dialga & Palkia-GX,220/236,Rare Ultra
Arceus & Dialga & Palkia-GX,221/236,Rare Ultra
Reshiram & Zekrom-GX,222/236,Rare Ultra
Naganadel & Guzzlord-GX,223/236,Rare Ultra
Naganadel & Guzzlord-GX,224/236,Rare Ultra
Mega Lopunny & Jigglypuff-GX,225/236,Rare Ultra
Mega Lopunny & Jigglypuff-GX,226/236,Rare Ultra
Silvally-GX,227/236,Rare Ultra
Cynthia & Caitlin,228/236,Rare Ultra
Guzma & Hala,229/236,Rare Ultra
Lillie's Full Force,230/236,Rare Ultra
Mallow & Lana,231/236,Rare Ultra
N's Resolve,232/236,Rare Ultra
Professor Oak's Setup,233/236,Rare Ultra
Red & Blue,234/236,Rare Ultra
Roller Skater,235/236,Rare Ultra
Rosa,236/236,Rare Ultra
Torkoal,237/236,Rare Secret
Weavile,238/236,Rare Secret
Piplup,239/236,Rare Secret
Wishiwashi,240/236,Rare Secret
Pikachu,241/236,Rare Secret
Magnemite,242/236,Rare Secret
Koffing,243/236,Rare Secret
Gallade,244/236,Rare Secret
Mimikyu,245/236,Rare Secret
Excadrill,246/236,Rare Secret
Steelix,247/236,Rare Secret
Stoutland,248/236,Rare Secret
Venusaur & Snivy-GX,249/236,Rare Rainbow
Vileplume-GX,250/236,Rare Rainbow
Charizard & Braixen-GX,251/236,Rare Rainbow
Volcarona-GX,252/236,Rare Rainbow
Blastoise & Piplup-GX,253/236,Rare Rainbow
Solgaleo & Lunala-GX,254/236,Rare Rainbow
Oricorio-GX,255/236,Rare Rainbow
Flygon-GX,256/236,Rare Rainbow
Alolan Persian-GX,257/236,Rare Rainbow
Arceus & Dialga & Palkia-GX,258/236,Rare Rainbow
Reshiram & Zekrom-GX,259/236,Rare Rainbow
Naganadel & Guzzlord-GX,260/236,Rare Rainbow
Mega Lopunny & Jigglypuff-GX,261/236,Rare Rainbow
Silvally-GX,262/236,Rare Rainbow
Giant Hearth,263/236,Rare Secret
Great Catcher,264/236,Rare Secret
Island Challenge Amulet,265/236,Rare Secret
Lana's Fishing Rod,266/236,Rare Secret
Lillie's Poké Doll,267/236,Rare Secret
Martial Arts Dojo,268/236,Rare Secret
Power Plant,269/236,Rare Secret
Tag Call,270/236,Rare Secret
Draw Energy,271/236,Rare Secret
