Name,Number,Rarity
Bellsprout,1/168,Common
Weepinbell,2/168,Uncommon
Victreebel,3/168,Rare Holo
Scyther,4/168,Uncommon
Spinarak,5/168,Common
Ariados,6/168,Rare Holo
Treecko,7/168,Common
Treecko,8/168,Common
Grovyle,9/168,Uncommon
Sceptile,10/168,Rare
Sceptile,10a/168,Rare Holo
Seedot,11/168,Common
Seedot,12/168,Common
Nuzleaf,13/168,Uncommon
Shiftry-GX,14/168,Rare Holo GX
Surskit,15/168,Common
Masquerain,16/168,Uncommon
Volbeat,17/168,Uncommon
Illumise,18/168,Uncommon
Cacnea,19/168,Common
Cacturne,20/168,Uncommon
Tropius,21/168,Uncommon
Dhelmise,22/168,Rare
Slugma,23/168,Common
Magcargo,24/168,Rare
Torchic,25/168,Common
Torchic,26/168,Common
Combusken,27/168,Uncommon
Blaziken-GX,28/168,Rare Holo GX
Torkoal,29/168,Uncommon
Oricorio,30/168,Uncommon
Articuno-GX,31/168,Rare Holo GX
Mudkip,32/168,Common
Mudkip,33/168,Common
Marshtomp,34/168,Uncommon
Swampert,35/168,Rare
Lotad,36/168,Common
Lombre,37/168,Uncommon
Ludicolo,38/168,Rare Holo
Wailmer,39/168,Common
Wailord,40/168,Rare
Clamperl,41/168,Common
Huntail,42/168,Uncommon
Gorebyss,43/168,Uncommon
Luvdisc,44/168,Common
Regice,45/168,Rare
Kyogre,46/168,Rare Holo
Voltorb,47/168,Common
Electrode-GX,48/168,Rare Holo GX
Chinchou,49/168,Common
Lanturn,50/168,Uncommon
Electrike,51/168,Common
Manectric,52/168,Rare
Plusle,53/168,Uncommon
Minun,54/168,Uncommon
Oricorio,55/168,Uncommon
Mr. Mime-GX,56/168,Rare Holo GX
Gulpin,57/168,Common
Swalot,58/168,Uncommon
Spoink,59/168,Common
Grumpig,60/168,Rare
Lunatone,61/168,Rare Holo
Solrock,62/168,Uncommon
Shuppet,63/168,Common
Shuppet,64/168,Common
Banette,65/168,Rare
Banette-GX,66/168,Rare Holo GX
Deoxys,67/168,Rare Holo
Deoxys,68/168,Rare
Deoxys,69/168,Rare
Lunala,70/168,Rare Holo
Onix,71/168,Common
Phanpy,72/168,Common
Donphan,73/168,Uncommon
Larvitar,74/168,Common
Pupitar,75/168,Uncommon
Meditite,76/168,Common
Medicham,77/168,Rare
Baltoy,78/168,Common
Claydol,79/168,Rare
Regirock,80/168,Rare
Groudon,81/168,Rare Holo
Palossand-GX,82/168,Rare Holo GX
Minior,83/168,Uncommon
Alolan Rattata,84/168,Common
Alolan Raticate-GX,85/168,Rare Holo GX
Sneasel,86/168,Common
Tyranitar,87/168,Rare Holo
Sableye,88/168,Uncommon
Steelix,89/168,Rare Holo
Scizor-GX,90/168,Rare Holo GX
Mawile,91/168,Uncommon
Beldum,92/168,Common
Beldum,93/168,Common
Metang,94/168,Uncommon
Metagross,95/168,Rare Holo
