Name,Number,Rarity
Weedle,1/111,Common
Kakuna,2/111,Uncommon
Beedrill,3/111,Rare
Exeggcute,4/111,Common
Cacnea,5/111,Common
Cacturne,6/111,Rare
Karrablast,7/111,Common
Shelmet,8/111,Common
Accelgor,9/111,Uncommon
Skiddo,10/111,Common
Gogoat,11/111,Rare Holo
Alolan Marowak,12/111,Rare Holo
Numel,13/111,Common
Camerupt,14/111,Rare
Staryu,15/111,Common
Starmie,16/111,Rare
Magikarp,17/111,Common
Gyarados-GX,18/111,Rare Holo GX
Swinub,19/111,Common
Piloswine,20/111,Uncommon
Mamoswine,21/111,Rare
Remoraid,22/111,Common
Octillery,23/111,Rare
Corphish,24/111,Common
Crawdaunt,25/111,Rare
Feebas,26/111,Common
Milotic,27/111,Rare Holo
Regice,28/111,Rare Holo
Shellos,29/111,Common
Pikachu,30/111,Common
Alolan Raichu,31/111,Rare Holo
Alolan Geodude,32/111,Common
Alolan Graveler,33/111,Uncommon
Alolan Golem-GX,34/111,Rare Holo GX
Emolga,35/111,Uncommon
Gastly,36/111,Common
Haunter,37/111,Uncommon
Gengar,38/111,Rare Holo
Misdreavus,39/111,Common
Mismagius,40/111,Rare
Spoink,41/111,Common
Grumpig,42/111,Uncommon
Chimecho,43/111,Common
Pumpkaboo,44/111,Common
Gourgeist,45/111,Rare
Salandit,46/111,Common
Salazzle,47/111,Rare Holo
Oranguru,48/111,Rare
Nihilego-GX,49/111,Rare Holo GX
Mankey,50/111,Common
Primeape,51/111,Rare
Cubone,52/111,Common
Regirock,53/111,Rare
Gastrodon,54/111,Uncommon
Stufful,55/111,Common
Bewear,56/111,Rare Holo
Buzzwole-GX,57/111,Rare Holo GX
Houndour,58/111,Common
Houndoom,59/111,Rare
Deino,60/111,Common
Zweilous,61/111,Uncommon
Hydreigon,62/111,Rare
Guzzlord-GX,63/111,Rare Holo GX
Guzzlord-GX,63a/111,Rare Holo GX
Mawile,64/111,Uncommon
Aron,65/111,Common
Lairon,66/111,Uncommon
Aggron,67/111,Rare Holo
Registeel,68/111,Rare
Escavalier,69/111,Rare
Kartana-GX,70/111,Rare Holo GX
Jigglypuff,71/111,Common
Wigglytuff,72/111,Rare
Xerneas,73/111,Rare Holo
Alolan Exeggutor-GX,74/111,Rare Holo GX
Jangmo-o,75/111,Common
Hakamo-o,76/111,Uncommon
Kommo-o,77/111,Rare
Miltank,78/111,Uncommon
Swablu,79/111,Common
Altaria,80/111,Rare
Starly,81/111,Common
Staravia,82/111,Uncommon
Staraptor,83/111,Rare
Regigigas,84/111,Rare Holo
Regigigas,84a/111,Rare Holo
Minccino,85/111,Common
Cinccino,86/111,Uncommon
Bunnelby,87/111,Common
Diggersby,88/111,Uncommon
Type: Null,89/111,Rare Holo
Silvally-GX,90/111,Rare Holo GX
Counter Catcher,91/111,Uncommon
Dashing Pouch,92/111,Uncommon
Devoured Field,93/111,Uncommon
Fighting Memory,94/111,Uncommon
Gladion,95/111,Uncommon
Lusamine,96/111,Uncommon
Peeking Red Card,97/111,Uncommon
Psychic Memory,98/111,Uncommon
Sea of Nothingness,99/111,Uncommon
Counter Energy,100/111,Uncommon
Gyarados-GX,101/111,Rare Ultra
Alolan Golem-GX,102/111,Rare Ultra
Nihilego-GX,103/111,Rare Ultra
Buzzwole-GX,104/111,Rare Ultra
Guzzlord-GX,105/111,Rare Ultra
Kartana-GX,106/111,Rare Ultra
Alolan Exeggutor-GX,107/111,Rare Ultra
Silvally-GX,108/111,Rare Ultra
Gladion,109/111,Rare Ultra
Lusamine,110/111,Rare Ultra
Olivia,111/111,Rare Ultra
Gyarados-GX,112/111,Rare Rainbow
Alolan Golem-GX,113/111,Rare Rainbow
Nihilego-GX,114/111,Rare Rainbow
Buzzwole-GX,115/111,Rare Rainbow
Guzzlord-GX,116/111,Rare Rainbow
Kartana-GX,117/111,Rare Rainbow
Alolan Exeggutor-GX,118/111,Rare Rainbow
Silvally-GX,119/111,Rare Rainbow
Counter Catcher,120/111,Rare Secret
Wishful Baton,121/111,Rare Secret
Counter Energy,122/111,Rare Secret
Warp Energy,123/111,Rare Secret
Water Energy,124/111,Rare Secret
