Name,Number,Rarity
Charmander,1/70,Common
Charmeleon,2/70,Uncommon
Charizard,3/70,Rare Holo
Torchic,4/70,Common
Combusken,5/70,Uncommon
Blaziken,6/70,Rare Holo
Victini ◇,7/70,Rare Prism Star
Darumaka,8/70,Common
Darmanitan,9/70,Uncommon
Heatmor,10/70,Uncommon
Reshiram-GX,11/70,Rare Holo GX
Litten,12/70,Common
Salandit,13/70,Common
Salazzle,14/70,Uncommon
Horsea,15/70,Common
Horsea,16/70,Common
Seadra,17/70,Uncommon
Kingdra-GX,18/70,Rare Holo GX
Magikarp,19/70,Common
Gyarados,20/70,Rare Holo
Lapras,21/70,Uncommon
Totodile,22/70,Common
Croconaw,23/70,Uncommon
Feraligatr,24/70,Rare Holo
Wooper,25/70,Common
Quagsire,26/70,Uncommon
Corsola,27/70,Common
Feebas,28/70,Common
Milotic,29/70,Uncommon
Phione,30/70,Uncommon
Wishiwashi,31/70,Common
Trapinch,32/70,Common
Hydreigon,33/70,Rare Holo
Dratini,34/70,Common
Dratini,35/70,Common
Dragonair,36/70,Uncommon
Dragonite-GX,37/70,Rare Holo GX
Vibrava,38/70,Common
Flygon,39/70,Uncommon
Altaria,40/70,Rare Holo
Altaria,40a/70,Rare Holo
Altaria-GX,41/70,Rare Holo GX
Bagon,42/70,Common
Shelgon,43/70,Uncommon
Salamence-GX,44/70,Rare Holo GX
Druddigon,45/70,Uncommon
Zekrom,46/70,Rare Holo
Kyurem,47/70,Rare Holo
White Kyurem-GX,48/70,Rare Holo GX
Zygarde,49/70,Uncommon
Turtonator,50/70,Uncommon
Drampa,51/70,Uncommon
Jangmo-o,52/70,Common
Hakamo-o,53/70,Common
Kommo-o,54/70,Rare Holo
Kangaskhan,55/70,Common
Swablu,56/70,Common
Swablu,57/70,Common
Blaine's Last Stand,58/70,Rare Holo
Dragon Talon,59/70,Uncommon
Fiery Flint,60/70,Uncommon
Fiery Flint,60a/70,Uncommon
Lance ◇,61/70,Rare Prism Star
Switch Raft,62/70,Uncommon
Wela Volcano Park,63/70,Uncommon
Zinnia,64/70,Uncommon
Reshiram-GX,65/70,Rare Ultra
Kingdra-GX,66/70,Rare Ultra
Dragonite-GX,67/70,Rare Ultra
Altaria-GX,68/70,Rare Ultra
Blaine's Last Stand,69/70,Rare Ultra
Zinnia,70/70,Rare Ultra
Reshiram-GX,71/70,Rare Rainbow
Altaria-GX,72/70,Rare Rainbow
Salamence-GX,73/70,Rare Rainbow
White Kyurem-GX,74/70,Rare Rainbow
Dragon Talon,75/70,Rare Secret
Fiery Flint,76/70,Rare Secret
Switch Raft,77/70,Rare Secret
Ultra Necrozma-GX,78/70,Rare Secret
