Name,Number,Rarity
Exeggcute,1/131,Common
Alolan Exeggutor,2/131,Rare
Alolan Exeggutor,2a/131,Rare
Snover,3/131,Common
Abomasnow,4/131,Rare
Scatterbug,5/131,Common
Scatterbug,6/131,Common
Spewpa,7/131,Uncommon
Vivillon,8/131,Rare
Skiddo,9/131,Common
Gogoat,10/131,Uncommon
Pheromosa,11/131,Rare Holo
Alolan Marowak,12/131,Rare
Heatran,13/131,Rare
Fennekin,14/131,Common
Fennekin,15/131,Common
Braixen,16/131,Uncommon
Delphox,17/131,Rare Holo
Litleo,18/131,Common
Pyroar,19/131,Rare Holo
Palkia-GX,20/131,Rare Holo GX
Froakie,21/131,Common
Froakie,22/131,Common
Frogadier,23/131,Uncommon
Greninja-GX,24/131,Rare Holo GX
Clauncher,25/131,Common
Clawitzer,26/131,Rare
Amaura,27/131,Uncommon
Aurorus,28/131,Rare Holo
Bergmite,29/131,Common
Avalugg,30/131,Rare
Volcanion ◇,31/131,Rare Prism Star
Dewpider,32/131,Common
Araquanid,33/131,Uncommon
Magnemite,34/131,Common
Magneton,35/131,Uncommon
Magnezone,36/131,Rare
Helioptile,37/131,Common
Heliolisk,38/131,Uncommon
Xurkitree,39/131,Rare
Rotom,40/131,Rare
Uxie,41/131,Uncommon
Mesprit,42/131,Uncommon
Azelf,43/131,Uncommon
Espurr,44/131,Common
Meowstic,45/131,Rare
Honedge,46/131,Common
Honedge,47/131,Common
Doublade,48/131,Uncommon
Aegislash,49/131,Rare
Inkay,50/131,Common
Malamar,51/131,Rare
Skrelp,52/131,Common
Dragalge,53/131,Rare
Hoopa,54/131,Uncommon
Poipole,55/131,Uncommon
Naganadel-GX,56/131,Rare Holo GX
Cubone,57/131,Common
Torterra,58/131,Rare
Infernape,59/131,Rare Holo
Gible,60/131,Common
Gabite,61/131,Uncommon
Garchomp,62/131,Rare Holo
Croagunk,63/131,Common
Toxicroak,64/131,Rare
Pancham,65/131,Common
Binacle,66/131,Common
Barbaracle,67/131,Rare
Tyrunt,68/131,Uncommon
Tyrantrum,69/131,Rare Holo
Hawlucha,70/131,Uncommon
Zygarde,71/131,Uncommon
Zygarde,72/131,Rare
Zygarde-GX,73/131,Rare Holo GX
Diancie ◇,74/131,Rare Prism Star
Rockruff,75/131,Common
Lycanroc,76/131,Rare
Buzzwole,77/131,Rare
Pangoro,78/131,Rare
Yveltal-GX,79/131,Rare Holo GX
Guzzlord,80/131,Rare Holo
Empoleon,81/131,Rare Holo
Dialga-GX,82/131,Rare Holo GX
Flabébé,83/131,Common
Flabébé,84/131,Common
Floette,85/131,Uncommon
Florges,86/131,Rare
Sylveon,87/131,Rare
Dedenne,88/131,Uncommon
Klefki,89/131,Uncommon
Xerneas-GX,90/131,Rare Holo GX
Goomy,91/131,Common
Goomy,92/131,Common
Sliggoo,93/131,Uncommon
Goodra,94/131,Rare Holo
Ultra Necrozma-GX,95/131,Rare Holo GX
Arceus ◇,96/131,Rare Prism Star
Bunnelby,97/131,Common
Diggersby,98/131,Uncommon
Furfrou,99/131,Common
Noibat,100/131,Common
Noivern,101/131,Rare
Beast Ring,102/131,Rare
Beast Ring,102a/131,Rare
Bonnie,103/131,Uncommon
Crasher Wake,104/131,Uncommon
Diantha,105/131,Rare Holo
Eneporter,106/131,Uncommon
Fossil Excavation Map,107/131,Uncommon
Judge,108/131,Uncommon
Lady,109/131,Uncommon
Lysandre ◇,110/131,Rare Prism Star
Lysandre Labs,111/131,Uncommon
Metal Frying Pan,112/131,Uncommon
Metal Frying Pan,112a/131,Uncommon
Mysterious Treasure,113/131,Uncommon
Mysterious Treasure,113a/131,Uncommon
Ultra Recon Squad,114/131,Uncommon
Ultra Space,115/131,Uncommon
Unidentified Fossil,116/131,Uncommon
Beast Energy ◇,117/131,Rare Prism Star
Unit Energy FightingDarknessFairy,118/131,Uncommon
Palkia-GX,119/131,Rare Ultra
Greninja-GX,120/131,Rare Ultra
Naganadel-GX,121/131,Rare Ultra
Lucario-GX,122/131,Rare Ultra
Zygarde-GX,123/131,Rare Ultra
Yveltal-GX,124/131,Rare Ultra
Dialga-GX,125/131,Rare Ultra
Xerneas-GX,126/131,Rare Ultra
Ultra Necrozma-GX,127/131,Rare Ultra
Bonnie,128/131,Rare Ultra
Crasher Wake,129/131,Rare Ultra
Diantha,130/131,Rare Ultra
Ultra Recon Squad,131/131,Rare Ultra
Palkia-GX,132/131,Rare Rainbow
Greninja-GX,133/131,Rare Rainbow
Naganadel-GX,134/131,Rare Rainbow
Lucario-GX,135/131,Rare Rainbow
Zygarde-GX,136/131,Rare Rainbow
Yveltal-GX,137/131,Rare Rainbow
Dialga-GX,138/131,Rare Rainbow
Xerneas-GX,139/131,Rare Rainbow
Ultra Necrozma-GX,140/131,Rare Rainbow
Beast Ring,141/131,Rare Secret
Eneporter,142/131,Rare Secret
Energy Recycler,143/131,Rare Secret
Metal Frying Pan,144/131,Rare Secret
Mysterious Treasure,145/131,Rare Secret
Unit Energy FightingDarknessFairy,146/131,Rare Secret
