Name,Number,Rarity
Bellsprout,1/145,Common
Weepinbell,2/145,Uncommon
Victreebel,3/145,Rare
Petilil,4/145,Common
Lilligant,5/145,Rare
Phantump,6/145,Common
Trevenant,7/145,Rare
Wimpod,8/145,Common
Golisopod,9/145,Rare Holo
Victini,10/145,Rare Holo
Litwick,11/145,Common
Lampent,12/145,Uncommon
Chandelure,13/145,Rare Holo
Oricorio,14/145,Rare
Salandit,15/145,Common
Salazzle,16/145,Rare
Turtonator,17/145,Rare
Turtonator-GX,18/145,Rare Holo GX
Alolan Sandshrew,19/145,Common
Alolan Sandshrew,19a/145,Common
Alolan Sandslash,20/145,Rare
Alolan Vulpix,21/145,Common
Alolan Vulpix,21a/145,Common
Alolan Ninetales-GX,22/145,Rare Holo GX
Tentacool,23/145,Common
Tentacruel,24/145,Uncommon
Politoed,25/145,Rare Holo
Delibird,26/145,Common
Carvanha,27/145,Common
Sharpedo,28/145,Rare
Wailmer,29/145,Common
Wailord,30/145,Rare
Snorunt,31/145,Common
Glalie,32/145,Uncommon
Vanillite,33/145,Common
Vanillish,34/145,Uncommon
Vanilluxe,35/145,Rare
Alomomola,36/145,Uncommon
Wishiwashi,37/145,Common
Wishiwashi-GX,38/145,Rare Holo GX
Mareanie,39/145,Uncommon
Alolan Geodude,40/145,Common
Alolan Graveler,41/145,Uncommon
Alolan Golem,42/145,Rare Holo
Helioptile,43/145,Common
Heliolisk,44/145,Rare
Vikavolt-GX,45/145,Rare Holo GX
Oricorio,46/145,Rare
Tapu Koko-GX,47/145,Rare Holo GX
Slowpoke,48/145,Common
Slowbro,49/145,Uncommon
Trubbish,50/145,Common
Garbodor,51/145,Rare
Garbodor,51a/145,Rare
Gothita,52/145,Common
Gothorita,53/145,Uncommon
Gothitelle,54/145,Rare
Oricorio,55/145,Rare
Oricorio,56/145,Rare
Toxapex-GX,57/145,Rare Holo GX
Mimikyu,58/145,Rare Holo
Dhelmise,59/145,Rare Holo
Tapu Lele-GX,60/145,Rare Holo GX
