Name,Number,Rarity
Caterpie,1/68,Common
Metapod,2/68,Uncommon
Butterfree,3/68,Rare
Paras,4/68,Common
Scyther,5/68,Uncommon
Pinsir-GX,6/68,Rare Holo GX
Charmander,7/68,Common
Charmeleon,8/68,Uncommon
Charizard-GX,9/68,Rare Holo GX
Magmar,10/68,Uncommon
Psyduck,11/68,Common
Slowpoke,12/68,Common
Staryu,13/68,Common
Starmie-GX,14/68,Rare Holo GX
Magikarp,15/68,Common
Gyarados-GX,16/68,Rare Holo GX
Lapras,17/68,Rare
Vaporeon,18/68,Rare Holo
Pikachu,19/68,Common
Raichu-GX,20/68,Rare Holo GX
Voltorb,21/68,Common
Electrode,22/68,Rare
Jolteon,23/68,Rare
Zapdos,24/68,Rare Holo
Ekans,25/68,Common
Ekans,26/68,Common
Arbok,27/68,Rare
Koffing,28/68,Common
Weezing,29/68,Rare
Jynx,30/68,Uncommon
Mewtwo-GX,31/68,Rare Holo GX
Mew,32/68,Rare
Geodude,33/68,Common
Graveler,34/68,Uncommon
Golem,35/68,Rare
Onix-GX,36/68,Rare Holo GX
Cubone,37/68,Common
Clefairy,38/68,Common
Clefairy,39/68,Common
Clefable,40/68,Rare
Jigglypuff,41/68,Common
Wigglytuff-GX,42/68,Rare Holo GX
Mr. Mime,43/68,Rare
Moltres & Zapdos & Articuno-GX,44/68,Rare Holo GX
Farfetch'd,45/68,Uncommon
Chansey,46/68,Uncommon
Kangaskhan,47/68,Rare
Eevee,48/68,Rare Holo
Eevee,49/68,Common
Snorlax,50/68,Rare
Bill's Analysis,51/68,Rare
Blaine's Last Stand,52/68,Rare
Brock's Grit,53/68,Uncommon
Brock's Pewter City Gym,54/68,Uncommon
Brock's Training,55/68,Rare Holo
Erika's Hospitality,56/68,Rare
Giovanni's Exile,57/68,Uncommon
Jessie & James,58/68,Rare Holo
Koga's Trap,59/68,Uncommon
Lt. Surge's Strategy,60/68,Uncommon
Misty's Cerulean City Gym,61/68,Uncommon
Misty's Determination,62/68,Uncommon
Misty's Water Command,63/68,Rare Holo
Pokémon Center Lady,64/68,Uncommon
Sabrina's Suggestion,65/68,Uncommon
Moltres & Zapdos & Articuno-GX,66/68,Rare Ultra
Giovanni's Exile,67/68,Rare Ultra
Jessie & James,68/68,Rare Ultra
Moltres & Zapdos & Articuno-GX,69/68,Rare Rainbow
