Name,Number,Rarity
Tangela,1/214,Common
Tangrowth,2/214,Rare
Scyther,3/214,Common
Pinsir,4/214,Uncommon
Chikorita,5/214,Common
Chikorita,6/214,Common
Bayleef,7/214,Uncommon
Meganium,8/214,Rare Holo
Spinarak,9/214,Common
Ariados,10/214,Uncommon
Hoppip,11/214,Common
Hoppip,12/214,Common
Skiploom,13/214,Uncommon
Jumpluff,14/214,Rare Holo
Pineco,15/214,Common
Shuckle,16/214,Uncommon
Shuckle-GX,17/214,Rare Holo GX
Heracross,18/214,Uncommon
Celebi ◇,19/214,Rare Prism Star
Treecko,20/214,Common
Grovyle,21/214,Uncommon
Sceptile-GX,22/214,Rare Holo GX
Wurmple,23/214,Common
Wurmple,24/214,Common
Silcoon,25/214,Uncommon
Beautifly,26/214,Rare
Cascoon,27/214,Uncommon
Dustox,28/214,Rare
Nincada,29/214,Common
Ninjask,30/214,Uncommon
Combee,31/214,Common
Vespiquen,32/214,Uncommon
Shaymin,33/214,Rare Holo
Virizion-GX,34/214,Rare Holo GX
Skiddo,35/214,Common
Gogoat,36/214,Uncommon
Tapu Bulu,37/214,Rare Holo
Moltres,38/214,Rare
Cyndaquil,39/214,Common
Cyndaquil,40/214,Common
Quilava,41/214,Uncommon
Typhlosion,42/214,Rare Holo
Slugma,43/214,Common
Magcargo-GX,44/214,Rare Holo GX
Houndour,45/214,Common
Houndoom,46/214,Rare
Entei,47/214,Rare
Heatran,48/214,Rare Holo
Victini,49/214,Rare
Litleo,50/214,Common
Pyroar,51/214,Rare
Blacephalon-GX,52/214,Rare Holo GX
Alolan Vulpix,53/214,Common
Slowpoke,54/214,Common
Slowking,55/214,Rare
Lapras,56/214,Rare
Delibird,57/214,Uncommon
Mantine,58/214,Uncommon
Suicune,59/214,Rare Holo
Suicune-GX,60/214,Rare Holo GX
Cubchoo,61/214,Common
Beartic,62/214,Rare
White Kyurem,63/214,Rare Holo
Popplio,64/214,Common
Popplio,65/214,Common
Brionne,66/214,Uncommon
Primarina,67/214,Rare
Mareanie,68/214,Common
Toxapex,69/214,Rare
Bruxish,70/214,Common
Electabuzz,71/214,Uncommon
Electivire,72/214,Rare
Chinchou,73/214,Common
Lanturn,74/214,Rare
Mareep,75/214,Common
Mareep,76/214,Common
Flaaffy,77/214,Uncommon
Ampharos,78/214,Rare Holo
Raikou,79/214,Rare
Pachirisu,80/214,Common
Blitzle,81/214,Common
Zebstrika,82/214,Rare
Stunfisk,83/214,Common
