Name,Number,Rarity
Bulbasaur,1/73,Common
Ivysaur,2/73,Common
Venusaur,3/73,Uncommon
Shroomish,4/73,Common
Breloom,5/73,Common
Carnivine,6/73,Uncommon
Shaymin,7/73,Rare Holo
Virizion,8/73,Rare Holo
Shining Genesect,9/73,Rare Shining
Entei-GX,10/73,Rare Holo GX
Entei-GX,10a/73,Rare Holo GX
Torkoal,11/73,Common
Larvesta,12/73,Common
Volcarona,13/73,Uncommon
Reshiram,14/73,Rare Holo
Litten,15/73,Common
Torracat,16/73,Common
Incineroar,17/73,Uncommon
Totodile,18/73,Common
Croconaw,19/73,Common
Feraligatr,20/73,Uncommon
Qwilfish,21/73,Common
Buizel,22/73,Common
Floatzel,23/73,Uncommon
Palkia,24/73,Rare Holo
Manaphy,25/73,Rare Holo
Keldeo,26/73,Rare Holo
Shining Volcanion,27/73,Rare Shining
Pikachu,28/73,Common
Raichu-GX,29/73,Rare Holo GX
Voltorb,30/73,Common
Electrode,31/73,Uncommon
Raikou,32/73,Rare Holo
Plusle,33/73,Common
Minun,34/73,Common
Zekrom,35/73,Rare Holo
Ekans,36/73,Common
Arbok,37/73,Uncommon
Jynx,38/73,Common
Mewtwo-GX,39/73,Rare Holo GX
Shining Mew,40/73,Rare Shining
Latios,41/73,Rare Holo
Shining Jirachi,42/73,Rare Shining
Golett,43/73,Common
Golurk,44/73,Uncommon
Marshadow,45/73,Rare Holo
Stunfisk,46/73,Common
Spiritomb,47/73,Uncommon
Purrloin,48/73,Common
Liepard,49/73,Uncommon
Scraggy,50/73,Common
Scrafty,51/73,Uncommon
Zorua,52/73,Common
Zoroark-GX,53/73,Rare Holo GX
Yveltal,54/73,Rare Holo
Hoopa,55/73,Rare Holo
Shining Rayquaza,56/73,Rare Shining
Shining Arceus,57/73,Rare Shining
Damage Mover,58/73,Uncommon
Energy Retrieval,59/73,Uncommon
Great Ball,60/73,Uncommon
Hau,61/73,Uncommon
Lillie,62/73,Uncommon
Pokémon Breeder,63/73,Uncommon
Pokémon Catcher,64/73,Uncommon
Sophocles,65/73,Uncommon
Super Scoop Up,66/73,Uncommon
Switch,67/73,Uncommon
Ultra Ball,68/73,Uncommon
Ultra Ball,68a/73,Uncommon
Double Colorless Energy,69/73,Uncommon
Warp Energy,70/73,Uncommon
Entei-GX,71/73,Rare Ultra
Mewtwo-GX,72/73,Rare Ultra
Pokémon Breeder,73/73,Rare Ultra
Entei-GX,74/73,Rare Rainbow
Raichu-GX,75/73,Rare Rainbow
Mewtwo-GX,76/73,Rare Rainbow
Zoroark-GX,77/73,Rare Rainbow
Zoroark-GX,77a/73,Rare Ultra
Mewtwo-GX,78/73,Rare Secret
