Name,Number,Rarity
Caterpie,1/149,Common
Metapod,2/149,Uncommon
Butterfree,3/149,Rare
Paras,4/149,Common
Parasect,5/149,Rare
Pinsir,6/149,Uncommon
Surskit,7/149,Common
Masquerain,8/149,Rare
Rowlet,9/149,Common
Dartrix,10/149,Uncommon
Decidueye,11/149,Rare
Decidueye-GX,12/149,Rare Holo GX
Grubbin,13/149,Common
Fomantis,14/149,Common
Lurantis-GX,15/149,Rare Holo GX
Morelull,16/149,Common
Shiinotic,17/149,Rare Holo
Bounsweet,18/149,Common
Steenee,19/149,Uncommon
Tsareena,20/149,Rare Holo
Growlithe,21/149,Common
Arcanine,22/149,Rare Holo
Torkoal,23/149,Common
Litten,24/149,Common
Torracat,25/149,Uncommon
Incineroar,26/149,Rare
Incineroar-GX,27/149,Rare Holo GX
Psyduck,28/149,Common
Golduck,29/149,Rare
Poliwag,30/149,Common
Poliwhirl,31/149,Uncommon
Poliwrath,32/149,Rare Holo
Shellder,33/149,Common
Cloyster,34/149,Rare
Lapras-GX,35/149,Rare Holo GX
Corsola,36/149,Uncommon
Wingull,37/149,Common
Pelipper,38/149,Uncommon
Popplio,39/149,Common
Brionne,40/149,Uncommon
Primarina,41/149,Rare
Primarina-GX,42/149,Rare Holo GX
Crabominable,43/149,Rare
Wishiwashi,44/149,Uncommon
Dewpider,45/149,Common
Araquanid,46/149,Uncommon
Pyukumuku,47/149,Uncommon
Bruxish,48/149,Rare
Chinchou,49/149,Common
Lanturn,50/149,Rare
Charjabug,51/149,Uncommon
Vikavolt,52/149,Rare Holo
Togedemaru,53/149,Common
Zubat,54/149,Common
Golbat,55/149,Uncommon
Crobat,56/149,Rare Holo
Alolan Grimer,57/149,Common
Alolan Muk,58/149,Rare Holo
Drowzee,59/149,Common
Hypno,60/149,Uncommon
Espeon-GX,61/149,Rare Holo GX
Mareanie,62/149,Common
Toxapex,63/149,Rare Holo
Cosmog,64/149,Common
Cosmoem,65/149,Rare
Lunala-GX,66/149,Rare Holo GX
Makuhita,67/149,Common
Hariyama,68/149,Rare
Roggenrola,69/149,Common
Boldore,70/149,Uncommon
Gigalith,71/149,Rare Holo
Crabrawler,72/149,Common
Passimian,73/149,Uncommon
Sandygast,74/149,Common
Palossand,75/149,Rare
Alolan Rattata,76/149,Common
Alolan Raticate,77/149,Uncommon
Alolan Meowth,78/149,Common
Alolan Persian,79/149,Uncommon
Umbreon-GX,80/149,Rare Holo GX
Carvanha,81/149,Common
Sharpedo,82/149,Rare Holo
Sandile,83/149,Common
Krokorok,84/149,Uncommon
Krookodile,85/149,Rare Holo
Alolan Diglett,86/149,Common
Alolan Dugtrio,87/149,Rare Holo
Skarmory,88/149,Common
Solgaleo-GX,89/149,Rare Holo GX
Snubbull,90/149,Common
Granbull,91/149,Uncommon
Cutiefly,92/149,Common
Ribombee,93/149,Rare Holo
Dratini,94/149,Common
Dragonair,95/149,Uncommon
Dragonite,96/149,Rare Holo
Spearow,97/149,Common
Fearow,98/149,Common
Kangaskhan,99/149,Rare Holo
Tauros-GX,100/149,Rare Holo GX
Eevee,101/149,Common
Eevee,101a/149,Common
Spinda,102/149,Uncommon
Lillipup,103/149,Common
Herdier,104/149,Uncommon
Stoutland,105/149,Rare
Pikipek,106/149,Common
Trumbeak,107/149,Uncommon
Toucannon,108/149,Rare
Yungoos,109/149,Common
