Name,Number,Rarity
Celebi & Venusaur-GX,1/181,Rare Holo GX
Weedle,2/181,Common
Weedle,3/181,Common
Kakuna,4/181,Uncommon
Beedrill,5/181,Rare
Paras,6/181,Common
Parasect,7/181,Rare
Exeggcute,8/181,Common
Pinsir,9/181,Rare
Shaymin ◇,10/181,Rare Prism Star
Charmander,11/181,Common
Charmander,12/181,Common
Charmeleon,13/181,Uncommon
Charizard,14/181,Rare
Vulpix,15/181,Common
Ninetales,16/181,Rare
Ponyta,17/181,Common
Rapidash,18/181,Uncommon
Moltres,19/181,Rare Holo
Litten,20/181,Common
Torracat,21/181,Uncommon
Squirtle,22/181,Common
Squirtle,23/181,Common
Wartortle,24/181,Uncommon
Blastoise,25/181,Rare
Psyduck,26/181,Common
Golduck,27/181,Uncommon
Staryu,28/181,Common
Magikarp,29/181,Common
Gyarados,30/181,Rare Holo
Lapras,31/181,Rare
Articuno,32/181,Rare Holo
Pikachu & Zekrom-GX,33/181,Rare Holo GX
Alolan Geodude,34/181,Common
Alolan Geodude,35/181,Common
Alolan Graveler,36/181,Uncommon
Alolan Golem,37/181,Rare
Voltorb,38/181,Common
Electrode,39/181,Rare Holo
Zapdos,40/181,Rare Holo
Mareep,41/181,Common
Flaaffy,42/181,Uncommon
Ampharos-GX,43/181,Rare Holo GX
Blitzle,44/181,Common
Zebstrika,45/181,Rare
Emolga,46/181,Common
Joltik,47/181,Common
Galvantula,48/181,Rare
Helioptile,49/181,Common
Heliolisk,50/181,Uncommon
Tapu Koko ◇,51/181,Rare Prism Star
Zeraora,52/181,Rare Holo
Gengar & Mimikyu-GX,53/181,Rare Holo GX
Nidoran ♀,54/181,Common
Nidorina,55/181,Uncommon
Nidoqueen,56/181,Rare
Nidoran ♂,57/181,Common
Nidorino,58/181,Uncommon
Nidoking,59/181,Rare
Tentacool,60/181,Common
Tentacruel,61/181,Uncommon
Grimer,62/181,Common
Muk,63/181,Rare
Alolan Marowak,64/181,Rare
Starmie,65/181,Rare
Mr. Mime,66/181,Rare
Mr. Mime-GX,67/181,Rare Holo GX
Jynx,68/181,Uncommon
Cosmog,69/181,Common
Cosmoem,70/181,Uncommon
Mankey,71/181,Common
Primeape,72/181,Rare
Hitmonlee,73/181,Uncommon
Hitmonchan,74/181,Uncommon
Omanyte,75/181,Uncommon
Omastar,76/181,Rare Holo
Kabuto,77/181,Uncommon
Kabutops,78/181,Rare
Larvitar,79/181,Common
Pupitar,80/181,Uncommon
Pancham,81/181,Common
Lycanroc-GX,82/181,Rare Holo GX
Alolan Grimer,83/181,Common
Alolan Muk,84/181,Rare
Tyranitar,85/181,Rare Holo
Poochyena,86/181,Common
Mightyena,87/181,Rare
Absol,88/181,Rare Holo
Spiritomb,89/181,Uncommon
Zorua,90/181,Common
Zoroark,91/181,Rare Holo
Vullaby,92/181,Common
Mandibuzz,93/181,Rare
Pangoro,94/181,Rare
Yveltal,95/181,Rare Holo
Hoopa-GX,96/181,Rare Holo GX
Incineroar-GX,97/181,Rare Holo GX
Skarmory,98/181,Rare
Jirachi,99/181,Rare Holo
Bronzor,100/181,Common
Bronzong,101/181,Rare
Ferroseed,102/181,Common
Ferrothorn,103/181,Rare
Pawniard,104/181,Common
Bisharp,105/181,Rare
Cobalion-GX,106/181,Rare Holo GX
Honedge,107/181,Common
Doublade,108/181,Uncommon
Aegislash,109/181,Rare Holo
Klefki,110/181,Common
Alolan Ninetales,111/181,Rare Holo
Mimikyu,112/181,Rare
Latias & Latios-GX,113/181,Rare Holo GX
Alolan Exeggutor,114/181,Rare
Alolan Exeggutor,115/181,Rare
Dratini,116/181,Common
Dratini,117/181,Common
Dragonair,118/181,Uncommon
Dragonite,119/181,Rare Holo
Eevee & Snorlax-GX,120/181,Rare Holo GX
Pidgey,121/181,Common
Pidgey,122/181,Common
Pidgeotto,123/181,Common
Pidgeot,124/181,Rare
Meowth,125/181,Common
Persian,126/181,Uncommon
Farfetch'd,127/181,Uncommon
Kangaskhan,128/181,Uncommon
Tauros,129/181,Uncommon
Aerodactyl,130/181,Rare
Lugia,131/181,Rare Holo
Zangoose,132/181,Rare Holo
Bill's Analysis,133/181,Rare Holo
Black Market ◇,134/181,Rare Prism Star
Brock's Grit,135/181,Uncommon
Buff Padding,136/181,Uncommon
Dana,137/181,Uncommon
Dangerous Drill,138/181,Uncommon
Electrocharger,139/181,Uncommon
Erika's Hospitality,140/181,Rare Holo
Evelyn,141/181,Uncommon
Fairy Charm UB,142/181,Uncommon
Grass Memory,143/181,Uncommon
Ingo & Emmet,144/181,Uncommon
Jasmine,145/181,Uncommon
Judge Whistle,146/181,Uncommon
Lavender Town,147/181,Uncommon
Metal Goggles,148/181,Uncommon
Morgan,149/181,Uncommon
Nanu,150/181,Uncommon
Nita,151/181,Uncommon
Pokémon Communication,152/181,Uncommon
Pokémon Communication,152a/181,Uncommon
Pokémon Communication,152b/181,Uncommon
Return Label,153/181,Uncommon
Sabrina's Suggestion,154/181,Uncommon
Unidentified Fossil,155/181,Uncommon
Viridian Forest,156/181,Uncommon
Water Memory,157/181,Uncommon
Wondrous Labyrinth ◇,158/181,Rare Prism Star
Celebi & Venusaur-GX,159/181,Rare Ultra
Magikarp & Wailord-GX,160/181,Rare Ultra
Magikarp & Wailord-GX,161/181,Rare Ultra
Pikachu & Zekrom-GX,162/181,Rare Ultra
Ampharos-GX,163/181,Rare Ultra
Gengar & Mimikyu-GX,164/181,Rare Ultra
Gengar & Mimikyu-GX,165/181,Rare Ultra
Hoopa-GX,166/181,Rare Ultra
Incineroar-GX,167/181,Rare Ultra
Cobalion-GX,168/181,Rare Ultra
Latias & Latios-GX,169/181,Rare Ultra
Latias & Latios-GX,170/181,Rare Ultra
Eevee & Snorlax-GX,171/181,Rare Ultra
Brock's Grit,172/181,Rare Ultra
Dana,173/181,Rare Ultra
Erika's Hospitality,174/181,Rare Ultra
Evelyn,175/181,Rare Ultra
Ingo & Emmet,176/181,Rare Ultra
Jasmine,177/181,Rare Ultra
Morgan,178/181,Rare Ultra
Nanu,179/181,Rare Ultra
Nita,180/181,Rare Ultra
Sabrina's Suggestion,181/181,Rare Ultra
Celebi & Venusaur-GX,182/181,Rare Rainbow
Magikarp & Wailord-GX,183/181,Rare Rainbow
Pikachu & Zekrom-GX,184/181,Rare Rainbow
Ampharos-GX,185/181,Rare Rainbow
Gengar & Mimikyu-GX,186/181,Rare Rainbow
Hoopa-GX,187/181,Rare Rainbow
Incineroar-GX,188/181,Rare Rainbow
Cobalion-GX,189/181,Rare Rainbow
Latias & Latios-GX,190/181,Rare Rainbow
Eevee & Snorlax-GX,191/181,Rare Rainbow
Dangerous Drill,192/181,Rare Secret
Electrocharger,193/181,Rare Secret
Judge Whistle,194/181,Rare Secret
Metal Goggles,195/181,Rare Secret
Pokémon Communication,196/181,Rare Secret
