Name,Number,Rarity
Pheromosa & Buzzwole-GX,1/214,Rare Holo GX
Caterpie,2/214,Common
Metapod,3/214,Uncommon
Butterfree,4/214,Rare
Oddish,5/214,Common
Oddish,6/214,Common
Gloom,7/214,Uncommon
Vileplume,8/214,Rare Holo
Venonat,9/214,Common
Venonat,10/214,Common
Venomoth,11/214,Rare
Venomoth-GX,12/214,Rare Holo GX
Bellsprout,13/214,Common
Weepinbell,14/214,Uncommon
Victreebel,15/214,Rare
Tangela,16/214,Common
Tangrowth,17/214,Rare
Grubbin,18/214,Common
Kartana,19/214,Rare Holo
Reshiram & Charizard-GX,20/214,Rare Holo GX
Growlithe,21/214,Common
Arcanine,22/214,Rare Holo
Darumaka,23/214,Common
Darmanitan,24/214,Rare
Volcanion,25/214,Rare Holo
Litten,26/214,Common
Litten,27/214,Common
Torracat,28/214,Uncommon
Incineroar,29/214,Rare
Salandit,30/214,Common
Salazzle,31/214,Rare
Blacephalon,32/214,Rare
Squirtle,33/214,Common
Wartortle,34/214,Uncommon
Blastoise-GX,35/214,Rare Holo GX
Poliwag,36/214,Common
Poliwag,37/214,Common
Poliwhirl,38/214,Uncommon
Poliwrath,39/214,Rare
Tentacool,40/214,Common
Tentacruel,41/214,Uncommon
Slowpoke,42/214,Common
Slowbro,43/214,Rare Holo
Seel,44/214,Common
Dewgong,45/214,Rare
Krabby,46/214,Common
Kingler,47/214,Rare
Goldeen,48/214,Common
Seaking,49/214,Rare
Kyurem,50/214,Rare Holo
Froakie,51/214,Common
Frogadier,52/214,Uncommon
Pyukumuku,53/214,Uncommon
Pikachu,54/214,Common
Raichu,55/214,Rare
Stunfisk,56/214,Rare
Dedenne-GX,57/214,Rare Holo GX
Charjabug,58/214,Uncommon
Vikavolt,59/214,Rare Holo
Zeraora,60/214,Rare
Muk & Alolan Muk-GX,61/214,Rare Holo GX
Ekans,62/214,Common
Arbok,63/214,Rare
Zubat,64/214,Common
Golbat,65/214,Uncommon
Crobat,66/214,Rare Holo
Gastly,67/214,Common
Gastly,68/214,Common
Haunter,69/214,Uncommon
Gengar,70/214,Rare
Drowzee,71/214,Common
Hypno,72/214,Rare
Koffing,73/214,Common
Weezing,74/214,Rare
Mewtwo,75/214,Rare
Mew,76/214,Rare Holo
Misdreavus,77/214,Common
Mismagius,78/214,Rare
Espurr,79/214,Common
Meowstic,80/214,Rare
Marshadow,81/214,Rare Holo
Marshadow & Machamp-GX,82/214,Rare Holo GX
Sandshrew,83/214,Common
Sandslash,84/214,Rare
Diglett,85/214,Common
Dugtrio,86/214,Rare
Geodude,87/214,Common
Graveler,88/214,Uncommon
Golem,89/214,Rare Holo
Cubone,90/214,Common
Marowak,91/214,Rare
Rhyhorn,92/214,Common
Rhyhorn,93/214,Common
Rhydon,94/214,Uncommon
Rhyperior,95/214,Rare
Wooper,96/214,Common
Quagsire,97/214,Rare
Gligar,98/214,Common
Gliscor,99/214,Uncommon
Tyrogue,100/214,Uncommon
Hitmontop,101/214,Uncommon
Riolu,102/214,Common
Landorus,103/214,Rare Holo
Crabrawler,104/214,Common
Crabominable,105/214,Rare
Stakataka,106/214,Rare Holo
Greninja & Zoroark-GX,107/214,Rare Holo GX
Murkrow,108/214,Common
Honchkrow-GX,109/214,Rare Holo GX
Carvanha,110/214,Common
Sharpedo,111/214,Rare
Spiritomb,112/214,Rare Holo
Sandile,113/214,Common
Sandile,114/214,Common
Krokorok,115/214,Uncommon
Krookodile,116/214,Rare
Greninja,117/214,Rare Holo
Inkay,118/214,Common
Malamar,119/214,Rare Holo
Lucario & Melmetal-GX,120/214,Rare Holo GX
Alolan Diglett,121/214,Common
Alolan Dugtrio,122/214,Rare
Aron,123/214,Common
Lairon,124/214,Uncommon
Aggron,125/214,Rare
Lucario,126/214,Rare Holo
Genesect,127/214,Rare
Meltan,128/214,Common
Melmetal,129/214,Rare Holo
Gardevoir & Sylveon-GX,130/214,Rare Holo GX
Cleffa,131/214,Uncommon
Clefairy,132/214,Common
Clefable,133/214,Rare
Jigglypuff,134/214,Common
Wigglytuff,135/214,Rare
Togepi,136/214,Common
Togetic,137/214,Uncommon
Togekiss,138/214,Rare Holo
Cottonee,139/214,Common
Whimsicott-GX,140/214,Rare Holo GX
Spritzee,141/214,Common
Aromatisse,142/214,Rare
Rattata,143/214,Common
Raticate,144/214,Uncommon
Spearow,145/214,Common
Fearow,146/214,Uncommon
Meowth,147/214,Common
Persian,148/214,Rare
Persian-GX,149/214,Rare Holo GX
Doduo,150/214,Common
Dodrio,151/214,Uncommon
Lickitung,152/214,Common
Lickilicky,153/214,Rare
Porygon,154/214,Common
Porygon,155/214,Common
Porygon2,156/214,Uncommon
Porygon-Z,157/214,Rare Holo
Snorlax,158/214,Rare Holo
Glameow,159/214,Common
Purugly,160/214,Rare
Happiny,161/214,Uncommon
Chatot,162/214,Uncommon
Celesteela-GX,163/214,Rare Holo GX
Beast Bringer,164/214,Uncommon
Chip-Chip Ice Axe,165/214,Uncommon
Devolution Spray Z,166/214,Uncommon
Dusk Stone,167/214,Uncommon
Dust Island,168/214,Uncommon
Electromagnetic Radar,169/214,Uncommon
Energy Spinner,170/214,Uncommon
