Name,Number,Rarity
Rowlet & Alolan Exeggutor-GX,1/236,Rare Holo GX
Yanma,2/236,Common
Yanmega,3/236,Uncommon
Celebi,4/236,Rare Holo
Shroomish,5/236,Common
Sewaddle,6/236,Common
Sewaddle,7/236,Common
Swadloon,8/236,Uncommon
Leavanny,9/236,Rare
Dwebble,10/236,Common
Crustle,11/236,Rare
Karrablast,12/236,Common
Foongus,13/236,Common
Amoonguss,14/236,Rare
Fomantis,15/236,Common
Lurantis,16/236,Uncommon
Bounsweet,17/236,Common
Steenee,18/236,Uncommon
Tsareena,19/236,Rare Holo
Dhelmise,20/236,Uncommon
Magmar,21/236,Common
Magmortar,22/236,Rare
Numel,23/236,Common
Camerupt,24/236,Rare
Heatran-GX,25/236,Rare Holo GX
Victini,26/236,Rare Holo
Litwick,27/236,Common
Litwick,28/236,Common
Lampent,29/236,Uncommon
Chandelure,30/236,Rare Holo
Fletchinder,31/236,Common
Talonflame,32/236,Rare
Salandit,33/236,Common
Salazzle,34/236,Rare
Slowpoke & Psyduck-GX,35/236,Rare Holo GX
Lapras,36/236,Uncommon
Snorunt,37/236,Common
Froslass,38/236,Rare Holo
Finneon,39/236,Common
Lumineon,40/236,Uncommon
Snover,41/236,Common
Abomasnow,42/236,Rare
Basculin,43/236,Uncommon
Tirtouga,44/236,Uncommon
Carracosta,45/236,Uncommon
Cryogonal,46/236,Common
Keldeo-GX,47/236,Rare Holo GX
Dewpider,48/236,Common
Araquanid,49/236,Rare
Wimpod,50/236,Common
Golisopod,51/236,Rare Holo
Pyukumuku,52/236,Uncommon
Tapu Fini,53/236,Rare
Raichu & Alolan Raichu-GX,54/236,Rare Holo GX
Pikachu,55/236,Common
Pikachu,56/236,Common
Alolan Raichu,57/236,Rare Holo
Magnemite,58/236,Common
Magneton,59/236,Uncommon
Magnezone,60/236,Rare Holo
Joltik,61/236,Common
Galvantula,62/236,Rare
Tynamo,63/236,Common
Tynamo,64/236,Common
Eelektrik,65/236,Uncommon
Eelektross,66/236,Rare Holo
Stunfisk,67/236,Common
Thundurus,68/236,Uncommon
Tapu Koko,69/236,Rare Holo
Xurkitree,70/236,Rare
Mewtwo & Mew-GX,71/236,Rare Holo GX
Espeon & Deoxys-GX,72/236,Rare Holo GX
Exeggcute,73/236,Common
Exeggutor,74/236,Rare
Alolan Marowak,75/236,Rare
Jynx,76/236,Uncommon
Wynaut,77/236,Uncommon
Latios-GX,78/236,Rare Holo GX
Jirachi-GX,79/236,Rare Holo GX
Jirachi-GX,79a/236,Rare Ultra
Drifloon,80/236,Common
Drifblim,81/236,Rare
Skorupi,82/236,Common
Uxie,83/236,Rare Holo
Mesprit,84/236,Uncommon
Azelf,85/236,Uncommon
Giratina,86/236,Rare Holo
Cresselia,87/236,Uncommon
Munna,88/236,Common
Musharna,89/236,Uncommon
Elgyem,90/236,Uncommon
Beheeyem,91/236,Rare
Honedge,92/236,Common
Honedge,93/236,Common
Doublade,94/236,Uncommon
Aegislash,95/236,Rare Holo
Mareanie,96/236,Common
Toxapex,97/236,Rare
Salandit,98/236,Common
Salazzle,99/236,Rare
Cosmog,100/236,Common
Necrozma,101/236,Rare
Poipole,102/236,Common
Onix,103/236,Common
Steelix,104/236,Rare
Cubone,105/236,Common
Aerodactyl-GX,106/236,Rare Holo GX
Heracross,107/236,Uncommon
Breloom,108/236,Uncommon
Meditite,109/236,Common
Medicham,110/236,Rare
Relicanth,111/236,Uncommon
Gible,112/236,Common
Gabite,113/236,Uncommon
Garchomp,114/236,Rare Holo
Riolu,115/236,Common
Riolu,116/236,Common
Lucario,117/236,Rare
Drilbur,118/236,Common
Excadrill,119/236,Rare
Archen,120/236,Uncommon
Archeops,121/236,Rare
Terrakion,122/236,Rare Holo
Meloetta,123/236,Rare
Zygarde,124/236,Rare
Umbreon & Darkrai-GX,125/236,Rare Holo GX
Mega Sableye & Tyranitar-GX,126/236,Rare Holo GX
Alolan Grimer,127/236,Common
Murkrow,128/236,Common
Murkrow,129/236,Common
Honchkrow,130/236,Rare
Sneasel,131/236,Common
Weavile-GX,132/236,Rare Holo GX
Sableye,133/236,Uncommon
Drapion,134/236,Rare
Purrloin,135/236,Common
Liepard,136/236,Rare
Scraggy,137/236,Common
Scrafty,138/236,Rare
Yveltal,139/236,Rare Holo
Hoopa,140/236,Rare Holo
Mawile-GX,141/236,Rare Holo GX
Escavalier,142/236,Rare
Cottonee,143/236,Common
Whimsicott,144/236,Rare
Dedenne,145/236,Uncommon
Garchomp & Giratina-GX,146/236,Rare Holo GX
Dratini,147/236,Common
Dratini,148/236,Common
Dragonair,149/236,Uncommon
Dragonair,150/236,Uncommon
Dragonite,151/236,Rare
Dragonite-GX,152/236,Rare Holo GX
Latias,153/236,Rare
Axew,154/236,Common
Fraxure,155/236,Uncommon
Haxorus,156/236,Rare Holo
Druddigon,157/236,Common
Noibat,158/236,Common
Noivern,159/236,Rare
Naganadel-GX,160/236,Rare Holo GX
Lickitung,161/236,Common
Lickilicky,162/236,Rare
Kangaskhan,163/236,Rare Holo
Tauros,164/236,Uncommon
Hoothoot,165/236,Common
Noctowl,166/236,Uncommon
Slakoth,167/236,Common
Slakoth,168/236,Common
Vigoroth,169/236,Uncommon
Slaking,170/236,Rare Holo
Bidoof,171/236,Common
Bibarel,172/236,Uncommon
Munchlax,173/236,Uncommon
Pidove,174/236,Common
Tranquill,175/236,Uncommon
Unfezant,176/236,Rare
Audino,177/236,Uncommon
Tornadus,178/236,Uncommon
Fletchling,179/236,Common
Yungoos,180/236,Common
Gumshoos,181/236,Rare
Oranguru,182/236,Uncommon
Type: Null,183/236,Uncommon
Silvally,184/236,Rare Holo
Komala,185/236,Uncommon
Blaine's Quiz Show,186/236,Uncommon
Blizzard Town,187/236,Uncommon
Blue's Tactics,188/236,Uncommon
Bug Catcher,189/236,Uncommon
Channeler,190/236,Uncommon
Cherish Ball,191/236,Uncommon
Cherish Ball,191a/236,Uncommon
Coach Trainer,192/236,Uncommon
Dark City,193/236,Uncommon
Ear-Ringing Bell,194/236,Uncommon
Flyinium Z: Air Slash,195/236,Uncommon
Giant Bomb,196/236,Uncommon
Giant Hearth,197/236,Uncommon
Great Potion,198/236,Uncommon
Grimsley,199/236,Uncommon
Hapu,200/236,Uncommon
Karate Belt,201/236,Uncommon
Misty's Favor,202/236,Uncommon
Normalium Z: Tackle,203/236,Uncommon
Poké Maniac,204/236,Uncommon
Pokémon Research Lab,205/236,Uncommon
Reset Stamp,206/236,Uncommon
Reset Stamp,206a/236,Uncommon
Slumbering Forest,207/236,Uncommon
Stadium Nav,208/236,Uncommon
Tag Switch,209/236,Uncommon
Unidentified Fossil,210/236,Uncommon
U-Turn Board,211/236,Uncommon
Recycle Energy,212/236,Uncommon
Weakness Guard Energy,213/236,Uncommon
Rowlet & Alolan Exeggutor-GX,214/236,Rare Ultra
Rowlet & Alolan Exeggutor-GX,215/236,Rare Ultra
Heatran-GX,216/236,Rare Ultra
Slowpoke & Psyduck-GX,217/236,Rare Ultra
Slowpoke & Psyduck-GX,218/236,Rare Ultra
Keldeo-GX,219/236,Rare Ultra
Raichu & Alolan Raichu-GX,220/236,Rare Ultra
Raichu & Alolan Raichu-GX,221/236,Rare Ultra
Mewtwo & Mew-GX,222/236,Rare Ultra
Latios-GX,223/236,Rare Ultra
Aerodactyl-GX,224/236,Rare Ultra
Mega Sableye & Tyranitar-GX,225/236,Rare Ultra
Mega Sableye & Tyranitar-GX,226/236,Rare Ultra
Mawile-GX,227/236,Rare Ultra
Garchomp & Giratina-GX,228/236,Rare Ultra
Dragonite-GX,229/236,Rare Ultra
Naganadel-GX,230/236,Rare Ultra
Blue's Tactics,231/236,Rare Ultra
Channeler,232/236,Rare Ultra
Coach Trainer,233/236,Rare Ultra
Grimsley,234/236,Rare Ultra
Misty's Favor,235/236,Rare Ultra
Poké Maniac,236/236,Rare Ultra
Rowlet & Alolan Exeggutor-GX,237/236,Rare Rainbow
Heatran-GX,238/236,Rare Rainbow
Slowpoke & Psyduck-GX,239/236,Rare Rainbow
Keldeo-GX,240/236,Rare Rainbow
Raichu & Alolan Raichu-GX,241/236,Rare Rainbow
Mewtwo & Mew-GX,242/236,Rare Rainbow
Latios-GX,243/236,Rare Rainbow
Aerodactyl-GX,244/236,Rare Rainbow
Mega Sableye & Tyranitar-GX,245/236,Rare Rainbow
Mawile-GX,246/236,Rare Rainbow
Garchomp & Giratina-GX,247/236,Rare Rainbow
Dragonite-GX,248/236,Rare Rainbow
Naganadel-GX,249/236,Rare Rainbow
Cherish Ball,250/236,Rare Secret
Giant Bomb,251/236,Rare Secret
Karate Belt,252/236,Rare Secret
Reset Stamp,253/236,Rare Secret
Tag Switch,254/236,Rare Secret
U-Turn Board,255/236,Rare Secret
Viridian Forest,256/236,Rare Secret
Recycle Energy,257/236,Rare Secret
Weakness Guard Energy,258/236,Rare Secret
