Name,Number,Rarity
Exeggcute,1/156,Common
Yanma,2/156,Common
Yanmega,3/156,Uncommon
Roselia,4/156,Common
Roserade,5/156,Rare
Turtwig,6/156,Common
Turtwig,7/156,Common
Grotle,8/156,Uncommon
Torterra,9/156,Rare Holo
Cherubi,10/156,Common
Cherrim,11/156,Uncommon
Carnivine,12/156,Common
Leafeon-GX,13/156,Rare Holo GX
Mow Rotom,14/156,Rare
Shaymin,15/156,Rare Holo
Dewpider,16/156,Common
Araquanid,17/156,Rare
Magmar,18/156,Common
Magmortar,19/156,Rare Holo
Chimchar,20/156,Common
Chimchar,21/156,Common
Monferno,22/156,Uncommon
Infernape,23/156,Rare Holo
Heat Rotom,24/156,Rare
Salandit,25/156,Common
Salazzle,26/156,Rare
Turtonator,27/156,Uncommon
Alolan Sandshrew,28/156,Common
Alolan Sandslash,29/156,Rare
Alolan Vulpix,30/156,Common
Piplup,31/156,Common
Piplup,32/156,Common
Prinplup,33/156,Uncommon
Empoleon,34/156,Rare
Buizel,35/156,Common
Floatzel,36/156,Uncommon
Snover,37/156,Common
Abomasnow,38/156,Rare
Glaceon-GX,39/156,Rare Holo GX
Wash Rotom,40/156,Rare
Frost Rotom,41/156,Rare
Manaphy,42/156,Uncommon
Electabuzz,43/156,Common
Electivire,44/156,Rare
Shinx,45/156,Common
Shinx,46/156,Common
Luxio,47/156,Uncommon
Luxray,48/156,Rare Holo
Pachirisu,49/156,Common
Rotom,50/156,Uncommon
Drifloon,51/156,Common
Drifblim,52/156,Uncommon
Spiritomb,53/156,Uncommon
Skorupi,54/156,Common
Drapion,55/156,Rare
Croagunk,56/156,Common
Toxicroak,57/156,Rare
Giratina ◇,58/156,Rare Prism Star
Cresselia,59/156,Rare Holo
Cosmog,60/156,Common
Cosmoem,61/156,Uncommon
Lunala ◇,62/156,Rare Prism Star
Dawn Wings Necrozma-GX,63/156,Rare Holo GX
Cranidos,64/156,Uncommon
Rampardos,65/156,Rare Holo
Riolu,66/156,Common
Lucario,67/156,Rare Holo
Hippopotas,68/156,Common
Hippowdon,69/156,Rare
Passimian,70/156,Common
Murkrow,71/156,Common
Honchkrow,72/156,Uncommon
Sneasel,73/156,Common
Weavile,74/156,Rare Holo
Stunky,75/156,Common
Skuntank,76/156,Uncommon
Darkrai ◇,77/156,Rare Prism Star
Alolan Diglett,78/156,Common
Alolan Dugtrio,79/156,Uncommon
Magnemite,80/156,Common
Magnemite,81/156,Common
Magneton,82/156,Uncommon
Magnezone,83/156,Rare Holo
Shieldon,84/156,Uncommon
Bastiodon,85/156,Rare Holo
Bronzor,86/156,Common
Bronzong,87/156,Uncommon
Heatran,88/156,Rare Holo
Solgaleo ◇,89/156,Rare Prism Star
Dusk Mane Necrozma-GX,90/156,Rare Holo GX
Magearna,91/156,Rare
Morelull,92/156,Common
Shiinotic,93/156,Rare
Tapu Lele,94/156,Rare
Alolan Exeggutor,95/156,Rare
Gible,96/156,Common
Gible,97/156,Common
Gabite,98/156,Uncommon
Garchomp,99/156,Rare
Dialga-GX,100/156,Rare Holo GX
Palkia-GX,101/156,Rare Holo GX
Lickitung,102/156,Common
Lickilicky,103/156,Rare
Eevee,104/156,Common
Eevee,105/156,Common
Buneary,106/156,Common
Lopunny,107/156,Uncommon
Glameow,108/156,Common
Purugly,109/156,Uncommon
Fan Rotom,110/156,Rare
Shaymin,111/156,Rare
Yungoos,112/156,Common
Gumshoos,113/156,Uncommon
Oranguru,114/156,Uncommon
Type: Null,115/156,Rare
Silvally-GX,116/156,Rare Holo GX
Drampa,117/156,Rare Holo
Ancient Crystal,118/156,Uncommon
Cynthia,119/156,Uncommon
Cynthia,119a/156,Uncommon
Cyrus ◇,120/156,Rare Prism Star
Electric Memory,121/156,Uncommon
Escape Board,122/156,Uncommon
Escape Board,122a/156,Uncommon
Fire Memory,123/156,Uncommon
Gardenia,124/156,Uncommon
Lillie,125/156,Uncommon
Lillie,125a/156,Uncommon
Looker,126/156,Uncommon
Looker Whistle,127/156,Uncommon
Mars,128/156,Uncommon
Missing Clover,129/156,Uncommon
Mt. Coronet,130/156,Uncommon
Order Pad,131/156,Uncommon
Pal Pad,132/156,Uncommon
Pokémon Fan Club,133/156,Uncommon
Unidentified Fossil,134/156,Uncommon
Volkner,135/156,Uncommon
Volkner,135a/156,Uncommon
Super Boost Energy ◇,136/156,Rare Prism Star
Unit Energy GrassFireWater,137/156,Uncommon
Unit Energy LightningPsychicMetal,138/156,Uncommon
Leafeon-GX,139/156,Rare Ultra
Pheromosa-GX,140/156,Rare Ultra
Glaceon-GX,141/156,Rare Ultra
Xurkitree-GX,142/156,Rare Ultra
Dawn Wings Necrozma-GX,143/156,Rare Ultra
Celesteela-GX,144/156,Rare Ultra
Dusk Mane Necrozma-GX,145/156,Rare Ultra
Dialga-GX,146/156,Rare Ultra
Palkia-GX,147/156,Rare Ultra
Cynthia,148/156,Rare Ultra
Gardenia,149/156,Rare Ultra
Lana,150/156,Rare Ultra
Lillie,151/156,Rare Ultra
Looker,152/156,Rare Ultra
Lusamine,153/156,Rare Ultra
Lusamine,153a/156,Rare Ultra
Mars,154/156,Rare Ultra
Pokémon Fan Club,155/156,Rare Ultra
Volkner,156/156,Rare Ultra
Leafeon-GX,157/156,Rare Rainbow
Pheromosa-GX,158/156,Rare Rainbow
Glaceon-GX,159/156,Rare Rainbow
Xurkitree-GX,160/156,Rare Rainbow
Dawn Wings Necrozma-GX,161/156,Rare Rainbow
Celesteela-GX,162/156,Rare Rainbow
Dusk Mane Necrozma-GX,163/156,Rare Rainbow
Dialga-GX,164/156,Rare Rainbow
Palkia-GX,165/156,Rare Rainbow
Crushing Hammer,166/156,Rare Secret
Escape Board,167/156,Rare Secret
Missing Clover,168/156,Rare Secret
Peeking Red Card,169/156,Rare Secret
Unit Energy GrassFireWater,170/156,Rare Secret
Unit Energy LightningPsychicMetal,171/156,Rare Secret
Lunala-GX,172/156,Rare Secret
Solgaleo-GX,173/156,Rare Secret
