Name,Number,Rarity
Snivy,1/86,Common
Servine,2/86,Common
Serperior ex,3/86,Double Rare
Pansage,4/86,Common
Simisage,5/86,Uncommon
Petilil,6/86,Common
Lilligant,7/86,Uncommon
Maractus,8/86,Common
Karrablast,9/86,Common
Foongus,10/86,Common
Amoonguss,11/86,Uncommon
Victini,12/86,Rare
Darumaka,13/86,Common
Darmanitan,14/86,Uncommon
Larvesta,15/86,Common
Volcarona,16/86,Rare
Panpour,17/86,Common
Simipour,18/86,Uncommon
Tympole,19/86,Common
Palpitoad,20/86,Common
Seismitoad,21/86,Uncommon
Tirtouga,22/86,Uncommon
Carracosta,23/86,Rare
Alomomola,24/86,Uncommon
Cubchoo,25/86,Common
Beartic,26/86,Rare
Cryogonal,27/86,Uncommon
Kyurem ex,28/86,Double Rare
Emolga,29/86,Common
Tynamo,30/86,Common
Eelektrik,31/86,Uncommon
Eelektross,32/86,Uncommon
Thundurus,33/86,Rare
Zekrom ex,34/86,Double Rare
Munna,35/86,Common
Musharna,36/86,Uncommon
Solosis,37/86,Common
Duosion,38/86,Common
Reuniclus,39/86,Uncommon
Elgyem,40/86,Common
Beheeyem,41/86,Uncommon
Golett,42/86,Common
Golurk,43/86,Uncommon
Meloetta ex,44/86,Double Rare
Drilbur,45/86,Common
Excadrill ex,46/86,Double Rare
Timburr,47/86,Common
Gurdurr,48/86,Common
Conkeldurr,49/86,Rare
Throh,50/86,Uncommon
Dwebble,51/86,Common
Crustle,52/86,Uncommon
Landorus,53/86,Rare
Venipede,54/86,Common
Whirlipede,55/86,Common
Scolipede,56/86,Uncommon
Sandile,57/86,Common
Krokorok,58/86,Common
Krookodile,59/86,Uncommon
Escavalier,60/86,Uncommon
Klink,61/86,Common
Klang,62/86,Common
Klinklang,63/86,Rare
Pawniard,64/86,Common
Bisharp,65/86,Uncommon
Cobalion,66/86,Rare
Genesect ex,67/86,Double Rare
Axew,68/86,Common
Fraxure,69/86,Common
Haxorus,70/86,Rare
Pidove,71/86,Common
Tranquill,72/86,Common
Unfezant,73/86,Uncommon
Audino,74/86,Common
Minccino,75/86,Common
Cinccino,76/86,Uncommon
Rufflet,77/86,Common
Braviary,78/86,Uncommon
Air Balloon,79/86,Uncommon
Antique Cover Fossil,60/86,Common
Energy Coin,81/86,Uncommon
Fennel,82/86,Uncommon
N's Plan,83/86,Uncommon
Pokégear 3.0,84/86,Uncommon
Professor's Research,85/86,Uncommon
Prism Energy,86/86,Uncommon
Snivy,87/86,Illustration Rare
Servine,88/86,Illustration Rare
Pansage,89/86,Illustration Rare
Simisage,90/86,Illustration Rare
Petilil,91/86,Illustration Rare
Lilligant,92/86,Illustration Rare
Maractus,93/86,Illustration Rare
Karrablast,94/86,Illustration Rare
Foongus,95/86,Illustration Rare
Amoonguss,96/86,Illustration Rare
Darumaka,97/86,Illustration Rare
Darmanitan,98/86,Illustration Rare
Larvesta,99/86,Illustration Rare
Volcarona,100/86,Illustration Rare
Panpour,101/86,Illustration Rare
Simipour,102/86,Illustration Rare
Tympole,103/86,Illustration Rare
Palpitoad,104/86,Illustration Rare
Seismitoad,105/86,Illustration Rare
Tirtouga,106/86,Illustration Rare
Carracosta,107/86,Illustration Rare
Alomomola,108/86,Illustration Rare
Cubchoo,109/86,Illustration Rare
Beartic,110/86,Illustration Rare
Cryogonal,111/86,Illustration Rare
Emolga,112/86,Illustration Rare
Tynamo,113/86,Illustration Rare
Eelektrik,114/86,Illustration Rare
Eelektross,115/86,Illustration Rare
Munna,116/86,Illustration Rare
Musharna,117/86,Illustration Rare
Solosis,118/86,Illustration Rare
Duosion,119/86,Illustration Rare
Elgyem,120/86,Illustration Rare
Beheeyem,121/86,Illustration Rare
Golett,122/86,Illustration Rare
Golurk,123/86,Illustration Rare
Drilbur,124/86,Illustration Rare
Timburr,125/86,Illustration Rare
Gurdurr,126/86,Illustration Rare
Conkeldurr,127/86,Illustration Rare
Throh,128/86,Illustration Rare
Dwebble,129/86,Illustration Rare
Crustle,130/86,Illustration Rare
Landorus,131/86,Illustration Rare
Venipede,132/86,Illustration Rare
Whirlipede,133/86,Illustration Rare
Scolipede,134/86,Illustration Rare
Sandile,135/86,Illustration Rare
Krokorok,136/86,Illustration Rare
Krookodile,137/86,Illustration Rare
Escavalier,138/86,Illustration Rare
Klink,139/86,Illustration Rare
Klang,140/86,Illustration Rare
Klinklang,141/86,Illustration Rare
Pawniard,142/86,Illustration Rare
Bisharp,143/86,Illustration Rare
Cobalion,144/86,Illustration Rare
Axew,145/86,Illustration Rare
Fraxure,146/86,Illustration Rare
Haxorus,147/86,Illustration Rare
Pidove,148/86,Illustration Rare
Tranquill,149/86,Illustration Rare
Unfezant,150/86,Illustration Rare
Audino,151/86,Illustration Rare
Minccino,152/86,Illustration Rare
Cinccino,153/86,Illustration Rare
Rufflet,154/86,Illustration Rare
Braviary,155/86,Illustration Rare
Serperior ex,156/86,Ultra Rare
Kyurem ex,157/86,Ultra Rare
Zekrom ex,158/86,Ultra Rare
Meloetta ex,159/86,Ultra Rare
Excadrill ex,160/86,Ultra Rare
Genesect ex,161/86,Ultra Rare
Fennel,162/86,Ultra Rare
N's Plan,163/86,Ultra Rare
Serperior ex,164/86,Special Illustration Rare
Kyurem ex,165/86,Special Illustration Rare
Zekrom ex,166/86,Special Illustration Rare
Meloetta ex,167/86,Special Illustration Rare
Excadrill ex,168/86,Special Illustration Rare
Genesect ex,169/86,Special Illustration Rare
N's Plan,170/86,Special Illustration Rare
Victini,171/86,Rare
Zekrom ex,172/86,Black White Rare
