Name,Number,Rarity
Ethan's Pinsir,1/182,Uncommon
Yanma,2/182,Common
Yanmega ex,3/182,Double Rare
Pineco,4/182,Common
Shroomish,5/182,Common
Breloom,6/182,Common
Cynthia's Roselia,7/182,Common
Cynthia's Roserade,8/182,Rare
Mow Rotom,9/182,Common
Shaymin,10/182,Uncommon
Dwebble,11/182,Common
Crustle,12/182,Rare
Fomantis,13/182,Common
Lurantis,14/182,Uncommon
Team Rocket's Blipbug,15/182,Common
Applin,16/182,Common
Dipplin,17/182,Common
Hydrapple,18/182,Rare
Team Rocket's Tarountula,19/182,Common
Team Rocket's Spidops,20/182,Rare
Smoliv,21/182,Common
Dolliv,22/182,Common
Arboliva ex,23/182,Double Rare
Rellor,24/182,Common
Rabsca ex,25/182,Double Rare
Teal Mask Ogerpon,26/182,Uncommon
Growlithe,27/182,Common
Arcanine,28/182,Uncommon
Ponyta,29/182,Common
Rapidash,30/182,Uncommon
Team Rocket's Moltres ex,31/182,Double Rare
Ethan's Cyndaquil,32/182,Common
Ethan's Quilava,33/182,Common
Ethan's Typhlosion,34/182,Rare
Ethan's Slugma,35/182,Common
Ethan's Magcargo,36/182,Rare
Team Rocket's Houndour,37/182,Common
Team Rocket's Houndoom,38/182,Uncommon
Ethan's Ho-Oh ex,39/182,Double Rare
Torchic,40/182,Common
Combusken,41/182,Common
Blaziken,42/182,Rare
Heat Rotom,43/182,Common
Hearthflame Mask Ogerpon,44/182,Uncommon
Misty's Psyduck,45/182,Uncommon
Misty's Staryu,46/182,Common
Misty's Starmie,47/182,Uncommon
Misty's Magikarp,48/182,Common
Misty's Gyarados,49/182,Rare
Misty's Lapras,50/182,Common
Team Rocket's Articuno,51/182,Rare
Cynthia's Feebas,52/182,Common
Cynthia's Milotic,53/182,Uncommon
Clamperl,54/182,Common
Huntail,55/182,Uncommon
Gorebyss,56/182,Rare
Buizel,57/182,Common
Floatzel,58/182,Uncommon
Snover,59/182,Common
Abomasnow,60/182,Uncommon
Wash Rotom,61/182,Common
Arrokuda,62/182,Common
Barraskewda,63/182,Uncommon
Cetoddle,64/182,Common
Cetitan ex,65/182,Double Rare
Dondozo ex,66/182,Double Rare
Wellspring Mask Ogerpon,67/182,Uncommon
Electabuzz,68/182,Common
Electivire ex,69/182,Double Rare
Team Rocket's Zapdos,70/182,Rare
Ethan's Pichu,71/182,Common
Team Rocket's Mareep,72/182,Common
Team Rocket's Flaaffy,73/182,Common
Team Rocket's Ampharos,74/182,Uncommon
Electrike,75/182,Common
Manectric,76/182,Uncommon
Rotom,77/182,Common
Zeraora,78/182,Rare
Team Rocket's Drowzee,79/182,Common
Team Rocket's Hypno,80/182,Uncommon
Team Rocket's Mewtwo ex,81/182,Double Rare
Team Rocket's Wobbuffet,82/182,Rare
Steven's Baltoy,83/182,Common
Steven's Claydol,84/182,Uncommon
Team Rocket's Chingling,85/182,Common
Steven's Carbink,86/182,Common
Team Rocket's Mimikyu,87/182,Uncommon
Team Rocket's Dottler,88/182,Common
Team Rocket's Orbeetle,89/182,Uncommon
Mankey,90/182,Common
Primeape,91/182,Common
Annihilape,92/182,Rare
Ethan's Sudowoodo,93/182,Common
Team Rocket's Larvitar,94/182,Common
Team Rocket's Pupitar,95/182,Common
Team Rocket's Tyranitar,96/182,Rare
Nosepass,97/182,Common
Probopass,98/182,Uncommon
Meditite,99/182,Common
Medicham,100/182,Uncommon
Regirock ex,101/182,Double Rare
Cynthia's Gible,102/182,Common
Cynthia's Gabite,103/182,Common
Cynthia's Garchomp ex,104/182,Double Rare
Hippopotas,105/182,Common
Hippowdon,106/182,Uncommon
Mudbray,107/182,Common
Mudsdale,108/182,Uncommon
Arven's Toedscool,109/182,Common
Arven's Toedscruel,110/182,Uncommon
Cornerstone Mask Ogerpon,111/182,Uncommon
Team Rocket's Ekans,112/182,Common
Team Rocket's Arbok,113/182,Uncommon
Team Rocket's Nidoran♀,114/182,Common
Team Rocket's Nidorina,115/182,Common
Team Rocket's Nidoqueen,116/182,Uncommon
Team Rocket's Nidoran♂,117/182,Common
Team Rocket's Nidorino,118/182,Common
Team Rocket's Nidoking ex,119/182,Double Rare
Team Rocket's Zubat,120/182,Common
Team Rocket's Golbat,121/182,Uncommon
Team Rocket's Crobat ex,122/182,Double Rare
Team Rocket's Grimer,123/182,Common
Team Rocket's Muk,124/182,Uncommon
Team Rocket's Koffing,125/182,Common
Team Rocket's Weezing,126/182,Uncommon
Team Rocket's Murkrow,127/182,Uncommon
Team Rocket's Sneasel,128/182,Rare
Cynthia's Spiritomb,129/182,Uncommon
Marnie's Purrloin,130/182,Common
Marnie's Liepard,131/182,Uncommon
Marnie's Scraggy,132/182,Common
Marnie's Scrafty,133/182,Uncommon
Marnie's Impidimp,134/182,Common
Marnie's Morgrem,135/182,Uncommon
Marnie's Grimmsnarl ex,136/182,Double Rare
Marnie's Morpeko,137/182,Common
Arven's Maschiff,138/182,Common
Arven's Mabosstiff ex,139/182,Double Rare
Forretress,140/182,Uncommon
Skarmory,141/182,Common
Steven's Skarmory,142/182,Common
Steven's Beldum,143/182,Common
Steven's Metang,144/182,Uncommon
