Name,Number,Rarity
Caterpie,1/159,Common
Metapod,2/159,Common
Butterfree,3/159,Rare
Paras,4/159,Common
Parasect,5/159,Common
Petilil,6/159,Common
Lilligant,7/159,Common
Maractus,8/159,Uncommon
Karrablast,9/159,Common
Foongus,10/159,Common
Amoonguss ex,11/159,Double Rare
Shelmet,12/159,Common
Accelgor,13/159,Uncommon
Durant,14/159,Common
Virizion,15/159,Uncommon
Sprigatito,16/159,Common
Floragato,17/159,Common
Meowscarada,18/159,Rare
Nymble,19/159,Common
Magmar,20/159,Common
Magmortar,21/159,Rare
Torchic,22/159,Common
Combusken,23/159,Uncommon
Blaziken ex,24/159,Double Rare
Torkoal,25/159,Common
N's Darumaka,26/159,Common
N's Darmanitan,27/159,Uncommon
Larvesta,28/159,Common
Volcarona,29/159,Uncommon
Reshiram ex,30/159,Double Rare
Volcanion ex,31/159,Double Rare
Articuno,32/159,Uncommon
Remoraid,33/159,Common
Octillery,34/159,Uncommon
Lotad,35/159,Common
Lombre,36/159,Common
Ludicolo,37/159,Rare
Wingull,38/159,Common
Pelipper,39/159,Uncommon
Wailmer,40/159,Common
Wailord,41/159,Rare
Regice,42/159,Uncommon
Veluza ex,43/159,Double Rare
Alolan Geodude,44/159,Common
Alolan Graveler,45/159,Common
Alolan Golem,46/159,Uncommon
Iono's Voltorb,47/159,Common
Iono's Electrode,48/159,Uncommon
N's Joltik,49/159,Common
Togedemaru,50/159,Common
Tapu Koko ex,51/159,Double Rare
Iono's Tadbulb,52/159,Common
Iono's Bellibolt ex,53/159,Double Rare
Iono's Wattrel,54/159,Common
Iono's Kilowattrel,55/159,Rare
Lillie's Clefairy ex,56/159,Double Rare
Alolan Marowak,57/159,Uncommon
Mr. Mime,58/159,Common
Shuppet,59/159,Common
Banette,60/159,Uncommon
Beldum,61/159,Common
Metang,62/159,Common
Metagross,63/159,Rare
N's Sigilyph,64/159,Common
Oricorio,65/159,Common
Lillie's Cutiefly,66/159,Common
Lillie's Ribombee,67/159,Rare
Lillie's Comfey,68/159,Common
Mimikyu ex,69/159,Double Rare
Dhelmise,70/159,Common
Impidimp,71/159,Common
Morgrem,72/159,Common
Grimmsnarl,73/159,Uncommon
Milcery,74/159,Common
Alcremie ex,75/159,Double Rare
Cubone,76/159,Common
Swinub,77/159,Common
Piloswine,78/159,Common
Mamoswine ex,79/159,Double Rare
Larvitar,80/159,Common
Pupitar,81/159,Common
Regirock,82/159,Rare
Pancham,83/159,Common
Rockruff,84/159,Common
Lycanroc,85/159,Rare
Hop's Silicobra,86/159,Common
Hop's Sandaconda,87/159,Uncommon
Toedscool,88/159,Common
Toedscruel,89/159,Uncommon
Klawf,90/159,Uncommon
Koffing,91/159,Common
Weezing,92/159,Uncommon
Paldean Wooper,93/159,Common
Paldean Clodsire ex,94/159,Double Rare
Tyranitar,95/159,Rare
N's Purrloin,96/159,Common
N's Zorua,97/159,Common
N's Zoroark ex,98/159,Double Rare
Pangoro,99/159,Uncommon
Lokix,100/159,Uncommon
Bombirdier,101/159,Common
Escavalier,102/159,Uncommon
N's Klink,103/159,Common
N's Klang,104/159,Common
N's Klinklang,105/159,Uncommon
Galarian Stunfisk,106/159,Common
Magearna,107/159,Rare
Hop's Corviknight,108/159,Uncommon
Cufant,109/159,Common
Copperajah,110/159,Uncommon
Hop's Zacian ex,111/159,Double Rare
Bagon,112/159,Common
Shelgon,113/159,Common
Salamence ex,114/159,Double Rare
Druddigon,115/159,Common
N's Reshiram,116/159,Rare
Hop's Snorlax,117/159,Rare
Sentret,118/159,Common
Furret,119/159,Common
Dunsparce,120/159,Common
Dudunsparce ex,121/159,Double Rare
Kecleon,122/159,Common
Tropius,123/159,Common
Audino,124/159,Common
Minccino,125/159,Common
Cinccino,126/159,Uncommon
Noibat,127/159,Common
Noivern,128/159,Rare
Komala,129/159,Common
Drampa,130/159,Common
Skwovet,131/159,Common
Greedent,132/159,Uncommon
Hop's Rookidee,133/159,Common
Hop's Corvisquire,134/159,Common
Hop's Wooloo,135/159,Common
Hop's Dubwool,136/159,Rare
Cramorant,137/159,Common
Hop's Cramorant,138/159,Uncommon
Lechonk,139/159,Common
Oinkologne,140/159,Uncommon
Squawkabilly,141/159,Common
Billy & O'Nare,142/159,Common
Black Belt's Training,143/159,Common
Black Belt's Training,144/159,Common
Black Belt's Training,145/159,Common
Brock's Scouting,146/159,Uncommon
Hop's Bag,147/159,Uncommon
Hop's Choice Band,148/159,Uncommon
Iris's Fighting Spirit,149/159,Uncommon
Levincia,150/159,Uncommon
Lillie's Pearl,151/159,Uncommon
N's Castle,152/159,Uncommon
N's PP Up,153/159,Uncommon
Postwick,154/159,Uncommon
Professor's Research,155/159,Common
Redeemable Ticket,156/159,Uncommon
Ruffian,157/159,Uncommon
Super Potion,158/159,Uncommon
Spiky Energy,159/159,Uncommon
Maractus,160/159,Illustration Rare
Articuno,161/159,Illustration Rare
Wailord,162/159,Illustration Rare
Iono's Kilowattrel,163/159,Illustration Rare
Lillie's Ribombee,164/159,Illustration Rare
Swinub,165/159,Illustration Rare
Lycanroc,166/159,Illustration Rare
N's Reshiram,167/159,Illustration Rare
Furret,168/159,Illustration Rare
Noibat,169/159,Illustration Rare
Hop's Wooloo,170/159,Illustration Rare
Volcanion ex,171/159,Ultra Rare
Iono's Bellibolt ex,172/159,Ultra Rare
Lillie's Clefairy ex,173/159,Ultra Rare
Mamoswine ex,174/159,Ultra Rare
N's Zoroark ex,175/159,Ultra Rare
Hop's Zacian ex,176/159,Ultra Rare
Salamence ex,177/159,Ultra Rare
Dudunsparce ex,178/159,Ultra Rare
Brock's Scouting,179/159,Ultra Rare
Iris's Fighting Spirit,180/159,Ultra Rare
Ruffian,181/159,Ultra Rare
Volcanion ex,182/159,Special Illustration Rare
Iono's Bellibolt ex,183/159,Special Illustration Rare
Lillie's Clefairy ex,184/159,Special Illustration Rare
N's Zoroark ex,185/159,Special Illustration Rare
Hop's Zacian ex,186/159,Special Illustration Rare
Salamence ex,187/159,Special Illustration Rare
Iono's Bellibolt ex,188/159,Hyper Rare
N's Zoroark ex,189/159,Hyper Rare
Spiky Energy,190/159,Hyper Rare
