Name,Number,Rarity
Bulbasaur,1/165,Common
Ivysaur,2/165,Uncommon
Venusaur ex,3/165,Double Rare
Charmander,4/165,Common
Charmeleon,5/165,Uncommon
Charizard ex,6/165,Double Rare
Squirtle,7/165,Common
Wartortle,8/165,Uncommon
Blastoise ex,9/165,Double Rare
Caterpie,10/165,Common
Metapod,11/165,Common
Butterfree,12/165,Uncommon
Weedle,13/165,Common
Kakuna,14/165,Common
Beedrill,15/165,Rare
Pidgey,16/165,Common
Pidgeotto,17/165,Common
Pidgeot,18/165,Uncommon
Rattata,19/165,Common
Raticate,20/165,Uncommon
Spearow,21/165,Common
Fearow,22/165,Uncommon
Ekans,23/165,Common
Arbok ex,24/165,Double Rare
Pikachu,25/165,Common
Raichu,26/165,Rare
Sandshrew,27/165,Common
Sandslash,28/165,Uncommon
Nidoran ♀,29/165,Common
Nidorina,30/165,Uncommon
Nidoqueen,31/165,Uncommon
Nidoran ♂,32/165,Common
Nidorino,33/165,Uncommon
Nidoking,34/165,Rare
Clefairy,35/165,Common
Clefable,36/165,Uncommon
Vulpix,37/165,Common
Ninetales ex,38/165,Double Rare
Jigglypuff,39/165,Common
Wigglytuff ex,40/165,Double Rare
Zubat,41/165,Common
Golbat,42/165,Uncommon
Oddish,43/165,Common
Gloom,44/165,Uncommon
Vileplume,45/165,Rare
Paras,46/165,Common
Parasect,47/165,Uncommon
Venonat,48/165,Common
Venomoth,49/165,Uncommon
Diglett,50/165,Common
Dugtrio,51/165,Uncommon
Meowth,52/165,Common
Persian,53/165,Uncommon
Psyduck,54/165,Common
Golduck,55/165,Uncommon
Mankey,56/165,Common
Primeape,57/165,Uncommon
Growlithe,58/165,Common
Arcanine,59/165,Uncommon
Poliwag,60/165,Common
Poliwhirl,61/165,Common
Poliwrath,62/165,Uncommon
Abra,63/165,Common
Kadabra,64/165,Uncommon
Alakazam ex,65/165,Double Rare
Machop,66/165,Common
Machoke,67/165,Uncommon
Machamp,68/165,Rare
Bellsprout,69/165,Common
Weepinbell,70/165,Common
Victreebel,71/165,Uncommon
Tentacool,72/165,Common
Tentacruel,73/165,Uncommon
Geodude,74/165,Common
Graveler,75/165,Uncommon
Golem ex,76/165,Double Rare
Ponyta,77/165,Common
Rapidash,78/165,Uncommon
Slowpoke,79/165,Common
Slowbro,80/165,Uncommon
Magnemite,81/165,Common
Magneton,82/165,Uncommon
Farfetch'd,83/165,Common
Doduo,84/165,Common
Dodrio,85/165,Rare
Seel,86/165,Common
Dewgong,87/165,Uncommon
Grimer,88/165,Common
Muk,89/165,Uncommon
Shellder,90/165,Common
Cloyster,91/165,Uncommon
Gastly,92/165,Common
Haunter,93/165,Uncommon
Gengar,94/165,Rare
Onix,95/165,Uncommon
Drowzee,96/165,Common
Hypno,97/165,Uncommon
Krabby,98/165,Common
Kingler,99/165,Uncommon
Voltorb,100/165,Common
Electrode,101/165,Rare
Exeggcute,102/165,Common
Exeggutor,103/165,Uncommon
Cubone,104/165,Common
Marowak,105/165,Rare
Hitmonlee,106/165,Uncommon
Hitmonchan,107/165,Uncommon
Lickitung,108/165,Common
Koffing,109/165,Common
Weezing,110/165,Rare
Rhyhorn,111/165,Common
Rhydon,112/165,Uncommon
Chansey,113/165,Rare
Tangela,114/165,Common
Kangaskhan ex,115/165,Double Rare
Horsea,116/165,Common
Seadra,117/165,Uncommon
Goldeen,118/165,Common
Seaking,119/165,Uncommon
Staryu,120/165,Common
Starmie,121/165,Rare
Mr. Mime,122/165,Rare
Scyther,123/165,Uncommon
Jynx ex,124/165,Double Rare
