Name,Number,Rarity
Oddish,1/197,Common
Gloom,2/197,Common
Bellossom,3/197,Uncommon
Scyther,4/197,Common
Shuckle,5/197,Common
Surskit,6/197,Common
Masquerain,7/197,Uncommon
Combee,8/197,Common
Foongus,9/197,Common
Amoonguss,10/197,Uncommon
Phantump,11/197,Common
Trevenant,12/197,Uncommon
Rowlet,13/197,Common
Dartrix,14/197,Uncommon
Decidueye ex,15/197,Double Rare
Bounsweet,16/197,Common
Steenee,17/197,Common
Tsareena,18/197,Uncommon
Smoliv,19/197,Common
Dolliv,20/197,Common
Arboliva,21/197,Uncommon
Toedscruel ex,22/197,Double Rare
Capsakid,23/197,Common
Capsakid,24/197,Common
Scovillain,25/197,Rare
Charmander,26/197,Common
Charmeleon,27/197,Uncommon
Vulpix,28/197,Common
Ninetales,29/197,Uncommon
Entei,30/197,Rare
Numel,31/197,Common
Camerupt,32/197,Uncommon
Victini ex,33/197,Double Rare
Darumaka,34/197,Common
Darmanitan,35/197,Uncommon
Litwick,36/197,Common
Lampent,37/197,Common
Chandelure,38/197,Uncommon
Heatmor,39/197,Common
Larvesta,40/197,Common
Volcarona,41/197,Uncommon
Eiscue ex,42/197,Double Rare
Charcadet,43/197,Common
Armarouge,44/197,Uncommon
Lapras,45/197,Uncommon
Carvanha,46/197,Common
Sharpedo,47/197,Uncommon
Buizel,48/197,Common
Floatzel,49/197,Uncommon
Tympole,50/197,Common
Palpitoad,51/197,Common
Seismitoad,52/197,Uncommon
Cubchoo,53/197,Common
Beartic,54/197,Uncommon
Cryogonal,55/197,Common
Froakie,56/197,Common
Frogadier,57/197,Uncommon
Wiglett,58/197,Common
Wugtrio,59/197,Uncommon
Finizen,60/197,Common
Finizen,61/197,Common
Palafin,62/197,Rare
Magnemite,63/197,Common
Magneton,64/197,Common
Magnezone,65/197,Uncommon
Tyranitar ex,66/197,Double Rare
Tynamo,67/197,Common
Eelektrik,68/197,Common
Eelektross,69/197,Uncommon
Thundurus,70/197,Rare
Toxel,71/197,Common
Toxtricity,72/197,Rare
Pawmot ex,73/197,Double Rare
Tadbulb,74/197,Common
Tadbulb,75/197,Common
Tadbulb,76/197,Common
Bellibolt,77/197,Uncommon
Bellibolt,78/197,Uncommon
Miraidon ex,79/197,Double Rare
Cleffa,80/197,Common
Clefairy,81/197,Common
Clefable ex,82/197,Double Rare
Togepi,83/197,Common
Togetic,84/197,Uncommon
Togekiss,85/197,Rare
Espeon,86/197,Uncommon
Snubbull,87/197,Common
Granbull,88/197,Uncommon
Mawile,89/197,Common
Spoink,90/197,Common
Grumpig,91/197,Uncommon
Lunatone,92/197,Uncommon
Solrock,93/197,Uncommon
Baltoy,94/197,Common
Claydol,95/197,Rare
Vespiquen ex,96/197,Double Rare
Sinistea,97/197,Common
Polteageist,98/197,Uncommon
Greavard,99/197,Common
Greavard,100/197,Common
Houndstone,101/197,Uncommon
Houndstone ex,102/197,Double Rare
Diglett,103/197,Common
Dugtrio,104/197,Uncommon
Larvitar,105/197,Common
Pupitar,106/197,Uncommon
Nosepass,107/197,Common
Barboach,108/197,Common
Whiscash,109/197,Uncommon
Bonsly,110/197,Common
Drilbur,111/197,Common
Stunfisk,112/197,Uncommon
Diggersby,113/197,Uncommon
Crabrawler,114/197,Common
Crabominable,115/197,Uncommon
Rockruff,116/197,Common
Lycanroc,117/197,Uncommon
Toedscool,118/197,Common
Toedscruel,119/197,Uncommon
Klawf ex,120/197,Double Rare
Glimmet,121/197,Common
Glimmet,122/197,Common
Glimmora ex,123/197,Double Rare
Koraidon ex,124/197,Double Rare
Charizard ex,125/197,Double Rare
Paldean Wooper,126/197,Common
Paldean Wooper,127/197,Common
Paldean Clodsire,128/197,Uncommon
Paldean Clodsire,129/197,Uncommon
Umbreon,130/197,Uncommon
Houndour,131/197,Common
Houndour,132/197,Common
Houndoom,133/197,Uncommon
Houndoom ex,134/197,Double Rare
Absol ex,135/197,Double Rare
Darkrai,136/197,Rare
Inkay,137/197,Common
Malamar,138/197,Uncommon
Salandit,139/197,Common
Salazzle,140/197,Uncommon
Scizor,141/197,Rare
Skarmory,142/197,Uncommon
Mawile,143/197,Uncommon
Bronzor,144/197,Common
Bronzong,145/197,Uncommon
Probopass,146/197,Uncommon
Excadrill,147/197,Uncommon
Pawniard,148/197,Common
Bisharp,149/197,Common
Kingambit,150/197,Uncommon
Togedemaru,151/197,Common
Meltan,152/197,Common
Melmetal ex,153/197,Double Rare
Varoom,154/197,Common
Varoom,155/197,Common
Revavroom ex,156/197,Double Rare
Dratini,157/197,Common
Dragonair,158/197,Uncommon
