Name,Number,Rarity
Pineco,1/91,Common
Forretress ex,2/91,Double Rare
Maractus,3/91,Common
Toedscool,4/91,Common
Toedscruel ex,5/91,Double Rare
Espathra ex,6/91,Double Rare
Charmander,7/91,Common
Charmeleon,8/91,Uncommon
Magmar,9/91,Common
Magmortar,10/91,Rare
Numel,11/91,Common
Camerupt,12/91,Uncommon
Heat Rotom,13/91,Rare
Charcadet,14/91,Common
Armarouge,15/91,Rare
Lapras,16/91,Common
Frigibax,17/91,Common
Pikachu,18/91,Common
Raichu,19/91,Rare
Chinchou,20/91,Common
Lanturn,21/91,Uncommon
Kilowattrel,22/91,Uncommon
Exeggcute,23/91,Common
Exeggutor,24/91,Rare
Natu,25/91,Common
Xatu,26/91,Rare
Ralts,27/91,Common
Kirlia,28/91,Uncommon
Gardevoir ex,29/91,Double Rare
Chimecho,30/91,Common
Mime Jr.,31/91,Common
Woobat,32/91,Common
Swoobat,33/91,Uncommon
Cottonee,34/91,Common
Whimsicott,35/91,Uncommon
Dedenne,36/91,Common
Mimikyu,37/91,Rare
Fidough,38/91,Common
Dachsbun,39/91,Uncommon
Ceruledge,40/91,Rare
Flittle,41/91,Common
Greavard,42/91,Common
Houndstone,43/91,Rare
Gimmighoul,44/91,Common
Mankey,45/91,Common
Primeape,46/91,Uncommon
Annihilape,47/91,Rare
Phanpy,48/91,Common
Donphan,49/91,Uncommon
Barboach,50/91,Common
Clobbopus,51/91,Common
Grapploct,52/91,Uncommon
Great Tusk ex,53/91,Double Rare
Charizard ex,54/91,Double Rare
Gastly,55/91,Common
Haunter,56/91,Common
Gengar,57/91,Uncommon
Paldean Wooper,58/91,Common
Paldean Clodsire ex,59/91,Double Rare
Scraggy,60/91,Common
Scrafty,61/91,Uncommon
Maschiff,62/91,Common
Mabosstiff,63/91,Rare
Varoom,64/91,Common
Revavroom,65/91,Rare
Iron Treads ex,66/91,Double Rare
Gholdengo,67/91,Rare
Noibat,68/91,Common
Noivern ex,69/91,Double Rare
Cyclizar,70/91,Rare
Lechonk,71/91,Common
Oinkologne,72/91,Uncommon
Tandemaus,73/91,Common
Maushold,74/91,Uncommon
Squawkabilly ex,75/91,Double Rare
Artazon,76/91,Uncommon
Atticus,77/91,Uncommon
Clive,78/91,Uncommon
Electric Generator,79/91,Uncommon
Iono,80/91,Uncommon
Moonlit Hill,81/91,Uncommon
Nemona,82/91,Common
Nemona's Backpack,83/91,Uncommon
Nest Ball,84/91,Uncommon
Paldean Student,85/91,Common
Paldean Student,86/91,Common
Professor's Research,87/91,Rare
Professor's Research,88/91,Rare
Rare Candy,89/91,Common
Technical Machine: Crisis Punch,90/91,Uncommon
Ultra Ball,91/91,Uncommon
Oddish,92/91,Shiny Rare
Gloom,93/91,Shiny Rare
