Name,Number,Rarity
Hoppip,1/193,Common
Skiploom,2/193,Uncommon
Jumpluff,3/193,Rare
Pineco,4/193,Common
Forretress ex,5/193,Double Rare
Heracross,6/193,Uncommon
Tropius,7/193,Common
Combee,8/193,Common
Vespiquen,9/193,Uncommon
Snover,10/193,Common
Abomasnow,11/193,Rare
Sprigatito,12/193,Common
Sprigatito,13/193,Common
Floragato,14/193,Uncommon
Meowscarada ex,15/193,Double Rare
Tarountula,16/193,Common
Tarountula,17/193,Common
Spidops,18/193,Uncommon
Nymble,19/193,Common
Nymble,20/193,Common
Lokix,21/193,Rare
Bramblin,22/193,Common
Bramblin,23/193,Common
Brambleghast,24/193,Uncommon
Rellor,25/193,Common
Rellor,26/193,Common
Wo-Chien ex,27/193,Double Rare
Paldean Tauros,28/193,Uncommon
Fletchinder,29/193,Uncommon
Talonflame,30/193,Uncommon
Litleo,31/193,Common
Pyroar,32/193,Uncommon
Oricorio,33/193,Rare
Fuecoco,34/193,Common
Fuecoco,35/193,Common
Crocalor,36/193,Uncommon
Skeledirge ex,37/193,Double Rare
Charcadet,38/193,Common
Charcadet,39/193,Common
Chi-Yu ex,40/193,Double Rare
Paldean Tauros,41/193,Uncommon
Magikarp,42/193,Common
Gyarados,43/193,Rare
Marill,44/193,Common
Azumarill,45/193,Uncommon
Delibird,46/193,Common
Luvdisc,47/193,Common
Eiscue,48/193,Uncommon
Quaxly,49/193,Common
Quaxly,50/193,Common
Quaxwell,51/193,Uncommon
Quaquaval ex,52/193,Double Rare
Cetoddle,53/193,Common
Cetoddle,54/193,Common
Cetitan,55/193,Uncommon
Veluza,56/193,Rare
Frigibax,57/193,Common
Frigibax,58/193,Common
Arctibax,59/193,Uncommon
Baxcalibur,60/193,Rare
Chien-Pao ex,61/193,Double Rare
Pikachu,62/193,Common
Pikachu ex,63/193,Double Rare
Raichu,64/193,Uncommon
Magnemite,65/193,Common
Voltorb,66/193,Common
Electrode,67/193,Uncommon
Shinx,68/193,Common
Shinx,69/193,Common
Luxio,70/193,Uncommon
Luxray,71/193,Rare
Pincurchin,72/193,Common
Pincurchin,73/193,Uncommon
Pawmi,74/193,Common
Pawmo,75/193,Uncommon
Pawmot,76/193,Rare
Tadbulb,77/193,Common
Tadbulb,78/193,Common
Bellibolt ex,79/193,Double Rare
Wattrel,80/193,Common
Wattrel,81/193,Common
Kilowattrel,82/193,Uncommon
Jigglypuff,83/193,Common
Wigglytuff,84/193,Rare
Slowpoke,85/193,Common
Slowking ex,86/193,Double Rare
Misdreavus,87/193,Common
Mismagius,88/193,Uncommon
Spiritomb,89/193,Rare
Gothita,90/193,Common
Gothorita,91/193,Uncommon
Gothitelle,92/193,Uncommon
Dedenne ex,93/193,Double Rare
Oranguru,94/193,Uncommon
Sandygast,95/193,Common
Palossand,96/193,Uncommon
Mimikyu,97/193,Rare
Ceruledge,98/193,Rare
Rabsca,99/193,Rare
Tinkatink,100/193,Common
Tinkatink,101/193,Common
Tinkatink,102/193,Common
Tinkatuff,103/193,Uncommon
Tinkatuff,104/193,Uncommon
Tinkaton,105/193,Rare
Mankey,106/193,Common
Primeape,107/193,Uncommon
Paldean Tauros,108/193,Uncommon
Sudowoodo,109/193,Uncommon
Larvitar,110/193,Common
Pupitar,111/193,Uncommon
Makuhita,112/193,Common
Hariyama,113/193,Rare
Croagunk,114/193,Common
Toxicroak,115/193,Uncommon
Rockruff,116/193,Common
Lycanroc ex,117/193,Double Rare
Passimian,118/193,Uncommon
Falinks,119/193,Common
Nacli,120/193,Common
Nacli,121/193,Common
Naclstack,122/193,Uncommon
Garganacl,123/193,Rare
Glimmet,124/193,Common
Glimmet,125/193,Common
Glimmora,126/193,Rare
Ting-Lu ex,127/193,Double Rare
Paldean Wooper,128/193,Common
Paldean Wooper,129/193,Common
Paldean Clodsire ex,130/193,Double Rare
Murkrow,131/193,Common
Honchkrow,132/193,Uncommon
Sneasel,133/193,Common
Weavile,134/193,Rare
Tyranitar,135/193,Rare
Sableye,136/193,Rare
Seviper,137/193,Uncommon
Deino,138/193,Common
Zweilous,139/193,Uncommon
Hydreigon,140/193,Rare
Maschiff,141/193,Common
Maschiff,142/193,Common
Mabosstiff,143/193,Uncommon
Shroodle,144/193,Common
Shroodle,145/193,Common
Grafaiai,146/193,Uncommon
Bombirdier,147/193,Uncommon
Corviknight,148/193,Uncommon
Cufant,149/193,Common
Copperajah ex,150/193,Double Rare
Orthworm,151/193,Rare
Noibat,152/193,Common
Noivern ex,153/193,Double Rare
Girafarig,154/193,Common
Farigiraf,155/193,Uncommon
Dunsparce,156/193,Common
Dudunsparce,157/193,Uncommon
Wingull,158/193,Common
Pelipper,159/193,Uncommon
Slakoth,160/193,Common
Vigoroth,161/193,Uncommon
Slaking,162/193,Rare
Fletchling,163/193,Common
Rookidee,164/193,Common
Corvisquire,165/193,Uncommon
Tandemaus,166/193,Common
Tandemaus,167/193,Common
Maushold,168/193,Uncommon
Squawkabilly ex,169/193,Double Rare
Flamigo,170/193,Uncommon
