Name,Number,Rarity
Surskit,1/182,Common
Masquerain,2/182,Uncommon
Froslass ex,3/182,Double Rare
Pansage,4/182,Common
Simisage,5/182,Uncommon
Dwebble,6/182,Common
Crustle,7/182,Common
Bounsweet,8/182,Common
Steenee,9/182,Uncommon
Blipbug,10/182,Common
Dottler,11/182,Common
Orbeetle,12/182,Uncommon
Nymble,13/182,Common
Nymble,14/182,Common
Toedscool,15/182,Common
Toedscool,16/182,Common
Toedscruel,17/182,Uncommon
Wo-Chien,18/182,Rare
Magby,19/182,Common
Pansear,20/182,Common
Simisear,21/182,Uncommon
Volcanion,22/182,Rare
Fuecoco,23/182,Common
Crocalor,24/182,Uncommon
Charcadet,25/182,Common
Charcadet,26/182,Common
Armarouge ex,27/182,Double Rare
Iron Moth,28/182,Rare
Chi-Yu,29/182,Rare
Horsea,30/182,Common
Seadra,31/182,Common
Kingdra,32/182,Rare
Remoraid,33/182,Common
Octillery,34/182,Common
Feebas,35/182,Common
Milotic,36/182,Rare
Snorunt,37/182,Common
Garchomp ex,38/182,Double Rare
Mantyke,39/182,Common
Palkia,40/182,Rare
Panpour,41/182,Common
Simipour,42/182,Uncommon
Vanillite,43/182,Common
Vanillish,44/182,Common
Vanilluxe,45/182,Uncommon
Tsareena ex,46/182,Double Rare
Wimpod,47/182,Common
Wimpod,48/182,Common
Golisopod,49/182,Rare
Golisopod ex,50/182,Double Rare
Wiglett,51/182,Common
Wiglett,52/182,Common
Wugtrio,53/182,Uncommon
Veluza,54/182,Uncommon
Dondozo,55/182,Uncommon
Iron Bundle,56/182,Uncommon
Chien-Pao,57/182,Rare
Mewtwo ex,58/182,Double Rare
Elekid,59/182,Common
Plusle,60/182,Common
Minun,61/182,Common
Blitzle,62/182,Common
Zebstrika,63/182,Uncommon
Joltik,64/182,Common
Galvantula,65/182,Common
Zekrom,66/182,Rare
Oricorio,67/182,Common
Tapu Koko ex,68/182,Double Rare
Toxel,69/182,Common
Iron Hands ex,70/182,Double Rare
Natu,71/182,Common
Xatu,72/182,Rare
Latios,73/182,Rare
Deoxys,74/182,Rare
Yamask,75/182,Common
Cofagrigus ex,76/182,Double Rare
Pumpkaboo,77/182,Common
Gourgeist,78/182,Uncommon
Flittle,79/182,Common
Flittle,80/182,Common
Espathra,81/182,Rare
Tinkatink,82/182,Common
Tinkatink,83/182,Common
Tinkatuff,84/182,Common
Tinkaton,85/182,Uncommon
Scream Tail,86/182,Uncommon
Gimmighoul,87/182,Common
Gimmighoul,88/182,Common
Iron Valiant ex,89/182,Double Rare
Onix,90/182,Common
Gligar,91/182,Common
Gliscor,92/182,Uncommon
Groudon,93/182,Rare
Gible,94/182,Common
Gabite,95/182,Common
Mienfoo,96/182,Common
Mienshao,97/182,Uncommon
Hoopa ex,98/182,Double Rare
Minior,99/182,Uncommon
Toxtricity ex,100/182,Double Rare
Nacli,101/182,Common
Nacli,102/182,Common
Naclstack,103/182,Common
Garganacl,104/182,Rare
Klawf,105/182,Uncommon
Flamigo,106/182,Common
Slither Wing,107/182,Uncommon
Sandy Shocks ex,108/182,Double Rare
Ting-Lu,109/182,Rare
Zubat,110/182,Common
Golbat,111/182,Common
Crobat,112/182,Uncommon
Absol,113/182,Uncommon
Purrloin,114/182,Common
Liepard,115/182,Common
Trubbish,116/182,Common
Garbodor,117/182,Uncommon
Yveltal,118/182,Rare
Nickit,119/182,Common
Thievul,120/182,Rare
Morpeko,121/182,Rare
Lokix,122/182,Rare
Brute Bonnet,123/182,Rare
Roaring Moon ex,124/182,Double Rare
Steelix,125/182,Rare
Jirachi,126/182,Common
Ferroseed,127/182,Common
Ferrothorn,128/182,Uncommon
Durant,129/182,Uncommon
Honedge,130/182,Common
Honedge,131/182,Common
Doublade,132/182,Common
Doublade,133/182,Common
Aegislash,134/182,Rare
Aegislash ex,135/182,Double Rare
Zacian,136/182,Rare
Skeledirge ex,137/182,Double Rare
Orthworm,138/182,Uncommon
Gholdengo ex,139/182,Double Rare
Altaria ex,140/182,Double Rare
Tatsugiri,141/182,Uncommon
Porygon,142/182,Common
Porygon2,143/182,Common
Porygon-Z,144/182,Rare
Aipom,145/182,Common
Ambipom,146/182,Uncommon
Miltank,147/182,Common
Whismur,148/182,Common
Loudred,149/182,Common
Exploud,150/182,Uncommon
Spinda,151/182,Common
Swablu,152/182,Common
Tandemaus,153/182,Common
Tandemaus,154/182,Common
Maushold ex,155/182,Double Rare
Bombirdier ex,156/182,Double Rare
Cyclizar,157/182,Uncommon
Iron Jugulis,158/182,Rare
Ancient Booster Energy Capsule,159/182,Uncommon
Counter Catcher,160/182,Uncommon
Cursed Duster,161/182,Uncommon
Defiance Vest,162/182,Uncommon
Earthen Vessel,163/182,Uncommon
Future Booster Energy Capsule,164/182,Uncommon
Larry,165/182,Common
Luxurious Cape,166/182,Uncommon
Mela,167/182,Uncommon
Norman,168/182,Uncommon
Parasol Lady,169/182,Common
Professor Sada's Vitality,170/182,Uncommon
Professor Turo's Scenario,171/182,Uncommon
Rika,172/182,Uncommon
Roark,173/182,Uncommon
Shauntal,174/182,Uncommon
Snorlax Doll,175/182,Uncommon
Technical Machine: Blindside,176/182,Uncommon
Technical Machine: Devolution,177/182,Uncommon
Technical Machine: Evolution,178/182,Uncommon
Technical Machine: Turbo Energize,179/182,Uncommon
Techno Radar,180/182,Uncommon
Tulip,181/182,Uncommon
Medical Energy,182/182,Uncommon
Crustle,183/182,Illustration Rare
Dottler,184/182,Illustration Rare
Toedscruel,185/182,Illustration Rare
Magby,186/182,Illustration Rare
Iron Moth,187/182,Illustration Rare
Snorunt,188/182,Illustration Rare
Mantyke,189/182,Illustration Rare
Vanillish,190/182,Illustration Rare
Wimpod,191/182,Illustration Rare
Veluza,192/182,Illustration Rare
Plusle,193/182,Illustration Rare
Minun,194/182,Illustration Rare
Blitzle,195/182,Illustration Rare
Joltik,196/182,Illustration Rare
Espathra,197/182,Illustration Rare
Gimmighoul,198/182,Illustration Rare
Groudon,199/182,Illustration Rare
Mienshao,200/182,Illustration Rare
Minior,201/182,Illustration Rare
Garganacl,202/182,Illustration Rare
Slither Wing,203/182,Illustration Rare
Garbodor,204/182,Illustration Rare
Yveltal,205/182,Illustration Rare
Morpeko,206/182,Illustration Rare
Brute Bonnet,207/182,Illustration Rare
Steelix,208/182,Illustration Rare
Ferrothorn,209/182,Illustration Rare
Aegislash,210/182,Illustration Rare
Aipom,211/182,Illustration Rare
Loudred,212/182,Illustration Rare
Swablu,213/182,Illustration Rare
Porygon-Z,214/182,Illustration Rare
Cyclizar,215/182,Illustration Rare
Iron Jugulis,216/182,Illustration Rare
Froslass ex,217/182,Ultra Rare
Armarouge ex,218/182,Ultra Rare
Garchomp ex,219/182,Ultra Rare
Tsareena ex,220/182,Ultra Rare
Golisopod ex,221/182,Ultra Rare
Tapu Koko ex,222/182,Ultra Rare
Iron Hands ex,223/182,Ultra Rare
Cofagrigus ex,224/182,Ultra Rare
Iron Valiant ex,225/182,Ultra Rare
Hoopa ex,226/182,Ultra Rare
Toxtricity ex,227/182,Ultra Rare
Sandy Shocks ex,228/182,Ultra Rare
Roaring Moon ex,229/182,Ultra Rare
Aegislash ex,230/182,Ultra Rare
Gholdengo ex,231/182,Ultra Rare
Altaria ex,232/182,Ultra Rare
Maushold ex,233/182,Ultra Rare
Bombirdier ex,234/182,Ultra Rare
Larry,235/182,Ultra Rare
Mela,236/182,Ultra Rare
Norman,237/182,Ultra Rare
Parasol Lady,238/182,Ultra Rare
Professor Sada's Vitality,239/182,Ultra Rare
Professor Turo's Scenario,240/182,Ultra Rare
Rika,241/182,Ultra Rare
Roark,242/182,Ultra Rare
Shauntal,243/182,Ultra Rare
Tulip,244/182,Ultra Rare
Garchomp ex,245/182,Special Illustration Rare
Golisopod ex,246/182,Special Illustration Rare
Tapu Koko ex,247/182,Special Illustration Rare
Iron Hands ex,248/182,Special Illustration Rare
Iron Valiant ex,249/182,Special Illustration Rare
Sandy Shocks ex,250/182,Special Illustration Rare
Roaring Moon ex,251/182,Special Illustration Rare
Gholdengo ex,252/182,Special Illustration Rare
Altaria ex,253/182,Special Illustration Rare
Mela,254/182,Special Illustration Rare
Parasol Lady,255/182,Special Illustration Rare
Professor Sada's Vitality,256/182,Special Illustration Rare
Professor Turo's Scenario,257/182,Special Illustration Rare
Rika,258/182,Special Illustration Rare
Tulip,259/182,Special Illustration Rare
Garchomp ex,260/182,Hyper Rare
Iron Valiant ex,261/182,Hyper Rare
Roaring Moon ex,262/182,Hyper Rare
Beach Court,263/182,Hyper Rare
Counter Catcher,264/182,Hyper Rare
Luxurious Cape,265/182,Hyper Rare
Reversal Energy,266/182,Hyper Rare
