Name,Number,Rarity
Exeggcute,1/131,Common
Exeggutor,2/131,Uncommon
Pinsir,3/131,Common
Budew,4/131,Common
Leafeon,5/131,Rare
Leafeon ex,6/131,Double Rare
Cottonee,7/131,Common
Whimsicott,8/131,Rare
Applin,9/131,Common
Dipplin,10/131,Uncommon
Hydrapple ex,11/131,Double Rare
Teal Mask Ogerpon ex,12/131,Double Rare
Flareon,13/131,Rare
Flareon ex,14/131,Double Rare
Litleo,15/131,Common
Pyroar,16/131,Uncommon
Hearthflame Mask Ogerpon ex,17/131,Double Rare
Slowpoke,18/131,Common
Slowking,19/131,Uncommon
Goldeen,20/131,Common
Seaking,21/131,Uncommon
Vaporeon,22/131,Rare
Vaporeon ex,23/131,Double Rare
Suicune,24/131,Uncommon
Glaceon,25/131,Rare
Glaceon ex,26/131,Double Rare
Wellspring Mask Ogerpon ex,27/131,Double Rare
Pikachu ex,28/131,Double Rare
Jolteon,29/131,Rare
Jolteon ex,30/131,Double Rare
Iron Hands ex,31/131,Double Rare
Iron Thorns ex,32/131,Double Rare
Espeon,33/131,Rare
Espeon ex,34/131,Double Rare
Duskull,35/131,Common
Dusclops,36/131,Common
Dusknoir,37/131,Rare
Spritzee,38/131,Common
Aromatisse,39/131,Common
Sylveon,40/131,Rare
Sylveon ex,41/131,Double Rare
Scream Tail,42/131,Uncommon
Flutter Mane,43/131,Rare
Munkidori,44/131,Rare
Fezandipiti,45/131,Rare
Iron Boulder,46/131,Rare
Larvitar,47/131,Common
Pupitar,48/131,Common
Groudon,49/131,Rare
Riolu,50/131,Common
Lucario ex,51/131,Double Rare
Hippopotas,52/131,Common
Hippowdon,53/131,Common
Bloodmoon Ursaluna,54/131,Rare
Great Tusk,55/131,Uncommon
Sandy Shocks ex,56/131,Double Rare
Okidogi,57/131,Rare
Cornerstone Mask Ogerpon ex,58/131,Double Rare
Umbreon,59/131,Rare
Umbreon ex,60/131,Double Rare
Sneasel,61/131,Common
Houndour,62/131,Common
Houndoom,63/131,Common
Tyranitar ex,64/131,Double Rare
Roaring Moon,65/131,Rare
Bronzor,66/131,Common
Bronzong,67/131,Uncommon
Heatran,68/131,Uncommon
Duraludon,69/131,Common
Archaludon,70/131,Rare
Dreepy,71/131,Common
Drakloak,72/131,Common
Dragapult ex,73/131,Double Rare
Eevee,74/131,Common
Eevee ex,75/131,Double Rare
Snorlax ex,76/131,Double Rare
Hoothoot,77/131,Common
Noctowl,78/131,Rare
Dunsparce,79/131,Common
Dudunsparce,80/131,Rare
Miltank,81/131,Common
Lugia ex,82/131,Double Rare
Buneary,83/131,Common
Lopunny,84/131,Common
Fan Rotom,85/131,Common
Regigigas,86/131,Uncommon
Shaymin,87/131,Uncommon
Furfrou,88/131,Common
Hawlucha,89/131,Uncommon
Noibat,90/131,Common
Noivern ex,91/131,Double Rare
Terapagos ex,92/131,Double Rare
Amarys,93/131,Common
Area Zero Underdepths,94/131,Uncommon
Binding Mochi,95/131,Uncommon
Black Belt's Training,96/131,Common
Black Belt's Training,97/131,Common
Black Belt's Training,98/131,Common
Black Belt's Training,99/131,Common
Briar,100/131,Uncommon
Buddy-Buddy Poffin,101/131,Uncommon
Bug Catching Set,102/131,Uncommon
Carmine,103/131,Uncommon
Ciphermaniac's Codebreaking,104/131,Uncommon
Crispin,105/131,Uncommon
Earthen Vessel,106/131,Uncommon
Explorer's Guidance,107/131,Uncommon
Festival Grounds,108/131,Uncommon
Friends in Paldea,109/131,Common
Glass Trumpet,110/131,Uncommon
Haban Berry,111/131,Common
Janine's Secret Art,112/131,Uncommon
Kieran,113/131,Uncommon
Lacey,114/131,Uncommon
Larry's Skill,115/131,Common
Max Rod,116/131,ACE SPEC Rare
Maximum Belt,117/131,ACE SPEC Rare
Ogre's Mask,118/131,Uncommon
Prime Catcher,119/131,ACE SPEC Rare
Professor Sada's Vitality,120/131,Uncommon
Professor Turo's Scenario,121/131,Uncommon
Professor's Research,122/131,Common
Professor's Research,123/131,Common
Professor's Research,124/131,Common
Professor's Research,125/131,Common
Rescue Board,126/131,Uncommon
Roto-Stick,127/131,Common
Scoop Up Cyclone,128/131,ACE SPEC Rare
Sparkling Crystal,129/131,ACE SPEC Rare
Techno Radar,130/131,Uncommon
Treasure Tracker,131/131,ACE SPEC Rare
Amarys,132/131,Ultra Rare
Atticus,133/131,Ultra Rare
Atticus,134/131,Ultra Rare
Brassius,135/131,Ultra Rare
Eri,136/131,Ultra Rare
Friends in Paldea,137/131,Ultra Rare
Giacomo,138/131,Ultra Rare
Larry's Skill,139/131,Ultra Rare
Mela,140/131,Ultra Rare
Ortega,141/131,Ultra Rare
Raifort,142/131,Ultra Rare
Tyme,143/131,Ultra Rare
Leafeon ex,144/131,Special Illustration Rare
Teal Mask Ogerpon ex,145/131,Special Illustration Rare
Flareon ex,146/131,Special Illustration Rare
Ceruledge ex,147/131,Special Illustration Rare
Hearthflame Mask Ogerpon ex,148/131,Special Illustration Rare
Vaporeon ex,149/131,Special Illustration Rare
Glaceon ex,150/131,Special Illustration Rare
Palafin ex,151/131,Special Illustration Rare
Wellspring Mask Ogerpon ex,152/131,Special Illustration Rare
Jolteon ex,153/131,Special Illustration Rare
Iron Hands ex,154/131,Special Illustration Rare
Espeon ex,155/131,Special Illustration Rare
Sylveon ex,156/131,Special Illustration Rare
Iron Valiant ex,157/131,Special Illustration Rare
Iron Crown ex,158/131,Special Illustration Rare
Sandy Shocks ex,159/131,Special Illustration Rare
Cornerstone Mask Ogerpon ex,160/131,Special Illustration Rare
Umbreon ex,161/131,Special Illustration Rare
Roaring Moon ex,162/131,Special Illustration Rare
Pecharunt ex,163/131,Special Illustration Rare
Gholdengo ex,164/131,Special Illustration Rare
Dragapult ex,165/131,Special Illustration Rare
Raging Bolt ex,166/131,Special Illustration Rare
Eevee ex,167/131,Special Illustration Rare
Bloodmoon Ursaluna ex,168/131,Special Illustration Rare
Terapagos ex,169/131,Special Illustration Rare
Amarys,170/131,Special Illustration Rare
Crispin,171/131,Special Illustration Rare
