Name,Number,Rarity
Venusaur ex,1/142,Double Rare
Ledyba,2/142,Common
Ledian,3/142,Rare
Celebi,4/142,Uncommon
Lileep,5/142,Common
Cradily,6/142,Rare
Carnivine,7/142,Common
Mow Rotom,8/142,Common
Grubbin,9/142,Common
Gossifleur,10/142,Common
Eldegoss,11/142,Uncommon
Applin,12/142,Common
Dipplin,13/142,Common
Hydrapple ex,14/142,Double Rare
Nymble,15/142,Common
Lokix,16/142,Common
Toedscool,17/142,Common
Toedscruel,18/142,Uncommon
Ponyta,19/142,Common
Rapidash,20/142,Uncommon
Pansear,21/142,Common
Reshiram,22/142,Uncommon
Salandit,23/142,Common
Salazzle,24/142,Uncommon
Turtonator,25/142,Common
Scorbunny,26/142,Common
Raboot,27/142,Common
Cinderace ex,28/142,Double Rare
Charcadet,29/142,Common
Blastoise ex,30/142,Double Rare
Lapras,31/142,Uncommon
Lapras ex,32/142,Double Rare
Marill,33/142,Common
Azumarill,34/142,Uncommon
Finneon,35/142,Common
Lumineon,36/142,Uncommon
Tirtouga,37/142,Common
Carracosta,38/142,Rare
Froakie,39/142,Common
Frogadier,40/142,Uncommon
Greninja ex,41/142,Double Rare
Crabominable,42/142,Uncommon
Chewtle,43/142,Common
Drednaw,44/142,Rare
Veluza,45/142,Uncommon
Electabuzz,46/142,Common
Electivire,47/142,Uncommon
Chinchou,48/142,Common
Lanturn,49/142,Uncommon
Joltik,50/142,Common
Galvantula ex,51/142,Double Rare
Charjabug,52/142,Common
Vikavolt,53/142,Uncommon
Togedemaru,54/142,Uncommon
Zeraora,55/142,Rare
Pawmi,56/142,Common
Slowpoke,57/142,Common
Slowking,58/142,Uncommon
Mewtwo,59/142,Uncommon
Drifloon,60/142,Common
Drifblim,61/142,Uncommon
Yamask,62/142,Common
Comfey,63/142,Common
Milcery,64/142,Common
Alcremie,65/142,Rare
Fidough,66/142,Common
Dachsbun ex,67/142,Double Rare
Flittle,68/142,Common
Espathra,69/142,Common
Greavard,70/142,Common
Iron Boulder,71/142,Rare
Cubone,72/142,Common
Marowak,73/142,Uncommon
Rhyhorn,74/142,Common
Rhydon,75/142,Common
Rhyperior,76/142,Rare
Meditite,77/142,Common
Meditite,78/142,Common
Medicham,79/142,Common
Medicham ex,80/142,Double Rare
Riolu,81/142,Common
Lucario ex,82/142,Double Rare
Mienfoo,83/142,Common
Mienshao,84/142,Uncommon
Pancham,85/142,Common
Diancie,86/142,Uncommon
Crabrawler,87/142,Common
Falinks,88/142,Common
Garganacl ex,89/142,Double Rare
Koraidon,90/142,Uncommon
Gulpin,91/142,Common
Swalot,92/142,Uncommon
Pangoro,93/142,Uncommon
Impidimp,94/142,Common
Morgrem,95/142,Common
Grimmsnarl,96/142,Rare
Bombirdier,97/142,Common
Jirachi,98/142,Uncommon
Klink,99/142,Common
Klang,100/142,Common
Klinklang,101/142,Rare
Meltan,102/142,Common
Meltan,103/142,Common
Melmetal,104/142,Rare
Melmetal ex,105/142,Double Rare
Duraludon,106/142,Common
Archaludon,107/142,Rare
Varoom,108/142,Common
Revavroom,109/142,Uncommon
Orthworm ex,110/142,Double Rare
Raging Bolt,111/142,Rare
Tauros,112/142,Common
Eevee,113/142,Common
Hoothoot,114/142,Common
Noctowl,115/142,Rare
Glameow,116/142,Common
Purugly,117/142,Common
Fan Rotom,118/142,Common
Bouffalant,119/142,Rare
Tornadus,120/142,Uncommon
Fletchling,121/142,Common
Fletchinder,122/142,Common
Talonflame,123/142,Uncommon
Wooloo,124/142,Common
Dubwool,125/142,Uncommon
Lechonk,126/142,Common
Cyclizar,127/142,Common
Terapagos ex,128/142,Double Rare
Antique Cover Fossil,129/142,Common
Antique Root Fossil,130/142,Common
Area Zero Underdepths,131/142,Uncommon
Briar,132/142,Uncommon
Crispin,133/142,Uncommon
Deluxe Bomb,134/142,ACE SPEC Rare
Glass Trumpet,135/142,Uncommon
Grand Tree,136/142,ACE SPEC Rare
Gravity Gemstone,137/142,Uncommon
Kofu,138/142,Uncommon
Lacey,139/142,Uncommon
Occa Berry,140/142,Uncommon
Payapa Berry,141/142,Uncommon
Sparkling Crystal,142/142,ACE SPEC Rare
Bulbasaur,143/142,Illustration Rare
Ledian,144/142,Illustration Rare
Lileep,145/142,Illustration Rare
Turtonator,146/142,Illustration Rare
Raboot,147/142,Illustration Rare
Squirtle,148/142,Illustration Rare
Crabominable,149/142,Illustration Rare
Joltik,150/142,Illustration Rare
Zeraora,151/142,Illustration Rare
Milcery,152/142,Illustration Rare
Meditite,153/142,Illustration Rare
Gulpin,154/142,Illustration Rare
Archaludon,155/142,Illustration Rare
Hydrapple ex,156/142,Ultra Rare
Cinderace ex,157/142,Ultra Rare
Lapras ex,158/142,Ultra Rare
Galvantula ex,159/142,Ultra Rare
Dachsbun ex,160/142,Ultra Rare
Medicham ex,161/142,Ultra Rare
Orthworm ex,162/142,Ultra Rare
Briar,163/142,Ultra Rare
Crispin,164/142,Ultra Rare
Kofu,165/142,Ultra Rare
Lacey,166/142,Ultra Rare
Hydrapple ex,167/142,Special Illustration Rare
Galvantula ex,168/142,Special Illustration Rare
Dachsbun ex,169/142,Special Illustration Rare
Terapagos ex,170/142,Special Illustration Rare
Briar,171/142,Special Illustration Rare
Lacey,172/142,Special Illustration Rare
Terapagos ex,173/142,Hyper Rare
Area Zero Underdepths,174/142,Hyper Rare
Bravery Charm,175/142,Hyper Rare
