Name,Number,Rarity
Joltik,1/64,Common
Galvantula,2/64,Uncommon
Rowlet,3/64,Common
Dartrix,4/64,Common
Decidueye,5/64,Uncommon
Tapu Bulu,6/64,Rare
Houndour,7/64,Common
Houndoom,8/64,Common
Iron Moth,9/64,Uncommon
Horsea,10/64,Common
Seadra,11/64,Common
Kingdra ex,12/64,Double Rare
Sneasel,13/64,Common
Weavile,14/64,Uncommon
Revavroom ex,15/64,Double Rare
Drowzee,16/64,Common
Hypno,17/64,Uncommon
Duskull,18/64,Common
Dusclops,19/64,Common
Dusknoir,20/64,Rare
Cresselia,21/64,Rare
Sylveon,22/64,Uncommon
Croagunk,23/64,Common
Toxicroak,24/64,Common
Bloodmoon Ursaluna,25/64,Rare
Slither Wing,26/64,Uncommon
Zubat,27/64,Common
Golbat,28/64,Common
Crobat,29/64,Uncommon
Absol,30/64,Common
Zorua,31/64,Common
Zoroark,32/64,Rare
Inkay,33/64,Common
Malamar,34/64,Uncommon
Yveltal,35/64,Uncommon
Okidogi ex,36/64,Double Rare
Munkidori ex,37/64,Double Rare
Fezandipiti ex,38/64,Double Rare
Pecharunt ex,39/64,Double Rare
Genesect,40/64,Uncommon
Cufant,41/64,Common
Copperajah,42/64,Rare
Varoom,43/64,Common
Axew,44/64,Common
Fraxure,45/64,Common
Haxorus,46/64,Rare
Kyurem,47/64,Uncommon
Meowth,48/64,Common
Persian,49/64,Common
Eevee,50/64,Common
Furfrou,51/64,Common
Stufful,52/64,Common
Bewear,53/64,Common
Academy at Night,54/64,Uncommon
Binding Mochi,55/64,Uncommon
Cassiopeia,56/64,Uncommon
Colress's Tenacity,57/64,Uncommon
Dangerous Laser,58/64,ACE SPEC Rare
Janine's Secret Art,59/64,Uncommon
Neutralization Zone,60/64,ACE SPEC Rare
Night Stretcher,61/64,Uncommon
Poké Vital A,62/64,ACE SPEC Rare
Powerglass,63/64,Uncommon
Xerosic's Machinations,64/64,Uncommon
Tapu Bulu,65/64,Illustration Rare
Houndoom,66/64,Illustration Rare
Horsea,67/64,Illustration Rare
Duskull,68/64,Illustration Rare
Dusclops,69/64,Illustration Rare
Dusknoir,70/64,Illustration Rare
Cresselia,71/64,Illustration Rare
Munkidori,72/64,Illustration Rare
Fezandipiti,73/64,Illustration Rare
Okidogi,74/64,Illustration Rare
Zorua,75/64,Illustration Rare
Cufant,76/64,Illustration Rare
Fraxure,77/64,Illustration Rare
Persian,78/64,Illustration Rare
Bewear,79/64,Illustration Rare
Kingdra ex,80/64,Ultra Rare
Revavroom ex,81/64,Ultra Rare
Okidogi ex,82/64,Ultra Rare
Munkidori ex,83/64,Ultra Rare
Fezandipiti ex,84/64,Ultra Rare
Pecharunt ex,85/64,Ultra Rare
Cassiopeia,86/64,Ultra Rare
Colress's Tenacity,87/64,Ultra Rare
Janine's Secret Art,88/64,Ultra Rare
Xerosic's Machinations,89/64,Ultra Rare
Okidogi ex,90/64,Special Illustration Rare
Munkidori ex,91/64,Special Illustration Rare
Fezandipiti ex,92/64,Special Illustration Rare
Pecharunt ex,93/64,Special Illustration Rare
Cassiopeia,94/64,Special Illustration Rare
Pecharunt ex,95/64,Hyper Rare
Earthen Vessel,96/64,Hyper Rare
Powerglass,97/64,Hyper Rare
Basic Darkness Energy,98/64,Hyper Rare
Basic Metal Energy,99/64,Hyper Rare
