Name,Number,Rarity
Exeggcute,1/191,Common
Exeggcute,2/191,Common
Exeggutor,3/191,Uncommon
Durant ex,4/191,Double Rare
Scatterbug,5/191,Common
Spewpa,6/191,Common
Vivillon,7/191,Uncommon
Morelull,8/191,Common
Shiinotic,9/191,Uncommon
Dhelmise,10/191,Common
Zarude,11/191,Rare
Capsakid,12/191,Common
Rellor,13/191,Common
Rabsca,14/191,Rare
Wo-Chien,15/191,Uncommon
Vulpix,16/191,Common
Ninetales,17/191,Uncommon
Paldean Tauros,18/191,Uncommon
Ho-Oh,19/191,Uncommon
Castform Sunny Form,20/191,Common
Victini,21/191,Uncommon
Pansear,22/191,Common
Simisear,23/191,Common
Larvesta,24/191,Common
Volcarona,25/191,Common
Oricorio,26/191,Common
Sizzlipede,27/191,Common
Centiskorch,28/191,Common
Fuecoco,29/191,Common
Crocalor,30/191,Common
Skeledirge,31/191,Rare
Charcadet,32/191,Common
Charcadet,33/191,Common
Armarouge,34/191,Uncommon
Ceruledge,35/191,Uncommon
Ceruledge ex,36/191,Double Rare
Scovillain ex,37/191,Double Rare
Gouging Fire,38/191,Rare
Paldean Tauros,39/191,Uncommon
Mantine,40/191,Common
Feebas,41/191,Common
Milotic ex,42/191,Double Rare
Spheal,43/191,Common
Sealeo,44/191,Common
Walrein,45/191,Uncommon
Shellos,46/191,Common
Cryogonal,47/191,Common
Black Kyurem ex,48/191,Double Rare
Bruxish,49/191,Uncommon
Quaxly,50/191,Common
Quaxwell,51/191,Common
Quaquaval,52/191,Uncommon
Cetoddle,53/191,Common
Cetitan,54/191,Common
Iron Bundle,55/191,Uncommon
Chien-Pao,56/191,Rare
Pikachu ex,57/191,Double Rare
Magnemite,58/191,Common
Magneton,59/191,Uncommon
Magnezone,60/191,Uncommon
Rotom,61/191,Common
Blitzle,62/191,Common
Zebstrika,63/191,Common
Stunfisk,64/191,Common
Tapu Koko,65/191,Rare
Wattrel,66/191,Common
Kilowattrel,67/191,Uncommon
Kilowattrel ex,68/191,Double Rare
Miraidon,69/191,Uncommon
Togepi,70/191,Common
Togetic,71/191,Common
Togekiss,72/191,Rare
Marill,73/191,Common
Azumarill,74/191,Uncommon
Smoochum,75/191,Common
Latias ex,76/191,Double Rare
Latios,77/191,Uncommon
Uxie,78/191,Common
Mesprit,79/191,Common
Azelf,80/191,Common
Sigilyph,81/191,Common
Yamask,82/191,Common
Cofagrigus,83/191,Rare
Espurr,84/191,Common
Meowstic,85/191,Uncommon
Sylveon ex,86/191,Double Rare
Dedenne,87/191,Common
Xerneas,88/191,Uncommon
Oricorio,89/191,Common
Sandygast,90/191,Common
Palossand ex,91/191,Double Rare
Tapu Lele,92/191,Rare
Indeedee,93/191,Uncommon
Flittle,94/191,Common
Espathra,95/191,Uncommon
Flutter Mane,96/191,Uncommon
Gimmighoul,97/191,Common
Mankey,98/191,Common
Primeape,99/191,Common
Annihilape,100/191,Uncommon
Paldean Tauros,101/191,Uncommon
Phanpy,102/191,Common
Donphan,103/191,Common
Trapinch,104/191,Common
Vibrava,105/191,Common
Flygon ex,106/191,Double Rare
Gastrodon,107/191,Rare
Drilbur,108/191,Common
Excadrill,109/191,Common
Landorus,110/191,Rare
Passimian,111/191,Uncommon
Clobbopus,112/191,Common
Grapploct,113/191,Common
Glimmet,114/191,Common
Glimmora,115/191,Common
Koraidon,116/191,Uncommon
Deino,117/191,Common
Zweilous,118/191,Common
Hydreigon ex,119/191,Double Rare
Shroodle,120/191,Common
Grafaiai,121/191,Uncommon
Alolan Diglett,122/191,Common
Alolan Dugtrio,123/191,Uncommon
Skarmory,124/191,Common
Registeel,125/191,Uncommon
Bronzor,126/191,Common
Bronzong,127/191,Common
Klefki,128/191,Common
Duraludon,129/191,Common
Archaludon ex,130/191,Double Rare
Gholdengo,131/191,Uncommon
Iron Crown,132/191,Rare
Alolan Exeggutor ex,133/191,Double Rare
Altaria,134/191,Uncommon
Dialga,135/191,Rare
Palkia,136/191,Rare
Turtonator,137/191,Uncommon
Applin,138/191,Common
Flapple,139/191,Uncommon
Appletun,140/191,Uncommon
Eternatus,141/191,Rare
Tatsugiri ex,142/191,Double Rare
Eevee,143/191,Common
Snorlax,144/191,Common
Slakoth,145/191,Common
Vigoroth,146/191,Common
Slaking ex,147/191,Double Rare
Swablu,148/191,Common
Zangoose,149/191,Common
Kecleon,150/191,Common
Bouffalant,151/191,Common
Rufflet,152/191,Common
Braviary,153/191,Uncommon
Helioptile,154/191,Common
Heliolisk,155/191,Common
Oranguru,156/191,Common
Tandemaus,157/191,Common
Maushold,158/191,Uncommon
Cyclizar ex,159/191,Double Rare
Flamigo ex,160/191,Double Rare
Terapagos,161/191,Rare
Amulet of Hope,162/191,ACE SPEC Rare
Babiri Berry,163/191,Uncommon
Brilliant Blender,164/191,ACE SPEC Rare
Call Bell,165/191,Uncommon
Chill Teaser Toy,166/191,Uncommon
Clemont's Quick Wit,167/191,Uncommon
Colbur Berry,168/191,Uncommon
Counter Gain,169/191,Uncommon
Cyrano,170/191,Uncommon
Deduction Kit,171/191,Uncommon
Dragon Elixir,172/191,Uncommon
Drasna,173/191,Common
Drayton,174/191,Uncommon
Dusk Ball,175/191,Uncommon
Energy Search Pro,176/191,ACE SPEC Rare
Gravity Mountain,177/191,Uncommon
Jasmine's Gaze,178/191,Uncommon
Lisia's Appeal,179/191,Uncommon
Lively Stadium,180/191,Uncommon
Meddling Memo,181/191,Uncommon
Megaton Blower,182/191,ACE SPEC Rare
Miracle Headset,183/191,ACE SPEC Rare
Passho Berry,184/191,Uncommon
Precious Trolley,185/191,ACE SPEC Rare
Scramble Switch,186/191,ACE SPEC Rare
Surfer,187/191,Uncommon
Technical Machine: Fluorite,188/191,Uncommon
Tera Orb,189/191,Uncommon
Tyme,190/191,Uncommon
Enriching Energy,191/191,ACE SPEC Rare
Exeggcute,192/191,Illustration Rare
Vivillon,193/191,Illustration Rare
Shiinotic,194/191,Illustration Rare
Castform Sunny Form,195/191,Illustration Rare
Larvesta,196/191,Illustration Rare
Ceruledge,197/191,Illustration Rare
Feebas,198/191,Illustration Rare
Spheal,199/191,Illustration Rare
