Name,Number,Rarity
Pineco,1/198,Common
Heracross,2/198,Uncommon
Shroomish,3/198,Common
Breloom,4/198,Uncommon
Cacnea,5/198,Common
Cacturne,6/198,Uncommon
Tropius,7/198,Common
Scatterbug,8/198,Common
Spewpa,9/198,Common
Vivillon,10/198,Uncommon
Skiddo,11/198,Common
Gogoat,12/198,Common
Sprigatito,13/198,Common
Floragato,14/198,Uncommon
Meowscarada,15/198,Rare
Tarountula,16/198,Common
Tarountula,17/198,Common
Tarountula,18/198,Common
Spidops ex,19/198,Double Rare
Smoliv,20/198,Common
Smoliv,21/198,Common
Dolliv,22/198,Common
Arboliva,23/198,Rare
Toedscool,24/198,Common
Toedscool,25/198,Common
Toedscruel,26/198,Uncommon
Capsakid,27/198,Common
Capsakid,28/198,Common
Scovillain,29/198,Uncommon
Growlithe,30/198,Common
Growlithe,31/198,Common
Arcanine ex,32/198,Double Rare
Houndour,33/198,Common
Houndoom,34/198,Common
Torkoal,35/198,Uncommon
Fuecoco,36/198,Common
Crocalor,37/198,Uncommon
Skeledirge,38/198,Rare
Charcadet,39/198,Common
Charcadet,40/198,Common
Armarouge,41/198,Rare
Slowpoke,42/198,Common
Slowbro,43/198,Rare
Magikarp,44/198,Common
Gyarados ex,45/198,Double Rare
Buizel,46/198,Common
Floatzel,47/198,Uncommon
Alomomola,48/198,Common
Clauncher,49/198,Common
Clawitzer,50/198,Common
Bruxish,51/198,Common
Quaxly,52/198,Common
Quaxwell,53/198,Uncommon
Quaquaval,54/198,Rare
Wiglett,55/198,Common
Wiglett,56/198,Common
Wugtrio,57/198,Uncommon
Cetoddle,58/198,Common
Cetoddle,59/198,Common
Cetitan,60/198,Uncommon
Dondozo,61/198,Rare
Tatsugiri,62/198,Uncommon
Magnemite,63/198,Common
Magneton,64/198,Common
Magnezone ex,65/198,Double Rare
Mareep,66/198,Common
Flaaffy,67/198,Uncommon
Pachirisu,68/198,Uncommon
Rotom,69/198,Common
Rotom,70/198,Common
Toxel,71/198,Common
Toxtricity,72/198,Uncommon
Pawmi,73/198,Common
Pawmi,74/198,Common
Pawmo,75/198,Common
Pawmot,76/198,Rare
Wattrel,77/198,Common
Wattrel,78/198,Common
Kilowattrel,79/198,Uncommon
Miraidon,80/198,Rare
Miraidon ex,81/198,Double Rare
Drowzee,82/198,Common
Hypno,83/198,Uncommon
Ralts,84/198,Common
Kirlia,85/198,Common
Gardevoir ex,86/198,Double Rare
Shuppet,87/198,Common
Banette ex,88/198,Double Rare
Drifloon,89/198,Common
Drifblim,90/198,Uncommon
Flabébé,91/198,Common
Floette,92/198,Common
Florges,93/198,Uncommon
Dedenne,94/198,Common
Dedenne,95/198,Common
Klefki,96/198,Rare
Fidough,97/198,Common
Fidough,98/198,Common
Dachsbun,99/198,Uncommon
Flittle,100/198,Common
Flittle,101/198,Common
Flittle,102/198,Common
Espathra,103/198,Uncommon
Greavard,104/198,Common
Greavard,105/198,Common
Houndstone,106/198,Rare
Mankey,107/198,Common
Primeape,108/198,Common
Annihilape,109/198,Rare
Meditite,110/198,Common
Medicham,111/198,Uncommon
Riolu,112/198,Common
Riolu,113/198,Common
Lucario,114/198,Uncommon
Sandile,115/198,Common
Krokorok,116/198,Common
Krookodile,117/198,Uncommon
Hawlucha,118/198,Rare
Silicobra,119/198,Common
Sandaconda,120/198,Uncommon
Stonjourner,121/198,Uncommon
Klawf,122/198,Rare
Great Tusk ex,123/198,Double Rare
Koraidon,124/198,Rare
Koraidon ex,125/198,Double Rare
Grimer,126/198,Common
Muk,127/198,Uncommon
Seviper,128/198,Common
Spiritomb,129/198,Uncommon
Croagunk,130/198,Common
Toxicroak ex,131/198,Double Rare
Pawniard,132/198,Common
Bisharp,133/198,Common
Kingambit,134/198,Rare
Maschiff,135/198,Common
Maschiff,136/198,Common
Mabosstiff,137/198,Uncommon
Bombirdier,138/198,Uncommon
Forretress,139/198,Uncommon
Varoom,140/198,Common
Varoom,141/198,Common
Revavroom,142/198,Rare
Iron Treads ex,143/198,Double Rare
Chansey,144/198,Common
Blissey,145/198,Uncommon
Zangoose,146/198,Common
Zangoose,147/198,Uncommon
Starly,148/198,Common
Staravia,149/198,Common
Staraptor,150/198,Uncommon
Skwovet,151/198,Common
Greedent,152/198,Uncommon
Indeedee,153/198,Rare
Lechonk,154/198,Common
Lechonk,155/198,Common
Lechonk,156/198,Common
Oinkologne,157/198,Uncommon
Oinkologne ex,158/198,Double Rare
Tandemaus,159/198,Common
Tandemaus,160/198,Common
Maushold,161/198,Uncommon
Squawkabilly,162/198,Common
Cyclizar,163/198,Uncommon
Cyclizar,164/198,Rare
Flamigo,165/198,Uncommon
Arven,166/198,Uncommon
Beach Court,167/198,Uncommon
Crushing Hammer,168/198,Common
Defiance Band,169/198,Uncommon
Electric Generator,170/198,Uncommon
Energy Retrieval,171/198,Common
Energy Search,172/198,Common
Energy Switch,173/198,Common
Exp. Share,174/198,Uncommon
Jacq,175/198,Uncommon
Judge,176/198,Uncommon
Katy,177/198,Uncommon
Mesagoza,178/198,Uncommon
Miriam,179/198,Uncommon
Nemona,180/198,Common
Nest Ball,181/198,Uncommon
Pal Pad,182/198,Common
Penny,183/198,Uncommon
Picnic Basket,184/198,Uncommon
Poké Ball,185/198,Common
Pokégear 3.0,186/198,Common
Pokémon Catcher,187/198,Common
Potion,188/198,Common
Professor's Research (Professor Sada),189/198,Rare
Professor's Research (Professor Turo),190/198,Rare
Rare Candy,191/198,Common
Rock Chestplate,192/198,Uncommon
Rocky Helmet,193/198,Uncommon
Switch,194/198,Common
Team Star Grunt,195/198,Uncommon
Ultra Ball,196/198,Uncommon
Vitality Band,197/198,Uncommon
Youngster,198/198,Uncommon
Tarountula,199/198,Illustration Rare
Dolliv,200/198,Illustration Rare
Toedscool,201/198,Illustration Rare
Scovillain,202/198,Illustration Rare
Armarouge,203/198,Illustration Rare
Slowpoke,204/198,Illustration Rare
Clauncher,205/198,Illustration Rare
Wiglett,206/198,Illustration Rare
Dondozo,207/198,Illustration Rare
Pachirisu,208/198,Illustration Rare
Pawmot,209/198,Illustration Rare
Drowzee,210/198,Illustration Rare
Ralts,211/198,Illustration Rare
Kirlia,212/198,Illustration Rare
Fidough,213/198,Illustration Rare
Greavard,214/198,Illustration Rare
Riolu,215/198,Illustration Rare
Sandile,216/198,Illustration Rare
Klawf,217/198,Illustration Rare
Mabosstiff,218/198,Illustration Rare
Bombirdier,219/198,Illustration Rare
Kingambit,220/198,Illustration Rare
Starly,221/198,Illustration Rare
Skwovet,222/198,Illustration Rare
Spidops ex,223/198,Ultra Rare
Arcanine ex,224/198,Ultra Rare
Gyarados ex,225/198,Ultra Rare
Magnezone ex,226/198,Ultra Rare
Miraidon ex,227/198,Ultra Rare
Gardevoir ex,228/198,Ultra Rare
Banette ex,229/198,Ultra Rare
Great Tusk ex,230/198,Ultra Rare
Koraidon ex,231/198,Ultra Rare
Toxicroak ex,232/198,Ultra Rare
Iron Treads ex,233/198,Ultra Rare
Oinkologne ex,234/198,Ultra Rare
Arven,235/198,Ultra Rare
Jacq,236/198,Ultra Rare
Katy,237/198,Ultra Rare
Miriam,238/198,Ultra Rare
Penny,239/198,Ultra Rare
Professor's Research (Professor Sada),240/198,Ultra Rare
Professor's Research (Professor Turo),241/198,Ultra Rare
Team Star Grunt,242/198,Ultra Rare
Spidops ex,243/198,Special Illustration Rare
Miraidon ex,244/198,Special Illustration Rare
Gardevoir ex,245/198,Special Illustration Rare
Great Tusk ex,246/198,Special Illustration Rare
Koraidon ex,247/198,Special Illustration Rare
Iron Treads ex,248/198,Special Illustration Rare
Arven,249/198,Special Illustration Rare
Jacq,250/198,Special Illustration Rare
Miriam,251/198,Special Illustration Rare
Penny,252/198,Special Illustration Rare
Miraidon ex,253/198,Hyper Rare
Koraidon ex,254/198,Hyper Rare
Nest Ball,255/198,Hyper Rare
Rare Candy,256/198,Hyper Rare
Basic Lightning Energy,257/198,Hyper Rare
Basic Fighting Energy,258/198,Hyper Rare
