Name,Number,Rarity
Scyther,1/162,Common
Pineco,2/162,Common
Seedot,3/162,Common
Nuzleaf,4/162,Common
Shiftry,5/162,Uncommon
Shroomish,6/162,Common
Breloom,7/162,Common
Roselia,8/162,Common
Roserade,9/162,Uncommon
Turtwig,10/162,Common
Grotle,11/162,Common
Torterra ex,12/162,Double Rare
Shaymin,13/162,Uncommon
Cottonee,14/162,Common
Whimsicott,15/162,Rare
Deerling,16/162,Common
Sawsbuck,17/162,Uncommon
Grubbin,18/162,Common
Dhelmise,19/162,Uncommon
Bramblin,20/162,Common
Brambleghast,21/162,Rare
Scovillain ex,22/162,Double Rare
Rellor,23/162,Common
Rabsca,24/162,Uncommon
Iron Leaves ex,25/162,Double Rare
Ponyta,26/162,Common
Rapidash,27/162,Uncommon
Slugma,28/162,Common
Magcargo,29/162,Rare
Victini,30/162,Common
Heatmor,31/162,Common
Litten,32/162,Common
Torracat,33/162,Common
Incineroar ex,34/162,Double Rare
Turtonator,35/162,Common
Sizzlipede,36/162,Common
Centiskorch,37/162,Uncommon
Gouging Fire ex,38/162,Double Rare
Totodile,39/162,Common
Croconaw,40/162,Common
Feraligatr,41/162,Rare
Carvanha,42/162,Common
Sharpedo,43/162,Uncommon
Keldeo,44/162,Uncommon
Snom,45/162,Common
Frosmoth,46/162,Common
Wiglett,47/162,Common
Finizen,48/162,Common
Palafin,49/162,Uncommon
Walking Wake ex,50/162,Double Rare
Pikachu,51/162,Common
Raichu,52/162,Common
Electabuzz,53/162,Common
Electivire,54/162,Uncommon
Charjabug,55/162,Common
Vikavolt,56/162,Uncommon
Zeraora,57/162,Uncommon
Yamper,58/162,Common
Boltund,59/162,Uncommon
Wugtrio ex,60/162,Double Rare
Iron Hands,61/162,Uncommon
Iron Thorns,62/162,Rare
Mr. Mime,63/162,Common
Marill,64/162,Common
Azumarill,65/162,Common
Girafarig,66/162,Common
Latias,67/162,Uncommon
Bronzor,68/162,Common
Bronzong,69/162,Uncommon
Solosis,70/162,Common
Duosion,71/162,Common
Reuniclus,72/162,Uncommon
Elgyem,73/162,Common
Beheeyem,74/162,Uncommon
Cutiefly,75/162,Common
Ribombee,76/162,Uncommon
Scream Tail,77/162,Uncommon
Flutter Mane,78/162,Rare
Iron Valiant,79/162,Uncommon
Iron Valiant,80/162,Rare
Iron Crown ex,81/162,Double Rare
Meditite,82/162,Common
Medicham,83/162,Common
Relicanth,84/162,Rare
Drilbur,85/162,Common
Excadrill,86/162,Uncommon
Golett,87/162,Common
Golurk,88/162,Uncommon
Rockruff,89/162,Common
Lycanroc,90/162,Uncommon
Mudbray,91/162,Common
Mudsdale,92/162,Uncommon
Rolycoly,93/162,Common
Carkol,94/162,Common
Coalossal,95/162,Uncommon
Great Tusk,96/162,Uncommon
Great Tusk,97/162,Uncommon
Sandy Shocks,98/162,Uncommon
Iron Boulder ex,99/162,Double Rare
Ekans,100/162,Common
Arbok,101/162,Common
Gastly,102/162,Common
Haunter,103/162,Common
Gengar ex,104/162,Double Rare
Poochyena,105/162,Common
Mightyena,106/162,Common
Sableye,107/162,Uncommon
Farigiraf ex,108/162,Double Rare
Roaring Moon,109/162,Rare
Forretress,110/162,Uncommon
Scizor ex,111/162,Double Rare
Mawile,112/162,Common
Beldum,113/162,Common
Metang,114/162,Common
Metagross,115/162,Uncommon
Meltan,116/162,Common
Melmetal,117/162,Rare
Iron Treads,118/162,Uncommon
Koraidon,119/162,Rare
Koraidon ex,120/162,Double Rare
Miraidon,121/162,Rare
Miraidon ex,122/162,Double Rare
Raging Bolt ex,123/162,Double Rare
Lickitung,124/162,Common
Lickilicky,125/162,Common
Hoothoot,126/162,Common
Noctowl,127/162,Common
Dunsparce,128/162,Common
Dudunsparce,129/162,Rare
Skitty,130/162,Common
Delcatty,131/162,Uncommon
Chatot,132/162,Common
Pidove,133/162,Common
Tranquill,134/162,Common
Unfezant,135/162,Uncommon
Minccino,136/162,Common
Cinccino,137/162,Uncommon
Drampa,138/162,Rare
Iron Jugulis,139/162,Uncommon
Ancient Booster Energy Capsule,140/162,Uncommon
Awakening Drum,141/162,ACE SPEC Rare
Bianca's Devotion,142/162,Uncommon
Boxed Order,143/162,Uncommon
Buddy-Buddy Poffin,144/162,Uncommon
Ciphermaniac's Codebreaking,145/162,Uncommon
Eri,146/162,Uncommon
Explorer's Guidance,147/162,Uncommon
Full Metal Lab,148/162,Uncommon
Future Booster Energy Capsule,149/162,Uncommon
Hand Trimmer,150/162,Uncommon
Heavy Baton,151/162,Uncommon
Hero's Cape,152/162,ACE SPEC Rare
Master Ball,153/162,ACE SPEC Rare
Maximum Belt,154/162,ACE SPEC Rare
Morty's Conviction,155/162,Uncommon
Perilous Jungle,156/162,Uncommon
Prime Catcher,157/162,ACE SPEC Rare
Reboot Pod,158/162,ACE SPEC Rare
Rescue Board,159/162,Uncommon
Salvatore,160/162,Uncommon
Mist Energy,161/162,Uncommon
Neo Upper Energy,162/162,ACE SPEC Rare
Shiftry,163/162,Illustration Rare
Grotle,164/162,Illustration Rare
Deerling,165/162,Illustration Rare
Sawsbuck,166/162,Illustration Rare
Litten,167/162,Illustration Rare
Snom,168/162,Illustration Rare
Charjabug,169/162,Illustration Rare
Bronzor,170/162,Illustration Rare
Reuniclus,171/162,Illustration Rare
Cutiefly,172/162,Illustration Rare
Relicanth,173/162,Illustration Rare
Excadrill,174/162,Illustration Rare
Mudsdale,175/162,Illustration Rare
Arbok,176/162,Illustration Rare
Gastly,177/162,Illustration Rare
Metagross,178/162,Illustration Rare
Meltan,179/162,Illustration Rare
Lickitung,180/162,Illustration Rare
Chatot,181/162,Illustration Rare
Minccino,182/162,Illustration Rare
Cinccino,183/162,Illustration Rare
Drampa,184/162,Illustration Rare
Torterra ex,185/162,Ultra Rare
Iron Leaves ex,186/162,Ultra Rare
Incineroar ex,187/162,Ultra Rare
Gouging Fire ex,188/162,Ultra Rare
Walking Wake ex,189/162,Ultra Rare
Wugtrio ex,190/162,Ultra Rare
Iron Crown ex,191/162,Ultra Rare
Iron Boulder ex,192/162,Ultra Rare
Gengar ex,193/162,Ultra Rare
Farigiraf ex,194/162,Ultra Rare
Scizor ex,195/162,Ultra Rare
Raging Bolt ex,196/162,Ultra Rare
Bianca's Devotion,197/162,Ultra Rare
Ciphermaniac's Codebreaking,198/162,Ultra Rare
Eri,199/162,Ultra Rare
Explorer's Guidance,200/162,Ultra Rare
Morty's Conviction,201/162,Ultra Rare
Salvatore,202/162,Ultra Rare
Iron Leaves ex,203/162,Special Illustration Rare
Gouging Fire ex,204/162,Special Illustration Rare
Walking Wake ex,205/162,Special Illustration Rare
Iron Crown ex,206/162,Special Illustration Rare
Iron Boulder ex,207/162,Special Illustration Rare
Raging Bolt ex,208/162,Special Illustration Rare
Bianca's Devotion,209/162,Special Illustration Rare
Eri,210/162,Special Illustration Rare
Morty's Conviction,211/162,Special Illustration Rare
Salvatore,212/162,Special Illustration Rare
Iron Leaves ex,213/162,Hyper Rare
Gouging Fire ex,214/162,Hyper Rare
Walking Wake ex,215/162,Hyper Rare
Iron Crown ex,216/162,Hyper Rare
Iron Boulder ex,217/162,Hyper Rare
Raging Bolt ex,218/162,Hyper Rare
