Name,Number,Rarity
Tangela,1/167,Common
Tangrowth,2/167,Common
Pinsir,3/167,Common
Spinarak,4/167,Common
Ariados,5/167,Uncommon
Sunkern,6/167,Common
Sunflora,7/167,Uncommon
Heracross,8/167,Uncommon
Volbeat,9/167,Common
Illumise,10/167,Common
Leafeon,11/167,Uncommon
Phantump,12/167,Common
Trevenant,13/167,Common
Grookey,14/167,Common
Thwackey,15/167,Common
Rillaboom,16/167,Uncommon
Applin,17/167,Common
Dipplin,18/167,Uncommon
Iron Leaves,19/167,Rare
Poltchageist,20/167,Common
Poltchageist,21/167,Common
Sinistcha,22/167,Rare
Sinistcha ex,23/167,Double Rare
Teal Mask Ogerpon,24/167,Rare
Teal Mask Ogerpon ex,25/167,Double Rare
Vulpix,26/167,Common
Ninetales,27/167,Common
Slugma,28/167,Common
Magcargo ex,29/167,Double Rare
Torkoal,30/167,Common
Chimchar,31/167,Common
Monferno,32/167,Common
Infernape,33/167,Rare
Darumaka,34/167,Common
Darmanitan,35/167,Uncommon
Litwick,36/167,Common
Lampent,37/167,Common
Chandelure,38/167,Rare
Chi-Yu,39/167,Uncommon
Hearthflame Mask Ogerpon ex,40/167,Double Rare
Poliwag,41/167,Common
Poliwhirl,42/167,Common
Poliwrath,43/167,Uncommon
Goldeen,44/167,Common
Seaking,45/167,Common
Jynx,46/167,Common
Corphish,47/167,Common
Crawdaunt,48/167,Common
Feebas,49/167,Common
Milotic,50/167,Uncommon
Snorunt,51/167,Common
Glalie,52/167,Uncommon
Froslass,53/167,Rare
Glaceon,54/167,Uncommon
Phione,55/167,Common
Froakie,56/167,Common
Frogadier,57/167,Common
Cramorant,58/167,Uncommon
Finizen,59/167,Common
Palafin,60/167,Uncommon
Palafin ex,61/167,Double Rare
Iron Bundle,62/167,Uncommon
Walking Wake,63/167,Rare
Wellspring Mask Ogerpon ex,64/167,Double Rare
Zapdos,65/167,Rare
Shinx,66/167,Common
Luxio,67/167,Common
Luxray ex,68/167,Double Rare
Emolga,69/167,Common
Helioptile,70/167,Common
Heliolisk,71/167,Common
Morpeko,72/167,Uncommon
Tadbulb,73/167,Common
Bellibolt,74/167,Uncommon
Wattrel,75/167,Common
Kilowattrel,76/167,Uncommon
Iron Thorns ex,77/167,Double Rare
Clefairy,78/167,Common
Clefable,79/167,Uncommon
Abra,80/167,Common
Kadabra,81/167,Common
Alakazam,82/167,Rare
Girafarig,83/167,Common
Farigiraf,84/167,Uncommon
Chimecho,85/167,Common
Flabébé,86/167,Common
Floette,87/167,Common
Florges,88/167,Uncommon
Swirlix,89/167,Common
Slurpuff,90/167,Uncommon
Sandygast,91/167,Common
Palossand,92/167,Common
Enamorus,93/167,Rare
Scream Tail ex,94/167,Double Rare
Munkidori,95/167,Rare
Fezandipiti,96/167,Rare
Sandshrew,97/167,Common
Sandslash,98/167,Uncommon
Hisuian Growlithe,99/167,Common
Hisuian Arcanine,100/167,Rare
Nosepass,101/167,Common
Probopass,102/167,Uncommon
Timburr,103/167,Common
Gurdurr,104/167,Common
Conkeldurr,105/167,Uncommon
Greninja ex,106/167,Double Rare
Hawlucha,107/167,Common
Glimmet,108/167,Common
Glimmora,109/167,Uncommon
Ting-Lu,110/167,Rare
Okidogi,111/167,Rare
Cornerstone Mask Ogerpon ex,112/167,Double Rare
Poochyena,113/167,Common
Mightyena,114/167,Uncommon
Venipede,115/167,Common
Whirlipede,116/167,Common
Scolipede,117/167,Uncommon
Brute Bonnet,118/167,Uncommon
Skarmory,119/167,Common
Aron,120/167,Common
Lairon,121/167,Common
Aggron,122/167,Uncommon
Heatran,123/167,Rare
Varoom,124/167,Common
Revavroom,125/167,Uncommon
Applin,126/167,Common
Dipplin,127/167,Uncommon
Dreepy,128/167,Common
Drakloak,129/167,Common
Dragapult ex,130/167,Double Rare
Tatsugiri,131/167,Uncommon
Farfetch'd,132/167,Common
Chansey,133/167,Common
Blissey ex,134/167,Double Rare
Eevee,135/167,Common
Snorlax,136/167,Uncommon
Aipom,137/167,Common
Ambipom,138/167,Uncommon
Ducklett,139/167,Common
Swanna,140/167,Uncommon
Bloodmoon Ursaluna ex,141/167,Double Rare
Accompanying Flute,142/167,Uncommon
Bug Catching Set,143/167,Uncommon
Caretaker,144/167,Common
Carmine,145/167,Uncommon
Community Center,146/167,Uncommon
Cook,147/167,Uncommon
