Name,Number,Rarity
Sewaddle,1/86,Common
Swadloon,2/86,Common
Leavanny,3/86,Uncommon
Cottonee,4/86,Common
Whimsicott ex,5/86,Double Rare
Deerling,6/86,Common
Sawsbuck,7/86,Uncommon
Shelmet,8/86,Common
Accelgor,9/86,Uncommon
Virizion,10/86,Rare
Tepig,11/86,Common
Pignite,12/86,Common
Emboar,13/86,Rare
Pansear,14/86,Common
Simisear,15/86,Uncommon
Litwick,16/86,Common
Lampent,17/86,Common
Chandelure,18/86,Rare
Heatmor,19/86,Uncommon
Reshiram ex,20/86,Double Rare
Oshawott,21/86,Common
Dewott,22/86,Common
Samurott,23/86,Rare
Basculin,24/86,Common
Ducklett,25/86,Common
Swanna,26/86,Uncommon
Vanillite,27/86,Common
Vanillish,28/86,Common
Vanilluxe,29/86,Uncommon
Keldeo ex,30/86,Double Rare
Blitzle,31/86,Common
Zebstrika,32/86,Uncommon
Joltik,33/86,Common
Galvantula,34/86,Uncommon
Stunfisk,35/86,Uncommon
Woobat,36/86,Common
Swoobat,37/86,Uncommon
Sigilyph,38/86,Uncommon
Yamask,39/86,Common
Cofagrigus,40/86,Rare
Gothita,41/86,Common
Gothorita,42/86,Common
Gothitelle,43/86,Rare
Frillish,44/86,Common
Jellicent ex,45/86,Double Rare
Roggenrola,46/86,Common
Boldore,47/86,Common
Gigalith,48/86,Uncommon
Sawk,49/86,Uncommon
Archen,50/86,Uncommon
Archeops,51/86,Rare
Mienfoo,52/86,Common
Mienshao,53/86,Uncommon
Terrakion,54/86,Rare
Purrloin,55/86,Common
Liepard,56/86,Uncommon
Scraggy,57/86,Common
Scrafty,58/86,Uncommon
Trubbish,59/86,Common
Garbodor,60/86,Uncommon
Zorua,61/86,Common
Zoroark,62/86,Rare
Vullaby,63/86,Common
Mandibuzz,64/86,Uncommon
Deino,65/86,Common
Zweilous,66/86,Common
Hydreigon ex,67/86,Double Rare
Ferroseed,68/86,Common
Ferrothorn,69/86,Uncommon
Durant,70/86,Uncommon
Druddigon,71/86,Uncommon
Patrat,72/86,Common
Watchog,73/86,Uncommon
Lillipup,74/86,Common
Herdier,75/86,Common
Stoutland,76/86,Uncommon
Bouffalant ex,77/86,Double Rare
Tornadus,78/86,Rare
Antique Plume Fossil,79/86,Common
Brave Bangle,80/86,Uncommon
Cheren,81/86,Uncommon
Energy Retrieval,82/86,Uncommon
Harlequin,83/86,Uncommon
Hilda,84/86,Uncommon
Tool Scrapper,85/86,Uncommon
Ignition Energy,86/86,Uncommon
Sewaddle,87/86,Illustration Rare
Swadloon,88/86,Illustration Rare
Leavanny,89/86,Illustration Rare
Cottonee,90/86,Illustration Rare
Deerling,91/86,Illustration Rare
Sawsbuck,92/86,Illustration Rare
Shelmet,93/86,Illustration Rare
Accelgor,94/86,Illustration Rare
Virizion,95/86,Illustration Rare
Tepig,96/86,Illustration Rare
Pignite,97/86,Illustration Rare
Emboar,98/86,Illustration Rare
Pansear,99/86,Illustration Rare
Simisear,100/86,Illustration Rare
Litwick,101/86,Illustration Rare
Lampent,102/86,Illustration Rare
Chandelure,103/86,Illustration Rare
Heatmor,104/86,Illustration Rare
Oshawott,105/86,Illustration Rare
Dewott,106/86,Illustration Rare
Samurott,107/86,Illustration Rare
Basculin,108/86,Illustration Rare
Ducklett,109/86,Illustration Rare
Swanna,110/86,Illustration Rare
Vanillite,111/86,Illustration Rare
Vanillish,112/86,Illustration Rare
Vanilluxe,113/86,Illustration Rare
Blitzle,114/86,Illustration Rare
Zebstrika,115/86,Illustration Rare
Joltik,116/86,Illustration Rare
Galvantula,117/86,Illustration Rare
Stunfisk,118/86,Illustration Rare
Woobat,119/86,Illustration Rare
Swoobat,120/86,Illustration Rare
Sigilyph,121/86,Illustration Rare
Yamask,122/86,Illustration Rare
Cofagrigus,123/86,Illustration Rare
Gothita,124/86,Illustration Rare
Gothorita,125/86,Illustration Rare
Frillish,126/86,Illustration Rare
Roggenrola,127/86,Illustration Rare
Boldore,128/86,Illustration Rare
Gigalith,129/86,Illustration Rare
Sawk,130/86,Illustration Rare
Archen,131/86,Uncommon
Archeops,132/86,Illustration Rare
Mienfoo,133/86,Illustration Rare
Mienshao,134/86,Illustration Rare
Terrakion,135/86,Illustration Rare
Purrloin,136/86,Illustration Rare
Liepard,137/86,Illustration Rare
Scraggy,138/86,Illustration Rare
Scrafty,139/86,Illustration Rare
Trubbish,140/86,Illustration Rare
Garbodor,141/86,Illustration Rare
Zorua,142/86,Illustration Rare
Zoroark,143/86,Illustration Rare
Vullaby,144/86,Illustration Rare
Mandibuzz,145/86,Illustration Rare
Deino,146/86,Illustration Rare
Zweilous,147/86,Illustration Rare
Ferroseed,148/86,Illustration Rare
Ferrothorn,149/86,Illustration Rare
Durant,150/86,Illustration Rare
Druddigon,151/86,Illustration Rare
Patrat,152/86,Illustration Rare
Watchog,153/86,Illustration Rare
Lillipup,154/86,Illustration Rare
Herdier,155/86,Illustration Rare
Stoutland,156/86,Illustration Rare
Whimsicott ex,157/86,Ultra Rare
Reshiram ex,158/86,Ultra Rare
Keldeo ex,159/86,Ultra Rare
Jellicent ex,160/86,Ultra Rare
Hydreigon ex,161/86,Ultra Rare
Bouffalant ex,162/86,Ultra Rare
Harlequin,163/86,Ultra Rare
Hilda,164/86,Ultra Rare
Whimsicott ex,165/86,Special Illustration Rare
Reshiram ex,166/86,Special Illustration Rare
Keldeo ex,167/86,Special Illustration Rare
Jellicent ex,168/86,Special Illustration Rare
Hydreigon ex,169/86,Special Illustration Rare
Bouffalant ex,170/86,Special Illustration Rare
Hilda,171/86,Special Illustration Rare
Victini,172/86,Rare
Reshiram ex,173/86,Black White Rare
