Name,Number,Rarity
Beedrill V,1/189,Rare Holo V
Hisuian Voltorb,2/189,Common
Hisuian Electrode,3/189,Uncommon
Scyther,4/189,Common
Scyther,5/189,Common
Yanma,6/189,Common
Yanmega,7/189,Uncommon
Heracross,8/189,Common
Kricketot,9/189,Common
Kricketune,10/189,Uncommon
Combee,11/189,Common
Vespiquen,12/189,Rare
Leafeon,13/189,Rare
Shaymin,14/189,Rare
Petilil,15/189,Common
Hisuian Lilligant,16/189,Rare Holo
Hisuian Lilligant V,17/189,Rare Holo V
Hisuian Lilligant VSTAR,18/189,Rare Holo VSTAR
Rowlet,19/189,Common
Dartrix,20/189,Uncommon
Ponyta,21/189,Common
Rapidash,22/189,Rare
Cyndaquil,23/189,Common
Quilava,24/189,Uncommon
Heatran V,25/189,Rare Holo V
Heatran VMAX,26/189,Rare Holo VMAX
Radiant Heatran,27/189,Radiant Rare
Psyduck,28/189,Common
Golduck,29/189,Uncommon
Starmie V,30/189,Rare Holo V
Swinub,31/189,Common
Piloswine,32/189,Uncommon
Mamoswine,33/189,Rare
Mantine,34/189,Common
Barboach,35/189,Common
Whiscash,36/189,Uncommon
Regice,37/189,Rare
Glaceon,38/189,Rare
Origin Forme Palkia V,39/189,Rare Holo V
Origin Forme Palkia VSTAR,40/189,Rare Holo VSTAR
Oshawott,41/189,Common
Dewott,42/189,Uncommon
Hisuian Basculin,43/189,Common
Hisuian Basculegion,44/189,Rare
Keldeo,45/189,Rare Holo
Radiant Greninja,46/189,Radiant Rare
Bergmite,47/189,Common
Hisuian Avalugg,48/189,Rare
Galarian Mr. Rime V,49/189,Rare Holo V
Luxray V,50/189,Rare Holo V
Regieleki,51/189,Rare
Hisuian Typhlosion,52/189,Rare Holo
Hisuian Typhlosion V,53/189,Rare Holo V
Hisuian Typhlosion VSTAR,54/189,Rare Holo VSTAR
Togepi,55/189,Common
Togetic,56/189,Uncommon
Togekiss,57/189,Rare Holo
Misdreavus,58/189,Common
Mismagius,59/189,Rare
Ralts,60/189,Common
Kirlia,61/189,Uncommon
Gallade,62/189,Rare Holo
Drifloon,63/189,Common
Drifblim,64/189,Uncommon
Uxie,65/189,Uncommon
Mesprit,66/189,Rare Holo
Azelf,67/189,Uncommon
Diancie,68/189,Rare Holo
Wyrdeer,69/189,Rare Holo
Hisuian Growlithe,70/189,Common
Hisuian Arcanine,71/189,Rare
Machamp V,72/189,Rare Holo V
Machamp VMAX,73/189,Rare Holo VMAX
Sudowoodo,74/189,Common
Regirock,75/189,Rare
Cranidos,76/189,Uncommon
Rampardos,77/189,Rare Holo
Lucario V,78/189,Rare Holo V
Hippopotas,79/189,Common
Hippowdon,80/189,Uncommon
Radiant Hawlucha,81/189,Radiant Rare
Hisuian Decidueye,82/189,Rare Holo
Hisuian Decidueye V,83/189,Rare Holo V
Hisuian Decidueye VSTAR,84/189,Rare Holo VSTAR
Kleavor,85/189,Rare
Kleavor,86/189,Rare Holo
Kleavor V,87/189,Rare Holo V
Hisuian Qwilfish,88/189,Common
Hisuian Qwilfish,89/189,Common
Hisuian Overqwil,90/189,Uncommon
Hisuian Overqwil,91/189,Rare
Hisuian Sneasel,92/189,Common
Hisuian Sneasler,93/189,Rare Holo
Hisuian Sneasler V,94/189,Rare Holo V
Poochyena,95/189,Common
Mightyena,96/189,Rare
Absol,97/189,Rare Holo
Darkrai V,98/189,Rare Holo V
Darkrai VSTAR,99/189,Rare Holo VSTAR
Hisuian Samurott,100/189,Rare Holo
Hisuian Samurott V,101/189,Rare Holo V
Hisuian Samurott VSTAR,102/189,Rare Holo VSTAR
Nickit,103/189,Common
Thievul,104/189,Rare
Magnemite,105/189,Common
Magneton,106/189,Uncommon
Magnezone,107/189,Rare Holo
Registeel,108/189,Rare
Shieldon,109/189,Uncommon
Bastiodon,110/189,Rare Holo
Bronzor,111/189,Common
Bronzong,112/189,Uncommon
Origin Forme Dialga V,113/189,Rare Holo V
Origin Forme Dialga VSTAR,114/189,Rare Holo VSTAR
Pawniard,115/189,Common
Bisharp,116/189,Uncommon
Garchomp V,117/189,Rare Holo V
Regidrago,118/189,Rare
Eevee,119/189,Common
Hoothoot,120/189,Common
Noctowl,121/189,Uncommon
Teddiursa,122/189,Common
Ursaring,123/189,Uncommon
Ursaluna,124/189,Rare
Stantler,125/189,Common
Miltank,126/189,Rare Holo
Glameow,127/189,Common
Purugly,128/189,Uncommon
Chatot,129/189,Common
Regigigas,130/189,Rare Holo
Rufflet,131/189,Common
Hisuian Braviary,132/189,Rare
Oranguru V,133/189,Rare Holo V
Wyrdeer V,134/189,Rare Holo V
Adaman,135/189,Rare Holo
Canceling Cologne,136/189,Uncommon
Choy,137/189,Uncommon
Cyllene,138/189,Uncommon
Dark Patch,139/189,Uncommon
Energy Loto,140/189,Uncommon
Feather Ball,141/189,Uncommon
Gapejaw Bog,142/189,Uncommon
Gardenia's Vigor,143/189,Uncommon
Grant,144/189,Uncommon
Gutsy Pickaxe,145/189,Uncommon
Hisuian Heavy Ball,146/189,Uncommon
Irida,147/189,Rare Holo
Jubilife Village,148/189,Uncommon
Kamado,149/189,Uncommon
Roxanne,150/189,Uncommon
Spicy Seasoned Curry,151/189,Uncommon
Supereffective Glasses,152/189,Uncommon
Sweet Honey,153/189,Uncommon
Switch Cart,154/189,Uncommon
Temple of Sinnoh,155/189,Uncommon
Trekking Shoes,156/189,Uncommon
Unidentified Fossil,157/189,Uncommon
Wait and See Turbo,158/189,Uncommon
Zisu,159/189,Uncommon
Beedrill V,160/189,Rare Ultra
Beedrill V,161/189,Rare Ultra
Hisuian Lilligant V,162/189,Rare Ultra
Hisuian Lilligant V,163/189,Rare Ultra
Virizion V,164/189,Rare Ultra
Heatran V,165/189,Rare Ultra
Starmie V,166/189,Rare Ultra
Origin Forme Palkia V,167/189,Rare Ultra
Luxray V,168/189,Rare Ultra
Hisuian Typhlosion V,169/189,Rare Ultra
Jirachi V,170/189,Rare Ultra
Machamp V,171/189,Rare Ultra
Machamp V,172/189,Rare Ultra
Hisuian Decidueye V,173/189,Rare Ultra
