Name,Number,Rarity
Exeggcute,1/172,Common
Exeggutor,2/172,Uncommon
Shroomish,3/172,Common
Breloom,4/172,Rare
Tropius,5/172,Uncommon
Turtwig,6/172,Common
Grotle,7/172,Uncommon
Torterra,8/172,Rare Holo
Burmy,9/172,Common
Wormadam,10/172,Rare
Mothim,11/172,Rare
Cherubi,12/172,Common
Shaymin V,13/172,Rare Holo V
Shaymin VSTAR,14/172,Rare Holo VSTAR
Karrablast,15/172,Common
Zarude V,16/172,Rare Holo V
Charizard V,17/172,Rare Holo V
Charizard VSTAR,18/172,Rare Holo VSTAR
Magmar,19/172,Common
Magmortar,20/172,Rare
Moltres,21/172,Rare Holo
Entei V,22/172,Rare Holo V
Torkoal,23/172,Uncommon
Chimchar,24/172,Common
Monferno,25/172,Uncommon
Infernape,26/172,Rare Holo
Simisear V,27/172,Rare Holo V
Kingler V,28/172,Rare Holo V
Kingler VMAX,29/172,Rare Holo VMAX
Staryu,30/172,Common
Lapras,31/172,Rare
Corphish,32/172,Common
Crawdaunt,33/172,Uncommon
Snorunt,34/172,Common
Piplup,35/172,Common
Prinplup,36/172,Uncommon
Empoleon,37/172,Rare Holo
Buizel,38/172,Common
Floatzel,39/172,Uncommon
Lumineon V,40/172,Rare Holo V
Manaphy,41/172,Rare
Cubchoo,42/172,Common
Beartic,43/172,Uncommon
Eiscue,44/172,Rare
Raichu V,45/172,Rare Holo V
Electabuzz,46/172,Common
Electivire,47/172,Rare
Raikou V,48/172,Rare Holo V
Shinx,49/172,Common
Luxio,50/172,Uncommon
Luxray,51/172,Rare
Pachirisu,52/172,Uncommon
Clefairy,53/172,Common
Clefable,54/172,Rare
Starmie,55/172,Uncommon
Mewtwo,56/172,Rare
Granbull V,57/172,Rare Holo V
Baltoy,58/172,Common
Claydol,59/172,Uncommon
Duskull,60/172,Common
Dusclops,61/172,Uncommon
Dusknoir,62/172,Rare Holo
Chimecho,63/172,Common
Whimsicott V,64/172,Rare Holo V
Whimsicott VSTAR,65/172,Rare Holo VSTAR
Sigilyph,66/172,Uncommon
Dedenne,67/172,Common
Mimikyu V,68/172,Rare Holo V
Mimikyu VMAX,69/172,Rare Holo VMAX
Milcery,70/172,Common
Alcremie,71/172,Rare
Hitmontop,72/172,Uncommon
Nosepass,73/172,Common
Trapinch,74/172,Common
Vibrava,75/172,Uncommon
Flygon,76/172,Rare
Wormadam,77/172,Rare
Riolu,78/172,Common
Lucario,79/172,Rare Holo
Throh,80/172,Common
Sawk,81/172,Common
Golett,82/172,Common
Golurk,83/172,Rare
Grimer,84/172,Common
Muk,85/172,Rare
Sneasel,86/172,Common
Weavile,87/172,Uncommon
Honchkrow V,88/172,Rare Holo V
Spiritomb,89/172,Common
Purrloin,90/172,Common
Liepard,91/172,Rare
Impidimp,92/172,Common
Morgrem,93/172,Uncommon
Grimmsnarl,94/172,Rare
Morpeko V,95/172,Rare Holo V
Aggron V,96/172,Rare Holo V
Aggron VMAX,97/172,Rare Holo VMAX
Wormadam,98/172,Rare
Probopass,99/172,Uncommon
Heatran,100/172,Rare
Escavalier,101/172,Rare
Klink,102/172,Common
Klang,103/172,Uncommon
Klinklang,104/172,Rare
Zamazenta V,105/172,Rare Holo V
Flygon V,106/172,Rare Holo V
Gible,107/172,Common
Gabite,108/172,Uncommon
Garchomp,109/172,Rare Holo
Axew,110/172,Common
Fraxure,111/172,Uncommon
Haxorus,112/172,Rare
Druddigon,113/172,Rare
Dracovish V,114/172,Rare Holo V
Farfetch'd,115/172,Common
Castform,116/172,Common
Starly,117/172,Common
Staravia,118/172,Uncommon
Staraptor,119/172,Rare
Bidoof,120/172,Common
Bibarel,121/172,Rare Holo
Arceus V,122/172,Rare Holo V
Arceus VSTAR,123/172,Rare Holo VSTAR
Minccino,124/172,Common
Cinccino,125/172,Uncommon
Tornadus,126/172,Rare
Hawlucha,127/172,Common
Drampa V,128/172,Rare Holo V
Acerola's Premonition,129/172,Uncommon
Barry,130/172,Uncommon
Blunder Policy,131/172,Uncommon
Boss's Orders,132/172,Rare Holo
Café Master,133/172,Uncommon
Cheren's Care,134/172,Uncommon
Choice Belt,135/172,Uncommon
Cleansing Gloves,136/172,Uncommon
Collapsed Stadium,137/172,Uncommon
Cynthia's Ambition,138/172,Uncommon
Fresh Water Set,139/172,Uncommon
Friends in Galar,140/172,Uncommon
Gloria,141/172,Uncommon
Hunting Gloves,142/172,Uncommon
Kindler,143/172,Uncommon
Magma Basin,144/172,Uncommon
Marnie's Pride,145/172,Uncommon
Pot Helmet,146/172,Uncommon
Professor's Research,147/172,Rare Holo
Roseanne's Backup,148/172,Uncommon
Team Yell's Cheer,149/172,Uncommon
Ultra Ball,150/172,Uncommon
Double Turbo Energy,151/172,Uncommon
Shaymin V,152/172,Rare Ultra
Charizard V,153/172,Rare Ultra
Charizard V,154/172,Rare Ultra
Lumineon V,155/172,Rare Ultra
Lumineon V,156/172,Rare Ultra
Pikachu V,157/172,Rare Ultra
Raichu V,158/172,Rare Ultra
Granbull V,159/172,Rare Ultra
Whimsicott V,160/172,Rare Ultra
Honchkrow V,161/172,Rare Ultra
Honchkrow V,162/172,Rare Ultra
Zamazenta V,163/172,Rare Ultra
Flygon V,164/172,Rare Ultra
Arceus V,165/172,Rare Ultra
Arceus V,166/172,Rare Ultra
Barry,167/172,Rare Ultra
Cheren's Care,168/172,Rare Ultra
Cynthia's Ambition,169/172,Rare Ultra
Kindler,170/172,Rare Ultra
Marnie's Pride,171/172,Rare Ultra
Roseanne's Backup,172/172,Rare Ultra
Shaymin VSTAR,173/172,Rare Rainbow
Charizard VSTAR,174/172,Rare Rainbow
Whimsicott VSTAR,175/172,Rare Rainbow
Arceus VSTAR,176/172,Rare Rainbow
Cheren's Care,177/172,Rare Rainbow
Cynthia's Ambition,178/172,Rare Rainbow
Kindler,179/172,Rare Rainbow
Roseanne's Backup,180/172,Rare Rainbow
Galarian Articuno V,181/172,Rare Secret
Galarian Zapdos V,182/172,Rare Secret
Galarian Moltres V,183/172,Rare Secret
Arceus VSTAR,184/172,Rare Secret
Magma Basin,185/172,Rare Secret
Ultra Ball,186/172,Rare Secret
