Name,Number,Rarity
Bellsprout,1/163,Common
Weepinbell,2/163,Uncommon
Victreebel,3/163,Rare
Cacnea,4/163,Common
Cacturne,5/163,Uncommon
Kricketune V,6/163,Rare Holo V
Cherubi,7/163,Common
Cherrim,8/163,Rare Holo
Carnivine,9/163,Uncommon
Durant,10/163,Uncommon
Scatterbug,11/163,Common
Spewpa,12/163,Uncommon
Vivillon,13/163,Rare
Fomantis,14/163,Common
Lurantis,15/163,Rare
Tapu Bulu,16/163,Rare Holo
Blipbug,17/163,Common
Flapple V,18/163,Rare Holo V
Flapple VMAX,19/163,Rare Holo VMAX
Entei,20/163,Rare Holo
Victini V,21/163,Rare Holo V
Victini VMAX,22/163,Rare Holo VMAX
Tepig,23/163,Common
Pignite,24/163,Uncommon
Emboar,25/163,Rare Holo
Heatmor,26/163,Uncommon
Salandit,27/163,Common
Salazzle,28/163,Rare
Sizzlipede,29/163,Common
Centiskorch,30/163,Rare
Horsea,31/163,Common
Seadra,32/163,Uncommon
Kingdra,33/163,Rare Holo
Galarian Mr. Mime,34/163,Common
Galarian Mr. Rime,35/163,Rare
Remoraid,36/163,Common
Octillery,37/163,Rare Holo
Corphish,38/163,Common
Crawdaunt,39/163,Uncommon
Empoleon V,40/163,Rare Holo V
Frillish,41/163,Common
Jellicent,42/163,Rare
Bruxish,43/163,Uncommon
Electabuzz,44/163,Common
Electivire,45/163,Rare
Shinx,46/163,Common
Luxio,47/163,Uncommon
Luxray,48/163,Rare Holo
Pachirisu,49/163,Common
Tapu Koko V,50/163,Rare Holo V
Tapu Koko VMAX,51/163,Rare Holo VMAX
Yamper,52/163,Common
Boltund,53/163,Rare
Galarian Slowpoke,54/163,Common
Spoink,55/163,Common
Grumpig,56/163,Uncommon
Baltoy,57/163,Common
Claydol,58/163,Rare
Chimecho,59/163,Common
Espurr,60/163,Common
Meowstic,61/163,Rare Holo
Mimikyu V,62/163,Rare Holo V
Necrozma V,63/163,Rare Holo V
Dottler,64/163,Uncommon
Orbeetle,65/163,Rare Holo
Mankey,66/163,Common
Primeape,67/163,Rare
Onix,68/163,Common
Cubone,69/163,Common
Marowak,70/163,Rare
Gligar,71/163,Common
Gliscor,72/163,Uncommon
Timburr,73/163,Common
Gurdurr,74/163,Uncommon
Conkeldurr,75/163,Rare
Mienfoo,76/163,Common
Mienshao,77/163,Rare
Rolycoly,78/163,Common
Carkol,79/163,Uncommon
Coalossal,80/163,Rare Holo
Silicobra,81/163,Common
Sandaconda,82/163,Rare Holo
Falinks,83/163,Rare
Stonjourner,84/163,Rare
Single Strike Urshifu V,85/163,Rare Holo V
Single Strike Urshifu VMAX,86/163,Rare Holo VMAX
Rapid Strike Urshifu V,87/163,Rare Holo V
Rapid Strike Urshifu VMAX,88/163,Rare Holo VMAX
Zubat,89/163,Common
Golbat,90/163,Uncommon
Crobat,91/163,Rare Holo
Galarian Slowbro,92/163,Rare
Murkrow,93/163,Common
Honchkrow,94/163,Uncommon
Houndour,95/163,Common
Houndoom,96/163,Rare Holo
Tyranitar V,97/163,Rare Holo V
Morpeko,98/163,Uncommon
Steelix,99/163,Rare Holo
Mawile,100/163,Common
Bronzor,101/163,Common
Bronzong,102/163,Rare Holo
Pawniard,103/163,Common
Bisharp,104/163,Uncommon
Honedge,105/163,Common
Doublade,106/163,Uncommon
Aegislash,107/163,Rare Holo
Aegislash,108/163,Rare
Corviknight V,109/163,Rare Holo V
Corviknight VMAX,110/163,Rare Holo VMAX
Spearow,111/163,Common
Fearow,112/163,Uncommon
Lickitung,113/163,Common
Lickilicky,114/163,Rare
Glameow,115/163,Common
Purugly,116/163,Uncommon
Stoutland V,117/163,Rare Holo V
Bouffalant,118/163,Uncommon
Drampa,119/163,Rare
Indeedee,120/163,Uncommon
Bruno,121/163,Uncommon
Camping Gear,122/163,Uncommon
Cheryl,123/163,Uncommon
Energy Recycler,124/163,Uncommon
Escape Rope,125/163,Uncommon
Exp. Share,126/163,Uncommon
Fan of Waves,127/163,Uncommon
Korrina's Focus,128/163,Uncommon
Level Ball,129/163,Uncommon
Phoebe,130/163,Uncommon
Rapid Strike Scroll of Swirls,131/163,Uncommon
Rapid Strike Style Mustard,132/163,Uncommon
Single Strike Scroll of Scorn,133/163,Uncommon
Single Strike Style Mustard,134/163,Uncommon
Sordward & Shielbert,135/163,Uncommon
Tool Jammer,136/163,Uncommon
Tower of Darkness,137/163,Uncommon
Tower of Waters,138/163,Uncommon
Urn of Vitality,139/163,Uncommon
Rapid Strike Energy,140/163,Uncommon
Single Strike Energy,141/163,Uncommon
Kricketune V,142/163,Rare Ultra
Flapple V,143/163,Rare Ultra
Victini V,144/163,Rare Ultra
Empoleon V,145/163,Rare Ultra
Empoleon V,146/163,Rare Ultra
Tapu Koko V,147/163,Rare Ultra
Mimikyu V,148/163,Rare Ultra
Necrozma V,149/163,Rare Ultra
Single Strike Urshifu V,150/163,Rare Ultra
Single Strike Urshifu V,151/163,Rare Ultra
Rapid Strike Urshifu V,152/163,Rare Ultra
Rapid Strike Urshifu V,153/163,Rare Ultra
Tyranitar V,154/163,Rare Ultra
Tyranitar V,155/163,Rare Ultra
Corviknight V,156/163,Rare Ultra
Stoutland V,157/163,Rare Ultra
Bruno,158/163,Rare Ultra
Cheryl,159/163,Rare Ultra
Korrina's Focus,160/163,Rare Ultra
Phoebe,161/163,Rare Ultra
Rapid Strike Style Mustard,162/163,Rare Ultra
Single Strike Style Mustard,163/163,Rare Ultra
Flapple VMAX,164/163,Rare Rainbow
Victini VMAX,165/163,Rare Rainbow
Tapu Koko VMAX,166/163,Rare Rainbow
Single Strike Urshifu VMAX,167/163,Rare Rainbow
Single Strike Urshifu VMAX,168/163,Rare Rainbow
Rapid Strike Urshifu VMAX,169/163,Rare Rainbow
Rapid Strike Urshifu VMAX,170/163,Rare Rainbow
Corviknight VMAX,171/163,Rare Rainbow
Bruno,172/163,Rare Rainbow
Cheryl,173/163,Rare Rainbow
Korrina's Focus,174/163,Rare Rainbow
Phoebe,175/163,Rare Rainbow
Rapid Strike Style Mustard,176/163,Rare Rainbow
Single Strike Style Mustard,177/163,Rare Rainbow
Octillery,178/163,Rare Secret
Houndoom,179/163,Rare Secret
Exp. Share,180/163,Rare Secret
Level Ball,181/163,Rare Secret
Rapid Strike Energy,182/163,Rare Secret
Single Strike Energy,183/163,Rare Secret
