Name,Number,Rarity
Ho-Oh,1/25,Rare
Reshiram,2/25,Rare
Kyogre,3/25,Rare
Palkia,4/25,Rare
Pikachu,5/25,Rare Holo
Flying Pikachu V,6/25,Rare Holo V
Flying Pikachu VMAX,7/25,Rare Holo VMAX
Surfing Pikachu V,8/25,Rare Holo V
Surfing Pikachu VMAX,9/25,Rare Holo VMAX
Zekrom,10/25,Rare
Mew,11/25,Rare Holo
Xerneas,12/25,Rare
Cosmog,13/25,Rare
Cosmoem,14/25,Rare
Lunala,15/25,Rare Holo
Zacian V,16/25,Rare Holo V
Groudon,17/25,Rare
Zamazenta V,18/25,Rare Holo V
Yveltal,19/25,Rare
Dialga,20/25,Rare
Solgaleo,21/25,Rare Holo
Lugia,22/25,Rare
Professor's Research (Professor Oak),23/25,Rare Holo
Professor's Research (Professor Oak),24/25,Rare Ultra
Mew,25/25,Rare Holo
