Name,Number,Rarity
Weedle,1/198,Common
Kakuna,2/198,Uncommon
Beedrill,3/198,Rare Holo
Ledyba,4/198,Common
Ledian,5/198,Uncommon
Heracross,6/198,Common
Celebi V,7/198,Rare Holo V
Celebi VMAX,8/198,Rare Holo VMAX
Snover,9/198,Common
Abomasnow,10/198,Rare
Deerling,11/198,Common
Sawsbuck,12/198,Rare
Bounsweet,13/198,Common
Steenee,14/198,Uncommon
Tsareena,15/198,Rare
Grookey,16/198,Common
Thwackey,17/198,Uncommon
Rillaboom,18/198,Rare Holo
Zarude,19/198,Rare Holo
Blaziken V,20/198,Rare Holo V
Blaziken VMAX,21/198,Rare Holo VMAX
Castform Sunny Form,22/198,Common
Larvesta,23/198,Common
Volcarona,24/198,Rare
Volcanion V,25/198,Rare Holo V
Scorbunny,26/198,Common
Raboot,27/198,Uncommon
Cinderace,28/198,Rare Holo
Lapras,29/198,Common
Sneasel,30/198,Common
Weavile,31/198,Rare Holo
Delibird,32/198,Common
Castform Rainy Form,33/198,Common
Castform Snowy Form,34/198,Common
Snorunt,35/198,Common
Froslass,36/198,Rare Holo
Spheal,37/198,Common
Sealeo,38/198,Uncommon
Walrein,39/198,Rare
Tapu Fini,40/198,Rare Holo
Sobble,41/198,Common
Drizzile,42/198,Uncommon
Inteleon,43/198,Rare Holo
Rapid Strike Urshifu,44/198,Rare Holo
Ice Rider Calyrex V,45/198,Rare Holo V
Ice Rider Calyrex VMAX,46/198,Rare Holo VMAX
Mareep,47/198,Common
Flaaffy,48/198,Uncommon
Ampharos,49/198,Rare
Blitzle,50/198,Common
Zebstrika,51/198,Rare
Thundurus,52/198,Rare Holo
Zeraora V,53/198,Rare Holo V
Galarian Slowpoke,54/198,Common
Gastly,55/198,Common
Haunter,56/198,Uncommon
Gengar,57/198,Rare Holo
Galarian Articuno V,58/198,Rare Holo V
Ralts,59/198,Common
Kirlia,60/198,Uncommon
Gardevoir,61/198,Rare Holo
Shuppet,62/198,Common
Banette,63/198,Rare
Cresselia,64/198,Rare Holo
Golett,65/198,Common
Golurk,66/198,Rare
Swirlix,67/198,Common
Slurpuff,68/198,Rare
Inkay,69/198,Common
Malamar,70/198,Rare
Hatenna,71/198,Common
Hattrem,72/198,Uncommon
Hatterene,73/198,Rare Holo
Shadow Rider Calyrex V,74/198,Rare Holo V
Shadow Rider Calyrex VMAX,75/198,Rare Holo VMAX
Diglett,76/198,Common
Dugtrio,77/198,Rare
Galarian Farfetch'd,78/198,Common
Galarian Sirfetch'd,79/198,Rare
Galarian Zapdos V,80/198,Rare Holo V
Gallade,81/198,Rare
Galarian Yamask,82/198,Common
Galarian Runerigus,83/198,Rare Holo
Crabrawler,84/198,Common
Crabominable,85/198,Uncommon
Rockruff,86/198,Common
Lycanroc,87/198,Rare Holo
Passimian,88/198,Rare
Sandaconda V,89/198,Rare Holo V
Sandaconda VMAX,90/198,Rare Holo VMAX
Clobbopus,91/198,Common
Grapploct,92/198,Rare Holo
Kubfu,93/198,Common
Koffing,94/198,Common
Weezing,95/198,Rare
Galarian Weezing,96/198,Rare
Galarian Moltres V,97/198,Rare Holo V
Galarian Slowking,98/198,Rare Holo
Galarian Slowking V,99/198,Rare Holo V
Galarian Slowking VMAX,100/198,Rare Holo VMAX
Qwilfish,101/198,Common
Seviper,102/198,Rare
Spiritomb,103/198,Rare
Liepard V,104/198,Rare Holo V
Venipede,105/198,Common
Whirlipede,106/198,Uncommon
Scolipede,107/198,Rare
Single Strike Urshifu,108/198,Rare Holo
Aron,109/198,Common
Lairon,110/198,Uncommon
Aggron,111/198,Rare
Metagross V,112/198,Rare Holo V
Metagross VMAX,113/198,Rare Holo VMAX
Cobalion,114/198,Rare Holo
Tauros,115/198,Rare Holo
Porygon,116/198,Common
Porygon2,117/198,Uncommon
Porygon-Z,118/198,Rare Holo
Blissey V,119/198,Rare Holo V
Zangoose,120/198,Rare
Castform,121/198,Common
Kecleon,122/198,Rare
Shaymin,123/198,Rare Holo
Tornadus V,124/198,Rare Holo V
Tornadus VMAX,125/198,Rare Holo VMAX
Furfrou,126/198,Common
Skwovet,127/198,Common
Greedent,128/198,Rare Holo
Agatha,129/198,Uncommon
Avery,130/198,Uncommon
Brawly,131/198,Uncommon
Caitlin,132/198,Uncommon
Crushing Gloves,133/198,Uncommon
Doctor,134/198,Uncommon
Dyna Tree Hill,135/198,Uncommon
Echoing Horn,136/198,Uncommon
Expedition Uniform,137/198,Uncommon
Fire-Resistant Gloves,138/198,Uncommon
Flannery,139/198,Uncommon
Fog Crystal,140/198,Uncommon
Galarian Chestplate,141/198,Uncommon
Honey,142/198,Uncommon
Justified Gloves,143/198,Uncommon
Karen's Conviction,144/198,Uncommon
Klara,145/198,Uncommon
Melony,146/198,Uncommon
Old Cemetery,147/198,Uncommon
Path to the Peak,148/198,Uncommon
Peonia,149/198,Uncommon
Peony,150/198,Uncommon
Rapid Strike Scroll of the Skies,151/198,Uncommon
Rugged Helmet,152/198,Uncommon
Siebold,153/198,Uncommon
Single Strike Scroll of Piercing,154/198,Uncommon
Weeding Gloves,155/198,Uncommon
Welcoming Lantern,156/198,Uncommon
Impact Energy,157/198,Uncommon
Lucky Energy,158/198,Uncommon
Spiral Energy,159/198,Uncommon
Celebi V,160/198,Rare Ultra
Blaziken V,161/198,Rare Ultra
Volcanion V,162/198,Rare Ultra
Ice Rider Calyrex V,163/198,Rare Ultra
Ice Rider Calyrex V,164/198,Rare Ultra
Zeraora V,165/198,Rare Ultra
Zeraora V,166/198,Rare Ultra
Galarian Rapidash V,167/198,Rare Ultra
Galarian Rapidash V,168/198,Rare Ultra
Galarian Articuno V,169/198,Rare Ultra
Galarian Articuno V,170/198,Rare Ultra
Shadow Rider Calyrex V,171/198,Rare Ultra
Shadow Rider Calyrex V,172/198,Rare Ultra
Galarian Zapdos V,173/198,Rare Ultra
Galarian Zapdos V,174/198,Rare Ultra
Sandaconda V,175/198,Rare Ultra
Galarian Moltres V,176/198,Rare Ultra
Galarian Moltres V,177/198,Rare Ultra
Galarian Slowking V,178/198,Rare Ultra
Galarian Slowking V,179/198,Rare Ultra
Liepard V,180/198,Rare Ultra
Metagross V,181/198,Rare Ultra
Blissey V,182/198,Rare Ultra
Blissey V,183/198,Rare Ultra
Tornadus V,184/198,Rare Ultra
Tornadus V,185/198,Rare Ultra
Agatha,186/198,Rare Ultra
Avery,187/198,Rare Ultra
Brawly,188/198,Rare Ultra
Caitlin,189/198,Rare Ultra
Doctor,190/198,Rare Ultra
Flannery,191/198,Rare Ultra
Honey,192/198,Rare Ultra
Karen's Conviction,193/198,Rare Ultra
Klara,194/198,Rare Ultra
Melony,195/198,Rare Ultra
Peonia,196/198,Rare Ultra
Peony,197/198,Rare Ultra
Siebold,198/198,Rare Ultra
Celebi VMAX,199/198,Rare Rainbow
Blaziken VMAX,200/198,Rare Rainbow
Blaziken VMAX,201/198,Rare Rainbow
Ice Rider Calyrex VMAX,202/198,Rare Rainbow
Ice Rider Calyrex VMAX,203/198,Rare Rainbow
Shadow Rider Calyrex VMAX,204/198,Rare Rainbow
Shadow Rider Calyrex VMAX,205/198,Rare Rainbow
Sandaconda VMAX,206/198,Rare Rainbow
Galarian Slowking VMAX,207/198,Rare Rainbow
