Name,Number,Rarity
Oddish,1/159,Common
Gloom,2/159,Uncommon
Bellossom,3/159,Rare
Tangela,4/159,Common
Tangrowth,5/159,Rare
Scyther,6/159,Common
Sunkern,7/159,Common
Yanma,8/159,Common
Yanmega,9/159,Rare
Kricketot,10/159,Common
Cherubi,11/159,Common
Carnivine,12/159,Uncommon
Leafeon V,13/159,Rare Holo V
Leafeon VSTAR,14/159,Rare Holo VSTAR
Grubbin,15/159,Common
Zarude,16/159,Rare Holo
Calyrex,17/159,Rare Holo
Charizard V,18/159,Rare Holo V
Charizard VSTAR,19/159,Rare Holo VSTAR
Radiant Charizard,20/159,Radiant Rare
Entei,21/159,Rare Holo
Simisear V,22/159,Rare Holo V
Simisear VSTAR,23/159,Rare Holo VSTAR
Larvesta,24/159,Common
Volcarona,25/159,Rare
Volcanion,26/159,Rare Holo
Salandit,27/159,Common
Salazzle,28/159,Uncommon
Seel,29/159,Common
Galarian Mr. Mime,30/159,Common
Wailmer,31/159,Common
Wailord,32/159,Rare
Corphish,33/159,Common
Snorunt,34/159,Common
Luvdisc,35/159,Common
Kyogre,36/159,Rare Holo
Kyogre V,37/159,Rare Holo V
Glaceon V,38/159,Rare Holo V
Shinx,39/159,Common
Shinx,40/159,Common
Luxio,41/159,Uncommon
Luxio,42/159,Uncommon
Luxray,43/159,Rare
Luxray,44/159,Rare
Rotom V,45/159,Rare Holo V
Rotom VSTAR,46/159,Rare Holo VSTAR
Emolga,47/159,Common
Eelektrik,48/159,Uncommon
Helioptile,49/159,Common
Heliolisk,50/159,Rare
Radiant Charjabug,51/159,Radiant Rare
Zeraora,52/159,Rare
Zeraora V,53/159,Rare Holo V
Zeraora VMAX,54/159,Rare Holo VMAX
Zeraora VSTAR,55/159,Rare Holo VSTAR
Pincurchin,56/159,Uncommon
Exeggcute,57/159,Common
Exeggutor,58/159,Rare
Mewtwo,59/159,Rare Holo
Mew V,60/159,Rare Holo V
Girafarig,61/159,Uncommon
Lunatone,62/159,Uncommon
Dusclops,63/159,Uncommon
Tapu Lele,64/159,Rare Holo
Hatterene V,65/159,Rare Holo V
Hatterene VMAX,66/159,Rare Holo VMAX
Enamorus,67/159,Rare
Graveler,68/159,Uncommon
Solrock,69/159,Uncommon
Baltoy,70/159,Common
Riolu,71/159,Common
Pancham,72/159,Common
Rockruff,73/159,Common
Lycanroc,74/159,Rare
Koffing,75/159,Common
Absol,76/159,Rare Holo
Purrloin,77/159,Common
Liepard,78/159,Rare
Krokorok,79/159,Uncommon
Pangoro,80/159,Rare
Skrelp,81/159,Common
Dragalge,82/159,Rare
Hoopa,83/159,Rare Holo
Galarian Meowth,84/159,Common
Galarian Perrserker,85/159,Rare
Scizor,86/159,Rare
Aron,87/159,Common
Lairon,88/159,Uncommon
Aggron,89/159,Rare Holo
Metang,90/159,Uncommon
Pawniard,91/159,Common
Pawniard,92/159,Common
Bisharp,93/159,Uncommon
Zacian,94/159,Rare Holo
Zacian V,95/159,Rare Holo V
Zacian VSTAR,96/159,Rare Holo VSTAR
Zamazenta,97/159,Rare Holo
Zamazenta V,98/159,Rare Holo V
Zamazenta VSTAR,99/159,Rare Holo VSTAR
Rayquaza V,100/159,Rare Holo V
Rayquaza VMAX,101/159,Rare Holo VMAX
Rayquaza VMAX,102/159,Rare Holo VMAX
Duraludon V,103/159,Rare Holo V
Duraludon VMAX,104/159,Rare Holo VMAX
Radiant Eternatus,105/159,Radiant Rare
Tauros,106/159,Rare
Ditto,107/159,Rare Holo
Eevee V,108/159,Rare Holo V
Snorlax,109/159,Rare
Starly,110/159,Common
Bidoof,111/159,Common
Chatot,112/159,Common
Regigigas V,113/159,Rare Holo V
Regigigas VSTAR,114/159,Rare Holo VSTAR
Shaymin,115/159,Uncommon
Stoutland V,116/159,Rare Holo V
Yungoos,117/159,Common
Gumshoos,118/159,Rare
Oranguru,119/159,Rare
Greedent V,120/159,Rare Holo V
Wooloo,121/159,Common
Dubwool,122/159,Rare
Bea,123/159,Rare Holo
Bede,124/159,Rare Holo
Crushing Hammer,125/159,Uncommon
Digging Duo,126/159,Uncommon
Energy Retrieval,127/159,Common
Energy Search,128/159,Common
Energy Switch,129/159,Uncommon
Friends in Hisui,130/159,Uncommon
Friends in Sinnoh,131/159,Uncommon
Great Ball,132/159,Uncommon
Hop,133/159,Rare Holo
Leon,134/159,Rare Holo
Lost Vacuum,135/159,Uncommon
Nessa,136/159,Rare Holo
Poké Ball,137/159,Common
Pokémon Catcher,138/159,Uncommon
Potion,139/159,Common
Raihan,140/159,Rare Holo
Rare Candy,141/159,Uncommon
Rescue Carrier,142/159,Uncommon
Sky Seal Stone,143/159,Rare Holo
Switch,144/159,Common
Trekking Shoes,145/159,Uncommon
Ultra Ball,146/159,Uncommon
Elesa's Sparkle,147/159,Rare Ultra
Friends in Hisui,148/159,Rare Ultra
Friends in Sinnoh,149/159,Rare Ultra
Professor's Research,150/159,Rare Ultra
Volo,151/159,Rare Ultra
Grass Energy,152/159,Rare Ultra
Fire Energy,153/159,Rare Ultra
Water Energy,154/159,Rare Ultra
Lightning Energy,155/159,Rare Ultra
Psychic Energy,156/159,Rare Ultra
Fighting Energy,157/159,Rare Ultra
Darkness Energy,158/159,Rare Ultra
Metal Energy,159/159,Rare Ultra
Pikachu,160/159,Rare Secret
