Name,Number,Rarity
Butterfree V,1/189,Rare Holo V
Butterfree VMAX,2/189,Rare Holo VMAX
Paras,3/189,Common
Parasect,4/189,Uncommon
Carnivine,5/189,Uncommon
Pansage,6/189,Common
Simisage,7/189,Uncommon
Karrablast,8/189,Common
Shelmet,9/189,Common
Accelgor,10/189,Rare
Rowlet,11/189,Common
Dartrix,12/189,Uncommon
Decidueye,13/189,Rare Holo
Bounsweet,14/189,Common
Steenee,15/189,Uncommon
Tsareena,16/189,Rare
Wimpod,17/189,Common
Golisopod,18/189,Rare Holo
Charizard V,19/189,Rare Holo V
Charizard VMAX,20/189,Rare Holo VMAX
Houndoom V,21/189,Rare Holo V
Torchic,22/189,Common
Combusken,23/189,Uncommon
Blaziken,24/189,Rare Holo
Heatran,25/189,Rare Holo
Pansear,26/189,Common
Simisear,27/189,Uncommon
Galarian Darmanitan,28/189,Rare
Larvesta,29/189,Common
Volcarona,30/189,Rare
Fletchinder,31/189,Uncommon
Talonflame,32/189,Rare
Centiskorch V,33/189,Rare Holo V
Centiskorch VMAX,34/189,Rare Holo VMAX
Galarian Mr. Mime,35/189,Common
Galarian Mr. Rime,36/189,Rare
Suicune,37/189,Rare Holo
Feebas,38/189,Common
Milotic,39/189,Rare Holo
Relicanth,40/189,Uncommon
Panpour,41/189,Common
Simipour,42/189,Uncommon
Galarian Darumaka,43/189,Common
Galarian Darmanitan,44/189,Rare
Vanillite,45/189,Common
Vanillish,46/189,Uncommon
Vanilluxe,47/189,Rare
Cubchoo,48/189,Common
Beartic,49/189,Rare
Wishiwashi,50/189,Common
Mareanie,51/189,Common
Toxapex,52/189,Uncommon
Dracovish,53/189,Rare Holo
Arctovish,54/189,Rare
Mareep,55/189,Common
Flaaffy,56/189,Uncommon
Ampharos,57/189,Rare
Electrike,58/189,Common
Manectric,59/189,Rare
Vikavolt V,60/189,Rare Holo V
Tapu Koko,61/189,Rare Holo
Toxel,62/189,Common
Toxtricity,63/189,Rare Holo
Pincurchin,64/189,Rare Holo
Dracozolt,65/189,Rare
Arctozolt,66/189,Rare Holo
Jigglypuff,67/189,Common
Wigglytuff,68/189,Rare
Mew V,69/189,Rare Holo V
Snubbull,70/189,Common
Granbull,71/189,Rare
Lunatone,72/189,Uncommon
Gothita,73/189,Common
Gothorita,74/189,Uncommon
Gothitelle,75/189,Rare
Golett,76/189,Common
Golurk,77/189,Rare
Dedenne,78/189,Uncommon
Morelull,79/189,Common
Shiinotic,80/189,Uncommon
Mimikyu,81/189,Rare
Sinistea,82/189,Common
Polteageist,83/189,Uncommon
Diglett,84/189,Common
Dugtrio,85/189,Uncommon
Larvitar,86/189,Common
Pupitar,87/189,Uncommon
Tyranitar,88/189,Rare Holo
Trapinch,89/189,Common
Vibrava,90/189,Uncommon
Flygon,91/189,Rare
Solrock,92/189,Uncommon
Hippopotas,93/189,Common
Hippowdon,94/189,Rare
Rhyperior V,95/189,Rare Holo V
Diggersby,96/189,Rare
Passimian,97/189,Common
Galarian Sirfetch'd,98/189,Rare
Galarian Slowbro V,99/189,Rare Holo V
Grimer,100/189,Common
Muk,101/189,Rare
Spinarak,102/189,Common
Ariados,103/189,Uncommon
Crobat V,104/189,Rare Holo V
Darkrai,105/189,Rare Holo
Purrloin,106/189,Common
Liepard,107/189,Rare
Deino,108/189,Common
Zweilous,109/189,Uncommon
Hydreigon,110/189,Rare
Hoopa,111/189,Rare Holo
Nickit,112/189,Common
Thievul,113/189,Rare
Grimmsnarl V,114/189,Rare Holo V
Grimmsnarl VMAX,115/189,Rare Holo VMAX
Eternatus V,116/189,Rare Holo V
Eternatus VMAX,117/189,Rare Holo VMAX
