Name,Number,Rarity
Pinsir,1/203,Rare
Hoppip,2/203,Common
Skiploom,3/203,Uncommon
Jumpluff,4/203,Rare Holo
Seedot,5/203,Common
Tropius,6/203,Rare
Leafeon V,7/203,Rare Holo V
Leafeon VMAX,8/203,Rare Holo VMAX
Petilil,9/203,Common
Lilligant,10/203,Rare
Dwebble,11/203,Common
Crustle,12/203,Uncommon
Trevenant V,13/203,Rare Holo V
Trevenant VMAX,14/203,Rare Holo VMAX
Gossifleur,15/203,Common
Eldegoss,16/203,Rare Holo
Applin,17/203,Common
Flareon VMAX,18/203,Rare Holo VMAX
Entei,19/203,Rare Holo
Victini,20/203,Rare Holo
Volcarona V,21/203,Rare Holo V
Litleo,22/203,Common
Pyroar,23/203,Uncommon
Psyduck,24/203,Common
Golduck,25/203,Uncommon
Tentacool,26/203,Common
Tentacruel,27/203,Uncommon
Gyarados V,28/203,Rare Holo V
Gyarados VMAX,29/203,Rare Holo VMAX
Vaporeon VMAX,30/203,Rare Holo VMAX
Suicune V,31/203,Rare Holo V
Lotad,32/203,Common
Lombre,33/203,Uncommon
Ludicolo,34/203,Rare Holo
Carvanha,35/203,Common
Sharpedo,36/203,Rare
Feebas,37/203,Common
Milotic,38/203,Rare
Luvdisc,39/203,Common
Glaceon V,40/203,Rare Holo V
Glaceon VMAX,41/203,Rare Holo VMAX
Tympole,42/203,Common
Cryogonal,43/203,Common
Bergmite,44/203,Common
Avalugg,45/203,Uncommon
Wishiwashi,46/203,Rare
Eiscue,47/203,Uncommon
Arctovish V,48/203,Rare Holo V
Pikachu,49/203,Common
Raichu,50/203,Rare Holo
Jolteon VMAX,51/203,Rare Holo VMAX
Chinchou,52/203,Common
Lanturn,53/203,Uncommon
Mareep,54/203,Common
Flaaffy,55/203,Uncommon
Ampharos,56/203,Rare
Emolga,57/203,Common
Dracozolt V,58/203,Rare Holo V
Dracozolt VMAX,59/203,Rare Holo VMAX
Regieleki,60/203,Rare Holo
Drowzee,61/203,Common
Hypno,62/203,Uncommon
Galarian Articuno,63/203,Rare Holo
Espeon V,64/203,Rare Holo V
Espeon VMAX,65/203,Rare Holo VMAX
Wobbuffet,66/203,Common
Sableye,67/203,Common
Woobat,68/203,Common
Swoobat,69/203,Uncommon
Golurk V,70/203,Rare Holo V
Flabébé,71/203,Common
Floette,72/203,Uncommon
Florges,73/203,Rare Holo
Sylveon V,74/203,Rare Holo V
Sylveon VMAX,75/203,Rare Holo VMAX
Pumpkaboo,76/203,Common
Gourgeist,77/203,Rare
Cutiefly,78/203,Common
Ribombee,79/203,Uncommon
Marshadow,80/203,Rare Holo
Hitmonchan,81/203,Common
Galarian Zapdos,82/203,Rare Holo
Medicham V,83/203,Rare Holo V
Hippopotas,84/203,Common
Hippowdon,85/203,Uncommon
Roggenrola,86/203,Common
Boldore,87/203,Uncommon
Gigalith,88/203,Rare
Palpitoad,89/203,Uncommon
Seismitoad,90/203,Rare
Lycanroc V,91/203,Rare Holo V
Lycanroc VMAX,92/203,Rare Holo VMAX
Galarian Moltres,93/203,Rare Holo
Umbreon V,94/203,Rare Holo V
Umbreon VMAX,95/203,Rare Holo VMAX
Nuzleaf,96/203,Uncommon
Shiftry,97/203,Rare
Scraggy,98/203,Common
Scrafty,99/203,Uncommon
Garbodor V,100/203,Rare Holo V
Garbodor VMAX,101/203,Rare Holo VMAX
Zorua,102/203,Common
Zoroark,103/203,Rare Holo
Nickit,104/203,Common
Thievul,105/203,Rare
Altaria,106/203,Rare
Bagon,107/203,Common
Shelgon,108/203,Uncommon
Salamence,109/203,Rare Holo
Rayquaza V,110/203,Rare Holo V
Rayquaza VMAX,111/203,Rare Holo VMAX
Dialga,112/203,Rare Holo
Deino,113/203,Common
Zweilous,114/203,Uncommon
Hydreigon,115/203,Rare Holo
Kyurem,116/203,Rare Holo
Noivern V,117/203,Rare Holo V
Zygarde,118/203,Rare Holo
Drampa,119/203,Rare
Flapple,120/203,Rare
Appletun,121/203,Rare
Duraludon V,122/203,Rare Holo V
Duraludon VMAX,123/203,Rare Holo VMAX
Regidrago,124/203,Rare Holo
Eevee,125/203,Common
Teddiursa,126/203,Common
Ursaring,127/203,Uncommon
Smeargle,128/203,Rare
Slakoth,129/203,Common
Vigoroth,130/203,Uncommon
Slaking,131/203,Rare Holo
Swablu,132/203,Common
Lillipup,133/203,Common
Herdier,134/203,Uncommon
Stoutland,135/203,Rare
Rufflet,136/203,Common
Braviary,137/203,Uncommon
Fletchling,138/203,Common
Fletchinder,139/203,Uncommon
Talonflame,140/203,Rare
Aroma Lady,141/203,Uncommon
Boost Shake,142/203,Uncommon
Copycat,143/203,Uncommon
Crystal Cave,144/203,Uncommon
Digging Gloves,145/203,Uncommon
Dream Ball,146/203,Uncommon
Elemental Badge,147/203,Uncommon
Full Face Guard,148/203,Uncommon
Gordie,149/203,Uncommon
Lucky Ice Pop,150/203,Uncommon
Moon & Sun Badge,151/203,Uncommon
Raihan,152/203,Uncommon
Rapid Strike Scroll of the Flying Dragon,153/203,Uncommon
Rescue Carrier,154/203,Uncommon
Ribbon Badge,155/203,Uncommon
Rubber Gloves,156/203,Uncommon
Shopping Center,157/203,Uncommon
Single Strike Scroll of the Fanged Dragon,158/203,Uncommon
Snow Leaf Badge,159/203,Uncommon
Spirit Mask,160/203,Uncommon
Stormy Mountains,161/203,Uncommon
Switching Cups,162/203,Uncommon
Toy Catcher,163/203,Uncommon
Zinnia's Resolve,164/203,Uncommon
Treasure Energy,165/203,Uncommon
Leafeon V,166/203,Rare Ultra
Leafeon V,167/203,Rare Ultra
Trevenant V,168/203,Rare Ultra
Flareon V,169/203,Rare Ultra
Volcarona V,170/203,Rare Ultra
Gyarados V,171/203,Rare Ultra
Vaporeon V,172/203,Rare Ultra
Suicune V,173/203,Rare Ultra
Glaceon V,174/203,Rare Ultra
Glaceon V,175/203,Rare Ultra
Arctovish V,176/203,Rare Ultra
Jolteon V,177/203,Rare Ultra
Dracozolt V,178/203,Rare Ultra
Espeon V,179/203,Rare Ultra
Espeon V,180/203,Rare Ultra
Golurk V,181/203,Rare Ultra
Golurk V,182/203,Rare Ultra
Sylveon V,183/203,Rare Ultra
Sylveon V,184/203,Rare Ultra
Medicham V,185/203,Rare Ultra
Medicham V,186/203,Rare Ultra
Lycanroc V,187/203,Rare Ultra
Umbreon V,188/203,Rare Ultra
Umbreon V,189/203,Rare Ultra
Garbodor V,190/203,Rare Ultra
Dragonite V,191/203,Rare Ultra
Dragonite V,192/203,Rare Ultra
Rayquaza V,193/203,Rare Ultra
Rayquaza V,194/203,Rare Ultra
Noivern V,195/203,Rare Ultra
Noivern V,196/203,Rare Ultra
Duraludon V,197/203,Rare Ultra
Duraludon V,198/203,Rare Ultra
Aroma Lady,199/203,Rare Ultra
Copycat,200/203,Rare Ultra
Gordie,201/203,Rare Ultra
Raihan,202/203,Rare Ultra
Zinnia's Resolve,203/203,Rare Ultra
Leafeon VMAX,204/203,Rare Rainbow
