Name,Number,Rarity
Caterpie,1/264,Common
Metapod,2/264,Uncommon
Butterfree,3/264,Rare Holo
Shroomish,4/264,Common
Breloom,5/264,Uncommon
Breloom V,6/264,Rare Holo V
Pansage,7/264,Common
Simisage,8/264,Uncommon
Sewaddle,9/264,Common
Swadloon,10/264,Uncommon
Leavanny,11/264,Rare
Maractus,12/264,Rare
Shelmet,13/264,Common
Accelgor,14/264,Rare
Virizion,15/264,Rare
Phantump,16/264,Common
Trevenant,17/264,Uncommon
Grubbin,18/264,Common
Dewpider,19/264,Common
Araquanid,20/264,Rare
Tsareena V,21/264,Rare Holo V
Rillaboom V,22/264,Rare Holo V
Rillaboom VMAX,23/264,Rare Holo VMAX
Gossifleur,24/264,Common
Eldegoss,25/264,Uncommon
Appletun V,26/264,Rare Holo V
Zarude,27/264,Uncommon
Vulpix,28/264,Common
Vulpix,29/264,Common
Ninetales,30/264,Uncommon
Ninetales,31/264,Uncommon
Growlithe,32/264,Common
Arcanine,33/264,Rare
Slugma,34/264,Common
Magcargo,35/264,Uncommon
Victini,36/264,Uncommon
Pansear,37/264,Common
Simisear,38/264,Uncommon
Chandelure V,39/264,Rare Holo V
Chandelure VMAX,40/264,Rare Holo VMAX
Heatmor,41/264,Uncommon
Oricorio,42/264,Rare
Cinderace V,43/264,Rare Holo V
Cinderace V,44/264,Rare Holo V
Cinderace VMAX,45/264,Rare Holo VMAX
Sizzlipede,46/264,Common
Sizzlipede,47/264,Common
Centiskorch,48/264,Rare
Centiskorch,49/264,Uncommon
Shellder,50/264,Common
Cloyster,51/264,Rare
Staryu,52/264,Common
Starmie,53/264,Rare Holo
Lapras,54/264,Uncommon
Totodile,55/264,Common
Croconaw,56/264,Uncommon
Feraligatr,57/264,Rare Holo
Marill,58/264,Common
Azumarill,59/264,Rare
Qwilfish,60/264,Common
Mantine,61/264,Common
Mudkip,62/264,Common
Marshtomp,63/264,Uncommon
Swampert,64/264,Rare Holo
Clamperl,65/264,Common
Huntail,66/264,Rare
Gorebyss,67/264,Rare
Panpour,68/264,Common
Simipour,69/264,Uncommon
Basculin,70/264,Common
Galarian Darumaka,71/264,Common
Galarian Darmanitan,72/264,Uncommon
Greninja V,73/264,Rare Holo V
Clauncher,74/264,Common
Clawitzer,75/264,Uncommon
Crabominable V,76/264,Rare Holo V
Pyukumuku,77/264,Uncommon
Inteleon V,78/264,Rare Holo V
Inteleon VMAX,79/264,Rare Holo VMAX
Chewtle,80/264,Common
Drednaw,81/264,Uncommon
Arrokuda,82/264,Common
Barraskewda,83/264,Uncommon
Snom,84/264,Common
Frosmoth,85/264,Uncommon
Pikachu V,86/264,Rare Holo V
Voltorb,87/264,Common
Electrode,88/264,Rare
Plusle,89/264,Common
Minun,90/264,Common
Shinx,91/264,Common
Luxio,92/264,Uncommon
Luxray,93/264,Rare
Rotom,94/264,Common
Tynamo,95/264,Common
Eelektrik,96/264,Uncommon
Eelektross,97/264,Rare
Helioptile,98/264,Common
Heliolisk,99/264,Uncommon
Charjabug,100/264,Uncommon
Vikavolt,101/264,Rare
Zeraora,102/264,Rare
Boltund V,103/264,Rare Holo V
Boltund VMAX,104/264,Rare Holo VMAX
Toxel,105/264,Common
Toxel,106/264,Common
Toxtricity,107/264,Rare Holo
Toxtricity,108/264,Rare Holo
Morpeko,109/264,Common
Jigglypuff,110/264,Common
Wigglytuff,111/264,Uncommon
Jynx,112/264,Common
Mew V,113/264,Rare Holo V
Mew VMAX,114/264,Rare Holo VMAX
Snubbull,115/264,Common
Granbull,116/264,Rare
Galarian Corsola,117/264,Common
Galarian Cursola,118/264,Rare
Mawile,119/264,Common
Deoxys,120/264,Rare Holo
Munna,121/264,Common
Musharna,122/264,Uncommon
Sigilyph,123/264,Common
Meloetta,124/264,Rare
Sandygast,125/264,Common
Palossand,126/264,Rare
Indeedee,127/264,Common
Dreepy,128/264,Common
Drakloak,129/264,Uncommon
Dragapult,130/264,Rare Holo
Sandshrew,131/264,Common
Sandslash,132/264,Uncommon
Mankey,133/264,Common
Primeape,134/264,Uncommon
Geodude,135/264,Common
Graveler,136/264,Uncommon
Golem,137/264,Rare
Onix,138/264,Common
Steelix,139/264,Rare Holo
Gligar,140/264,Common
Gliscor,141/264,Uncommon
Makuhita,142/264,Common
Hariyama,143/264,Uncommon
Baltoy,144/264,Common
Claydol,145/264,Rare
Lucario V,146/264,Rare Holo V
Drilbur,147/264,Common
Landorus,148/264,Rare Holo
Pancham,149/264,Common
Stufful,150/264,Common
Bewear,151/264,Uncommon
Clobbopus,152/264,Common
Grapploct,153/264,Uncommon
Falinks,154/264,Uncommon
Falinks,155/264,Common
Gengar V,156/264,Rare Holo V
Gengar VMAX,157/264,Rare Holo VMAX
Tyranitar V,158/264,Rare Holo V
