Name,Number,Rarity
Oddish,1/196,Common
Gloom,2/196,Uncommon
Vileplume,3/196,Rare Holo
Paras,4/196,Common
Parasect,5/196,Rare
Wurmple,6/196,Common
Silcoon,7/196,Uncommon
Beautifly,8/196,Rare Holo
Cascoon,9/196,Uncommon
Dustox,10/196,Rare
Seedot,11/196,Common
Nuzleaf,12/196,Uncommon
Shiftry,13/196,Rare Holo
Roselia,14/196,Common
Roserade,15/196,Uncommon
Phantump,16/196,Common
Trevenant,17/196,Rare Holo
Blipbug,18/196,Common
Dottler,19/196,Uncommon
Orbeetle,20/196,Rare Holo
Slugma,21/196,Common
Magcargo,22/196,Rare
Torkoal,23/196,Uncommon
Litwick,24/196,Common
Lampent,25/196,Uncommon
Chandelure,26/196,Rare Holo
Delphox V,27/196,Rare Holo V
Litleo,28/196,Common
Pyroar,29/196,Rare Holo
Poliwag,30/196,Common
Poliwhirl,31/196,Uncommon
Politoed,32/196,Rare
Seel,33/196,Common
Dewgong,34/196,Rare
Horsea,35/196,Common
Seadra,36/196,Uncommon
Kingdra,37/196,Rare Holo
Luvdisc,38/196,Common
Shellos,39/196,Common
Finneon,40/196,Common
Lumineon,41/196,Uncommon
Snover,42/196,Common
Abomasnow,43/196,Uncommon
Hisuian Basculin,44/196,Common
Hisuian Basculegion,45/196,Rare Holo
Ducklett,46/196,Common
Swanna,47/196,Uncommon
Kyurem V,48/196,Rare Holo V
Kyurem VMAX,49/196,Rare Holo VMAX
Cramorant,50/196,Rare
Glastrier,51/196,Rare Holo
Pikachu,52/196,Common
Raichu,53/196,Rare
Electrike,54/196,Common
Manectric,55/196,Rare
Magnezone V,56/196,Rare Holo V
Magnezone VSTAR,57/196,Rare Holo VSTAR
Rotom V,58/196,Rare Holo V
Tynamo,59/196,Common
Eelektrik,60/196,Uncommon
Eelektross,61/196,Rare
Clefairy,62/196,Common
Clefable,63/196,Rare
Gastly,64/196,Common
Haunter,65/196,Uncommon
Gengar,66/196,Rare Holo
Mr. Mime,67/196,Rare
Jynx,68/196,Common
Radiant Gardevoir,69/196,Radiant Rare
Sableye,70/196,Rare Holo
