Name,Number,Rarity
Caterpie,1/192,Common
Metapod,2/192,Uncommon
Butterfree,3/192,Rare
Scyther,4/192,Common
Shuckle,5/192,Uncommon
Heracross,6/192,Uncommon
Lotad,7/192,Common
Lombre,8/192,Uncommon
Ludicolo,9/192,Rare
Surskit,10/192,Common
Masquerain,11/192,Uncommon
Snover,12/192,Common
Abomasnow,13/192,Rare
Phantump,14/192,Common
Trevenant,15/192,Rare
Grubbin,16/192,Common
Rillaboom V,17/192,Rare Holo V
Rillaboom VMAX,18/192,Rare Holo VMAX
Eldegoss V,19/192,Rare Holo V
Applin,20/192,Common
Applin,21/192,Common
Flapple,22/192,Rare Holo
Appletun,23/192,Rare Holo
Vulpix,24/192,Common
Ninetales,25/192,Rare
Ninetales V,26/192,Rare Holo V
Growlithe,27/192,Common
Arcanine,28/192,Rare
Magmar,29/192,Common
Magmortar,30/192,Rare
Litwick,31/192,Common
Lampent,32/192,Uncommon
Chandelure,33/192,Rare Holo
Heatmor,34/192,Uncommon
Cinderace V,35/192,Rare Holo V
Cinderace VMAX,36/192,Rare Holo VMAX
Galarian Mr. Mime,37/192,Common
Galarian Mr. Rime,38/192,Rare
Magikarp,39/192,Common
Gyarados,40/192,Rare Holo
Wingull,41/192,Common
Pelipper,42/192,Uncommon
Milotic V,43/192,Rare Holo V
Tympole,44/192,Common
Palpitoad,45/192,Uncommon
Seismitoad,46/192,Rare
Galarian Darumaka,47/192,Common
Galarian Darmanitan,48/192,Rare
Inteleon V,49/192,Rare Holo V
Inteleon VMAX,50/192,Rare Holo VMAX
Cramorant,51/192,Rare
Arrokuda,52/192,Common
Barraskewda,53/192,Rare
Eiscue,54/192,Rare Holo
Eiscue V,55/192,Rare Holo V
Voltorb,56/192,Common
Electrode,57/192,Uncommon
Electabuzz,58/192,Common
Electivire,59/192,Rare
Shinx,60/192,Common
Luxio,61/192,Uncommon
Luxray,62/192,Rare Holo
Helioptile,63/192,Common
Heliolisk,64/192,Uncommon
Charjabug,65/192,Uncommon
Vikavolt,66/192,Rare Holo
Boltund V,67/192,Rare Holo V
Toxel,68/192,Common
Toxtricity,69/192,Rare
Toxtricity V,70/192,Rare Holo V
Toxtricity VMAX,71/192,Rare Holo VMAX
Pincurchin V,72/192,Rare Holo V
Morpeko,73/192,Uncommon
Clefairy,74/192,Common
