Name,Number,Rarity
Yanma,1/72,Common
Yanmega,2/72,Rare
Celebi,3/72,Rare
Cacnea,4/72,Common
Tropius,5/72,Uncommon
Rowlet,6/72,Common
Dartrix,7/72,Uncommon
Decidueye,8/72,Rare Holo
Dhelmise V,9/72,Rare Holo V
Dhelmise VMAX,10/72,Rare Holo VMAX
Grookey,11/72,Common
Thwackey,12/72,Uncommon
Rillaboom,13/72,Rare Holo
Gossifleur,14/72,Common
Eldegoss,15/72,Uncommon
Zarude,16/72,Rare
Reshiram,17/72,Amazing Rare
Cinderace V,18/72,Rare Holo V
Cinderace VMAX,19/72,Rare Holo VMAX
Horsea,20/72,Common
Kyogre,21/72,Amazing Rare
Buizel,22/72,Common
Floatzel,23/72,Uncommon
Manaphy,24/72,Rare
Volcanion,25/72,Rare
Chewtle,26/72,Common
Drednaw,27/72,Rare
Cramorant,28/72,Uncommon
Snom,29/72,Common
Frosmoth,30/72,Rare Holo
Shinx,31/72,Common
Luxio,32/72,Uncommon
Luxray,33/72,Rare Holo
Rotom,34/72,Uncommon
Morpeko,35/72,Common
Morpeko,36/72,Common
Morpeko V,37/72,Rare Holo V
Morpeko VMAX,38/72,Rare Holo VMAX
Indeedee V,39/72,Rare Holo V
Trapinch,40/72,Common
Koffing,41/72,Common
Galarian Weezing,42/72,Rare Holo
Spinarak,43/72,Common
Crobat V,44/72,Rare Holo V
Crobat VMAX,45/72,Rare Holo VMAX
Yveltal,46/72,Amazing Rare
Nickit,47/72,Common
Thievul,48/72,Rare Holo
Cufant,49/72,Common
Ditto V,50/72,Rare Holo V
Ditto VMAX,51/72,Rare Holo VMAX
Eevee,52/72,Common
Greedent V,53/72,Rare Holo V
Cramorant V,54/72,Rare Holo V
Cramorant VMAX,55/72,Rare Holo VMAX
Indeedee,56/72,Rare Holo
Ball Guy,57/72,Uncommon
Boss's Orders,58/72,Rare
Gym Trainer,59/72,Uncommon
Professor's Research,60/72,Rare
Rusted Shield,61/72,Uncommon
Rusted Sword,62/72,Uncommon
Team Yell Towel,63/72,Uncommon
Alcremie V,64/72,Rare Ultra
Ball Guy,65/72,Rare Ultra
Bird Keeper,66/72,Rare Ultra
Cara Liss,67/72,Rare Ultra
Gym Trainer,68/72,Rare Ultra
Piers,69/72,Rare Ultra
Poké Kid,70/72,Rare Ultra
Rose,71/72,Rare Ultra
Skyla,72/72,Rare Ultra
Alcremie VMAX,73/72,Rare Rainbow
