Name,Number,Rarity
Venonat,1/195,Common
Venomoth,2/195,Uncommon
Spinarak,3/195,Common
Ariados,4/195,Rare Holo
Sunkern,5/195,Common
Sunflora,6/195,Uncommon
Serperior V,7/195,Rare Holo V
Serperior VSTAR,8/195,Rare Holo VSTAR
Petilil,9/195,Common
Hisuian Lilligant,10/195,Rare
Foongus,11/195,Common
Amoonguss,12/195,Rare
Durant,13/195,Common
Virizion,14/195,Rare
Chesnaught V,15/195,Rare Holo V
Radiant Tsareena,16/195,Radiant Rare
Vulpix,17/195,Common
Ninetales,18/195,Uncommon
Growlithe,19/195,Common
Arcanine,20/195,Rare
Ponyta,21/195,Common
Rapidash,22/195,Rare Holo
Victini,23/195,Rare
Reshiram V,24/195,Rare Holo V
Fennekin,25/195,Common
Braixen,26/195,Uncommon
Delphox,27/195,Rare
Fletchinder,28/195,Uncommon
Talonflame,29/195,Rare
Litten,30/195,Common
Torracat,31/195,Uncommon
Incineroar,32/195,Rare
Alolan Vulpix V,33/195,Rare Holo V
Alolan Vulpix VSTAR,34/195,Rare Holo VSTAR
Omastar V,35/195,Rare Holo V
Articuno,36/195,Rare Holo
Wailmer,37/195,Common
Wailord,38/195,Uncommon
Feebas,39/195,Common
Milotic,40/195,Rare
Snorunt,41/195,Common
Glalie,42/195,Uncommon
Froslass,43/195,Rare
Relicanth,44/195,Common
Phione,45/195,Rare
Keldeo,46/195,Rare
Dewpider,47/195,Common
Araquanid,48/195,Uncommon
Pikachu,49/195,Common
Raichu,50/195,Uncommon
Chinchou,51/195,Common
Lanturn,52/195,Uncommon
Rotom,53/195,Common
Emolga,54/195,Common
Stunfisk,55/195,Common
Zeraora,56/195,Rare
Regieleki V,57/195,Rare Holo V
Regieleki VMAX,58/195,Rare Holo VMAX
Radiant Alakazam,59/195,Radiant Rare
Drowzee,60/195,Common
Hypno,61/195,Uncommon
Jynx,62/195,Uncommon
Misdreavus,63/195,Common
Mismagius,64/195,Rare
Unown V,65/195,Rare Holo V
Unown VSTAR,66/195,Rare Holo VSTAR
Ralts,67/195,Common
Kirlia,68/195,Uncommon
Gardevoir,69/195,Rare
Mawile V,70/195,Rare Holo V
Mawile VSTAR,71/195,Rare Holo VSTAR
Meditite,72/195,Common
Medicham,73/195,Rare Holo
Chimecho,74/195,Common
Sigilyph,75/195,Uncommon
Solosis,76/195,Common
Duosion,77/195,Uncommon
Reuniclus,78/195,Rare Holo
Elgyem,79/195,Common
Beheeyem,80/195,Uncommon
Espurr,81/195,Common
Meowstic,82/195,Uncommon
Swirlix,83/195,Common
Slurpuff,84/195,Uncommon
Dedenne,85/195,Uncommon
Indeedee,86/195,Common
Dreepy,87/195,Common
Drakloak,88/195,Uncommon
Dragapult,89/195,Rare Holo
Hisuian Arcanine V,90/195,Rare Holo V
Phanpy,91/195,Common
Donphan,92/195,Uncommon
Baltoy,93/195,Common
Claydol,94/195,Uncommon
Anorith,95/195,Uncommon
Armaldo,96/195,Rare
Terrakion,97/195,Rare Holo
Hawlucha,98/195,Common
Sandygast,99/195,Common
Palossand,100/195,Uncommon
Stonjourner,101/195,Uncommon
Ursaluna V,102/195,Rare Holo V
Zubat,103/195,Common
Golbat,104/195,Uncommon
Crobat,105/195,Rare Holo
Murkrow,106/195,Common
Honchkrow,107/195,Uncommon
Skuntank V,108/195,Rare Holo V
Croagunk,109/195,Common
Toxicroak,110/195,Uncommon
Sandile,111/195,Common
Krokorok,112/195,Uncommon
Krookodile,113/195,Rare Holo
Mareanie,114/195,Common
Toxapex,115/195,Uncommon
Morpeko,116/195,Uncommon
Beldum,117/195,Common
Metang,118/195,Uncommon
Metagross,119/195,Rare Holo
Radiant Jirachi,120/195,Radiant Rare
Ferroseed,121/195,Common
Ferrothorn,122/195,Uncommon
Klink,123/195,Common
Klang,124/195,Uncommon
Klinklang,125/195,Rare
Cobalion,126/195,Rare
Togedemaru,127/195,Common
Magearna V,128/195,Rare Holo V
Dratini,129/195,Common
Dragonair,130/195,Uncommon
Dragonite,131/195,Rare Holo
Noibat,132/195,Common
Noivern,133/195,Rare
Zygarde,134/195,Rare
Regidrago V,135/195,Rare Holo V
Regidrago VSTAR,136/195,Rare Holo VSTAR
Smeargle,137/195,Common
Lugia V,138/195,Rare Holo V
Lugia VSTAR,139/195,Rare Holo VSTAR
Ho-Oh V,140/195,Rare Holo V
Spinda,141/195,Common
Swablu,142/195,Common
Altaria,143/195,Uncommon
Buneary,144/195,Common
Lopunny,145/195,Uncommon
Archen,146/195,Uncommon
Archeops,147/195,Rare Holo
Rufflet,148/195,Common
Hisuian Braviary,149/195,Rare
Fletchling,150/195,Common
Brandon,151/195,Uncommon
Candice,152/195,Uncommon
Capturing Aroma,153/195,Uncommon
Earthen Seal Stone,154/195,Rare Holo
Emergency Jelly,155/195,Uncommon
Forest Seal Stone,156/195,Rare Holo
Furisode Girl,157/195,Uncommon
Gym Trainer,158/195,Uncommon
Lance,159/195,Uncommon
Leafy Camo Poncho,160/195,Uncommon
Primordial Altar,161/195,Uncommon
Professor Laventon,162/195,Uncommon
Quad Stone,163/195,Uncommon
Serena,164/195,Uncommon
Unidentified Fossil,165/195,Uncommon
Wallace,166/195,Uncommon
Worker,167/195,Uncommon
Regenerative Energy,168/195,Uncommon
V Guard Energy,169/195,Uncommon
Serperior V,170/195,Rare Ultra
Chesnaught V,171/195,Rare Ultra
Reshiram V,172/195,Rare Ultra
Alolan Vulpix V,173/195,Rare Ultra
Omastar V,174/195,Rare Ultra
Regieleki V,175/195,Rare Ultra
Unown V,176/195,Rare Ultra
Unown V,177/195,Rare Ultra
Mawile V,178/195,Rare Ultra
Hisuian Arcanine V,179/195,Rare Ultra
Skuntank V,180/195,Rare Ultra
Skuntank V,181/195,Rare Ultra
