Name,Number,Rarity
Celebi V,1/202,Rare Holo V
Roselia,2/202,Common
Roselia,3/202,Common
Roserade,4/202,Rare
Cottonee,5/202,Common
Whimsicott,6/202,Rare
Maractus,7/202,Common
Durant,8/202,Rare
Dhelmise V,9/202,Rare Holo V
Grookey,10/202,Common
Grookey,11/202,Common
Thwackey,12/202,Uncommon
Thwackey,13/202,Uncommon
Rillaboom,14/202,Rare Holo
Rillaboom,15/202,Rare
Blipbug,16/202,Common
Blipbug,17/202,Common
Dottler,18/202,Uncommon
Orbeetle,19/202,Rare
Gossifleur,20/202,Common
Eldegoss,21/202,Uncommon
Vulpix,22/202,Common
Ninetales,23/202,Rare
Torkoal V,24/202,Rare Holo V
Victini V,25/202,Rare Holo V
Heatmor,26/202,Uncommon
Salandit,27/202,Common
Salazzle,28/202,Uncommon
Turtonator,29/202,Rare
Scorbunny,30/202,Common
Scorbunny,31/202,Common
Raboot,32/202,Uncommon
Raboot,33/202,Uncommon
Cinderace,34/202,Rare Holo
Cinderace,35/202,Rare Holo
Cinderace,36/202,Rare
Sizzlipede,37/202,Common
Sizzlipede,38/202,Common
Centiskorch,39/202,Rare
Shellder,40/202,Common
Cloyster,41/202,Rare
Krabby,42/202,Common
Krabby,43/202,Common
Kingler,44/202,Uncommon
Goldeen,45/202,Common
Goldeen,46/202,Common
Seaking,47/202,Uncommon
Lapras,48/202,Rare
Lapras V,49/202,Rare Holo V
Lapras VMAX,50/202,Rare Holo VMAX
Qwilfish,51/202,Uncommon
Mantine,52/202,Uncommon
Keldeo V,53/202,Rare Holo V
Sobble,54/202,Common
Sobble,55/202,Common
Drizzile,56/202,Uncommon
Drizzile,57/202,Uncommon
Inteleon,58/202,Rare Holo
Inteleon,59/202,Rare
Chewtle,60/202,Common
Drednaw,61/202,Rare
Cramorant,62/202,Rare
Snom,63/202,Common
Frosmoth,64/202,Rare Holo
Pikachu,65/202,Common
Raichu,66/202,Rare
Chinchou,67/202,Common
Chinchou,68/202,Common
Lanturn,69/202,Rare
Joltik,70/202,Common
Galvantula,71/202,Uncommon
Tapu Koko V,72/202,Rare Holo V
Yamper,73/202,Common
Yamper,74/202,Common
Boltund,75/202,Rare Holo
Boltund,76/202,Rare Holo
Pincurchin,77/202,Common
Morpeko,78/202,Rare
Morpeko V,79/202,Rare Holo V
Morpeko VMAX,80/202,Rare Holo VMAX
Galarian Ponyta,81/202,Common
Galarian Rapidash,82/202,Rare
Gastly,83/202,Common
Haunter,84/202,Uncommon
Gengar,85/202,Rare Holo
Wobbuffet V,86/202,Rare Holo V
Munna,87/202,Common
Musharna,88/202,Rare
Sinistea,89/202,Common
Polteageist,90/202,Rare
Indeedee V,91/202,Rare Holo V
Diglett,92/202,Common
Dugtrio,93/202,Uncommon
Hitmonlee,94/202,Uncommon
Hitmonchan,95/202,Uncommon
Rhyhorn,96/202,Common
Rhyhorn,97/202,Common
Rhydon,98/202,Uncommon
Rhyperior,99/202,Rare Holo
Sudowoodo,100/202,Uncommon
Baltoy,101/202,Common
Baltoy,102/202,Common
Claydol,103/202,Rare
Regirock V,104/202,Rare Holo V
Mudbray,105/202,Common
Mudsdale,106/202,Rare
Silicobra,107/202,Common
Silicobra,108/202,Common
Sandaconda,109/202,Rare
Sandaconda,110/202,Rare Holo
Clobbopus,111/202,Common
Clobbopus,112/202,Common
Grapploct,113/202,Rare
Stonjourner,114/202,Rare
Stonjourner V,115/202,Rare Holo V
