Name,Number,Rarity
Weedle,1/185,Common
Kakuna,2/185,Uncommon
Beedrill,3/185,Rare
Exeggcute,4/185,Common
Exeggutor,5/185,Rare
Yanma,6/185,Common
Yanmega,7/185,Rare
Pineco,8/185,Common
Celebi,9/185,Amazing Rare
Seedot,10/185,Common
Nuzleaf,11/185,Uncommon
Shiftry,12/185,Rare
Nincada,13/185,Common
Ninjask,14/185,Rare
Shaymin,15/185,Rare Holo
Genesect,16/185,Rare Holo
Skiddo,17/185,Common
Gogoat,18/185,Uncommon
Dhelmise,19/185,Uncommon
Orbeetle V,20/185,Rare Holo V
Orbeetle VMAX,21/185,Rare Holo VMAX
Zarude V,22/185,Rare Holo V
Charmander,23/185,Common
Charmeleon,24/185,Uncommon
Charizard,25/185,Rare
Flareon,26/185,Rare
Slugma,27/185,Common
Magcargo,28/185,Uncommon
Talonflame V,29/185,Rare Holo V
Vaporeon,30/185,Rare
Wailmer,31/185,Common
Wailord,32/185,Rare Holo
Oshawott,33/185,Common
Dewott,34/185,Uncommon
Samurott,35/185,Rare
Galarian Darmanitan V,36/185,Rare Holo V
Galarian Darmanitan VMAX,37/185,Rare Holo VMAX
Chewtle,38/185,Common
Drednaw,39/185,Rare
Cramorant,40/185,Uncommon
Arrokuda,41/185,Common
Barraskewda,42/185,Rare
Pikachu V,43/185,Rare Holo V
Pikachu VMAX,44/185,Rare Holo VMAX
Voltorb,45/185,Common
Electrode,46/185,Rare Holo
Jolteon,47/185,Rare
Zapdos,48/185,Rare Holo
Ampharos V,49/185,Rare Holo V
Raikou,50/185,Amazing Rare
Electrike,51/185,Common
Manectric,52/185,Rare
Blitzle,53/185,Common
Zebstrika,54/185,Uncommon
Joltik,55/185,Common
Galvantula,56/185,Uncommon
Tynamo,57/185,Common
Eelektrik,58/185,Uncommon
Eelektross,59/185,Rare
Zekrom,60/185,Rare Holo
Zeraora,61/185,Rare Holo
Pincurchin,62/185,Uncommon
Clefairy,63/185,Common
Clefable,64/185,Rare
Girafarig,65/185,Uncommon
Shedinja,66/185,Rare
Shuppet,67/185,Common
Banette,68/185,Rare
Duskull,69/185,Common
Dusclops,70/185,Uncommon
Dusknoir,71/185,Rare Holo
Chimecho,72/185,Common
Woobat,73/185,Common
Swoobat,74/185,Uncommon
Cottonee,75/185,Common
Whimsicott,76/185,Rare
Dedenne,77/185,Common
Xerneas,78/185,Rare Holo
Diancie,79/185,Rare Holo
Milcery,80/185,Common
Alcremie,81/185,Rare
Zacian,82/185,Amazing Rare
Wooper,83/185,Common
Quagsire,84/185,Rare
Shuckle,85/185,Uncommon
Phanpy,86/185,Common
Donphan,87/185,Rare
Hitmontop,88/185,Uncommon
Regirock,89/185,Rare Holo
Riolu,90/185,Common
Drilbur,91/185,Common
Terrakion,92/185,Rare
Zygarde,93/185,Rare Holo
Rockruff,94/185,Common
Lycanroc,95/185,Rare
Mudbray,96/185,Common
Mudsdale,97/185,Rare
Coalossal V,98/185,Rare Holo V
Coalossal VMAX,99/185,Rare Holo VMAX
Clobbopus,100/185,Common
Grapploct,101/185,Rare
Zamazenta,102/185,Amazing Rare
Poochyena,103/185,Common
Mightyena,104/185,Uncommon
Sableye,105/185,Uncommon
Drapion V,106/185,Rare Holo V
Sandile,107/185,Common
Krokorok,108/185,Uncommon
Krookodile,109/185,Rare
Trubbish,110/185,Common
Garbodor,111/185,Rare
Galarian Meowth,112/185,Common
Galarian Perrserker,113/185,Rare
Forretress,114/185,Rare
Steelix V,115/185,Rare Holo V
Beldum,116/185,Common
Metang,117/185,Uncommon
Metagross,118/185,Rare
Jirachi,119/185,Amazing Rare
Lucario,120/185,Rare
Dialga,121/185,Rare Holo
Excadrill,122/185,Uncommon
Ferroseed,123/185,Common
Ferrothorn,124/185,Uncommon
Galarian Stunfisk,125/185,Uncommon
Aegislash V,126/185,Rare Holo V
Aegislash VMAX,127/185,Rare Holo VMAX
Magearna,128/185,Rare Holo
Duraludon,129/185,Rare Holo
Eevee,130/185,Common
Snorlax,131/185,Rare Holo
Lugia,132/185,Rare Holo
Taillow,133/185,Common
Swellow,134/185,Uncommon
Whismur,135/185,Common
Loudred,136/185,Uncommon
Exploud,137/185,Rare
Rayquaza,138/185,Amazing Rare
Chatot,139/185,Common
Togekiss V,140/185,Rare Holo V
Togekiss VMAX,141/185,Rare Holo VMAX
Tornadus,142/185,Rare Holo
Pikipek,143/185,Common
Trumbeak,144/185,Uncommon
Toucannon,145/185,Rare
Allister,146/185,Uncommon
Bea,147/185,Uncommon
Beauty,148/185,Uncommon
Cara Liss,149/185,Uncommon
Circhester Bath,150/185,Uncommon
Drone Rotom,151/185,Uncommon
Hero's Medal,152/185,Uncommon
League Staff,153/185,Uncommon
Leon,154/185,Rare Holo
Memory Capsule,155/185,Uncommon
Moomoo Cheese,156/185,Uncommon
Nessa,157/185,Uncommon
Opal,158/185,Uncommon
Rocky Helmet,159/185,Uncommon
Telescopic Sight,160/185,Uncommon
Wyndon Stadium,161/185,Uncommon
Aromatic Grass Energy,162/185,Uncommon
Coating Metal Energy,163/185,Uncommon
Stone Fighting Energy,164/185,Uncommon
Wash Water Energy,165/185,Uncommon
Orbeetle V,166/185,Rare Ultra
Zarude V,167/185,Rare Ultra
Talonflame V,168/185,Rare Ultra
Galarian Darmanitan V,169/185,Rare Ultra
Pikachu V,170/185,Rare Ultra
Ampharos V,171/185,Rare Ultra
Alakazam V,172/185,Rare Ultra
Coalossal V,173/185,Rare Ultra
Galarian Sirfetch'd V,174/185,Rare Ultra
Drapion V,175/185,Rare Ultra
Steelix V,176/185,Rare Ultra
Aegislash V,177/185,Rare Ultra
Togekiss V,178/185,Rare Ultra
Allister,179/185,Rare Ultra
Bea,180/185,Rare Ultra
Beauty,181/185,Rare Ultra
Leon,182/185,Rare Ultra
Nessa,183/185,Rare Ultra
Opal,184/185,Rare Ultra
Pokémon Center Lady,185/185,Rare Ultra
Orbeetle VMAX,186/185,Rare Rainbow
Galarian Darmanitan VMAX,187/185,Rare Rainbow
Pikachu VMAX,188/185,Rare Rainbow
Coalossal VMAX,189/185,Rare Rainbow
Aegislash VMAX,190/185,Rare Rainbow
Togekiss VMAX,191/185,Rare Rainbow
Allister,192/185,Rare Rainbow
Bea,193/185,Rare Rainbow
Beauty,194/185,Rare Rainbow
Leon,195/185,Rare Rainbow
Nessa,196/185,Rare Rainbow
Opal,197/185,Rare Rainbow
Galarian Obstagoon,198/185,Rare Secret
Oranguru,199/185,Rare Secret
Cape of Toughness,200/185,Rare Secret
Hero's Medal,201/185,Rare Secret
Memory Capsule,202/185,Rare Secret
Telescopic Sight,203/185,Rare Secret
