Name,Number,Rarity
Oddish,1/98,Common
Gloom,2/98,Uncommon
Vileplume,3/98,Rare
Bellossom,4/98,Uncommon
Spinarak,5/98,Common
Ariados,6/98,Uncommon
Sceptile-EX,7/98,Rare Holo EX
M Sceptile-EX,8/98,Rare Holo EX
Combee,9/98,Common
Vespiquen,10/98,Uncommon
Vespiquen,11/98,Rare
Virizion,12/98,Rare Holo
Flareon,13/98,Uncommon
Entei,14/98,Rare
Entei,15/98,Rare Holo
Larvesta,16/98,Common
Volcarona,17/98,Rare Holo
Volcarona,18/98,Rare
Magikarp,19/98,Common
Gyarados,20/98,Rare
Gyarados,21/98,Rare Holo
Vaporeon,22/98,Uncommon
Relicanth,23/98,Common
Regice,24/98,Rare
Kyurem-EX,25/98,Rare Holo EX
Jolteon,26/98,Rare Holo
Ampharos-EX,27/98,Rare Holo EX
M Ampharos-EX,28/98,Rare Holo EX
Rotom,29/98,Uncommon
Unown,30/98,Common
Baltoy,31/98,Common
Baltoy,32/98,Common
Claydol,33/98,Rare
Golett,34/98,Common
Golurk,35/98,Rare
Hoopa-EX,36/98,Rare Holo EX
Machamp-EX,37/98,Rare Holo EX
Wooper,38/98,Common
Quagsire,39/98,Common
Regirock,40/98,Rare
Golurk,41/98,Common
Tyranitar-EX,42/98,Rare Holo EX
M Tyranitar-EX,43/98,Rare Holo EX
Sableye,44/98,Uncommon
Inkay,45/98,Common
Malamar,46/98,Common
Beldum,47/98,Common
Metang,48/98,Uncommon
Metagross,49/98,Rare
Metagross,50/98,Rare
Registeel,51/98,Rare
Ralts,52/98,Common
Kirlia,53/98,Uncommon
Gardevoir,54/98,Rare Holo
Cottonee,55/98,Common
Whimsicott,56/98,Uncommon
Giratina-EX,57/98,Rare Holo EX
Goomy,58/98,Common
Sliggoo,59/98,Uncommon
Goodra,60/98,Rare Holo
Meowth,61/98,Common
Persian,62/98,Common
Eevee,63/98,Common
Porygon,64/98,Common
Porygon2,65/98,Uncommon
Porygon-Z,66/98,Rare
Porygon-Z,67/98,Rare Holo
Lugia-EX,68/98,Rare Holo EX
Ace Trainer,69/98,Uncommon
Ampharos Spirit Link,70/98,Uncommon
Eco Arm,71/98,Uncommon
Energy Recycler,72/98,Uncommon
Faded Town,73/98,Uncommon
Forest of Giant Plants,74/98,Uncommon
Hex Maniac,75/98,Uncommon
Hex Maniac,75a/98,Rare Ultra
Level Ball,76/98,Uncommon
Lucky Helmet,77/98,Uncommon
Lysandre,78/98,Uncommon
Paint Roller,79/98,Uncommon
Sceptile Spirit Link,80/98,Uncommon
Tyranitar Spirit Link,81/98,Uncommon
Dangerous Energy,82/98,Uncommon
Flash Energy,83/98,Uncommon
Sceptile-EX,84/98,Rare Ultra
M Sceptile-EX,85/98,Rare Ultra
Kyurem-EX,86/98,Rare Ultra
Ampharos-EX,87/98,Rare Ultra
M Ampharos-EX,88/98,Rare Ultra
Hoopa-EX,89/98,Rare Ultra
Machamp-EX,90/98,Rare Ultra
Tyranitar-EX,91/98,Rare Ultra
M Tyranitar-EX,92/98,Rare Ultra
Giratina-EX,93/98,Rare Ultra
Lugia-EX,94/98,Rare Ultra
Steven,95/98,Rare Ultra
Primal Kyogre-EX,96/98,Rare Secret
Primal Groudon-EX,97/98,Rare Secret
M Rayquaza-EX,98/98,Rare Secret
Energy Retrieval,99/98,Rare Secret
Trainers' Mail,100/98,Rare Secret
