Name,Number,Rarity
Chikorita,1/122,Common
Bayleef,2/122,Uncommon
Meganium,3/122,Rare Holo
Seedot,4/122,Common
Kricketot,5/122,Common
Kricketune,6/122,Uncommon
Petilil,7/122,Common
Lilligant,8/122,Rare
Durant,9/122,Uncommon
Growlithe,10/122,Common
Arcanine,11/122,Uncommon
Numel,12/122,Common
Camerupt,13/122,Rare
Emboar-EX,14/122,Rare Holo EX
Heatmor,15/122,Uncommon
Psyduck,16/122,Common
Golduck,17/122,Rare
Golduck BREAK,18/122,Rare BREAK
Slowpoke,19/122,Common
Slowbro,20/122,Uncommon
Slowking,21/122,Rare Holo
Shellder,22/122,Common
Shellder,23/122,Common
Cloyster,24/122,Uncommon
Staryu,25/122,Common
Gyarados-EX,26/122,Rare Holo EX
M Gyarados-EX,27/122,Rare Holo EX
Lapras,28/122,Uncommon
Corsola,29/122,Common
Suicune,30/122,Rare Holo
Palkia-EX,31/122,Rare Holo EX
Manaphy-EX,32/122,Rare Holo EX
Tympole,33/122,Common
Palpitoad,34/122,Uncommon
Seismitoad,35/122,Rare
Ducklett,36/122,Common
Swanna,37/122,Uncommon
Froakie,38/122,Common
Frogadier,39/122,Uncommon
Greninja,40/122,Rare
Greninja BREAK,41/122,Rare BREAK
Electabuzz,42/122,Common
Electivire,43/122,Uncommon
Shinx,44/122,Common
Luxio,45/122,Uncommon
Luxray,46/122,Rare
Luxray BREAK,47/122,Rare BREAK
Blitzle,48/122,Common
Zebstrika,49/122,Rare
Drowzee,50/122,Common
Hypno,51/122,Rare
Espeon-EX,52/122,Rare Holo EX
Skorupi,53/122,Common
Drapion,54/122,Rare
Sigilyph,55/122,Uncommon
Trubbish,56/122,Common
Garbodor,57/122,Rare Holo
Espurr,58/122,Common
Meowstic,59/122,Rare
Honedge,60/122,Common
Doublade,61/122,Uncommon
Aegislash,62/122,Rare Holo
Skrelp,63/122,Common
Phantump,64/122,Common
Trevenant,65/122,Rare
Trevenant BREAK,66/122,Rare BREAK
Sudowoodo,67/122,Uncommon
Gible,68/122,Common
Gabite,69/122,Uncommon
Garchomp,70/122,Rare Holo
Pancham,71/122,Common
Nuzleaf,72/122,Uncommon
Shiftry,73/122,Rare
Darkrai-EX,74/122,Rare Holo EX
Pangoro,75/122,Rare
Scizor-EX,76/122,Rare Holo EX
M Scizor-EX,77/122,Rare Holo EX
Mawile,78/122,Uncommon
Ferroseed,79/122,Common
Ferrothorn,80/122,Rare
Clefairy,81/122,Common
Clefable,82/122,Rare
Togekiss-EX,83/122,Rare Holo EX
Spritzee,84/122,Common
Aromatisse,85/122,Uncommon
Dragalge,86/122,Rare Holo
Rattata,87/122,Common
Raticate,88/122,Rare
Raticate BREAK,89/122,Rare BREAK
Dunsparce,90/122,Uncommon
Stantler,91/122,Uncommon
Ho-Oh-EX,92/122,Rare Holo EX
Glameow,93/122,Common
Purugly,94/122,Uncommon
Furfrou,95/122,Common
All-Night Party,96/122,Uncommon
Bursting Balloon,97/122,Uncommon
Delinquent,98/122,Uncommon
Delinquent,98a/122,Uncommon
Delinquent,98b/122,Rare Ultra
Fighting Fury Belt,99/122,Uncommon
Great Ball,100/122,Uncommon
Gyarados Spirit Link,101/122,Uncommon
Max Elixir,102/122,Uncommon
Max Potion,103/122,Uncommon
Misty's Determination,104/122,Uncommon
Pokémon Catcher,105/122,Uncommon
Potion,106/122,Uncommon
Professor Sycamore,107/122,Uncommon
Professor Sycamore,107a/122,Uncommon
Psychic's Third Eye,108/122,Uncommon
Puzzle of Time,109/122,Uncommon
Reverse Valley,110/122,Uncommon
Scizor Spirit Link,111/122,Uncommon
Tierno,112/122,Uncommon
Splash Energy,113/122,Uncommon
Gyarados-EX,114/122,Rare Ultra
M Gyarados-EX,115/122,Rare Ultra
Manaphy-EX,116/122,Rare Ultra
Espeon-EX,117/122,Rare Ultra
Darkrai-EX,118/122,Rare Ultra
Scizor-EX,119/122,Rare Ultra
M Scizor-EX,120/122,Rare Ultra
Ho-Oh-EX,121/122,Rare Ultra
Skyla,122/122,Rare Ultra
Gyarados-EX,123/122,Rare Secret
