Name,Number,Rarity
Paras,1/162,Common
Parasect,2/162,Rare
Pinsir,3/162,Uncommon
Cacnea,4/162,Common
Pansage,5/162,Common
Simisage,6/162,Rare
Chespin,7/162,Common
Chespin,8/162,Common
Chespin,9/162,Common
Quilladin,10/162,Uncommon
Chesnaught,11/162,Rare Holo
Chesnaught BREAK,12/162,Rare BREAK
Scatterbug,13/162,Common
Spewpa,14/162,Uncommon
Vivillon,15/162,Rare Holo
Skiddo,16/162,Common
Gogoat,17/162,Uncommon
Cyndaquil,18/162,Common
Quilava,19/162,Uncommon
Typhlosion,20/162,Rare Holo
Houndoom-EX,21/162,Rare Holo EX
M Houndoom-EX,22/162,Rare Holo EX
Pansear,23/162,Common
Simisear,24/162,Rare
Fennekin,25/162,Common
Braixen,26/162,Uncommon
Goldeen,27/162,Common
Seaking,28/162,Uncommon
Staryu,29/162,Common
Starmie,30/162,Uncommon
Remoraid,31/162,Common
Remoraid,32/162,Common
Octillery,33/162,Rare Holo
Glalie-EX,34/162,Rare Holo EX
M Glalie-EX,35/162,Rare Holo EX
Piplup,36/162,Common
Prinplup,37/162,Uncommon
Empoleon,38/162,Rare Holo
Snover,39/162,Common
Abomasnow,40/162,Rare
Panpour,41/162,Common
Simipour,42/162,Rare
Vanillite,43/162,Common
Vanillish,44/162,Uncommon
Vanilluxe,45/162,Rare
Froakie,46/162,Common
Frogadier,47/162,Uncommon
Pikachu,48/162,Common
Raichu,49/162,Rare
Raichu BREAK,50/162,Rare BREAK
Magnemite,51/162,Common
Magnemite,52/162,Common
Magneton,53/162,Uncommon
Magnezone,54/162,Rare Holo
Raikou,55/162,Rare Holo
Stunfisk,56/162,Uncommon
Dedenne,57/162,Uncommon
Gastly,58/162,Common
Haunter,59/162,Uncommon
Gengar,60/162,Rare Holo
Mewtwo-EX,61/162,Rare Holo EX
Mewtwo-EX,62/162,Rare Holo EX
M Mewtwo-EX,63/162,Rare Holo EX
M Mewtwo-EX,64/162,Rare Holo EX
Misdreavus,65/162,Common
Mismagius,66/162,Rare Holo
Wobbuffet,67/162,Uncommon
Ralts,68/162,Common
Kirlia,69/162,Uncommon
Cresselia,70/162,Rare
Woobat,71/162,Common
Swoobat,72/162,Uncommon
Elgyem,73/162,Common
Beheeyem,74/162,Uncommon
Sandshrew,75/162,Common
Sandslash,76/162,Uncommon
Cubone,77/162,Common
Marowak,78/162,Rare
Marowak BREAK,79/162,Rare BREAK
Swinub,80/162,Common
Piloswine,81/162,Uncommon
Mamoswine,82/162,Rare Holo
Hippopotas,83/162,Common
Gallade,84/162,Rare Holo
Meloetta,85/162,Rare Holo
Pancham,86/162,Common
Hawlucha,87/162,Rare
Cacturne,88/162,Uncommon
Zorua,89/162,Common
Zorua,90/162,Common
Zoroark,91/162,Rare Holo
Zoroark BREAK,92/162,Rare BREAK
Inkay,93/162,Common
Yveltal,94/162,Rare Holo
Bronzor,95/162,Common
Bronzong,96/162,Rare
Mr. Mime,97/162,Rare
Snubbull,98/162,Common
Granbull,99/162,Uncommon
Ralts,100/162,Common
Flabébé,101/162,Common
Floette,102/162,Uncommon
Florges,103/162,Rare
Florges BREAK,104/162,Rare BREAK
Spritzee,105/162,Common
Aromatisse,106/162,Rare
Xerneas,107/162,Rare Holo
Axew,108/162,Common
Axew,109/162,Common
Fraxure,110/162,Uncommon
Haxorus,111/162,Rare Holo
Noivern,112/162,Rare
Noivern BREAK,113/162,Rare BREAK
Meowth,114/162,Common
Doduo,115/162,Common
Doduo,116/162,Common
Dodrio,117/162,Rare
Snorlax,118/162,Uncommon
Hoothoot,119/162,Common
Noctowl,120/162,Rare
Teddiursa,121/162,Common
Ursaring,122/162,Uncommon
Smeargle,123/162,Rare
Swablu,124/162,Common
Starly,125/162,Common
Staravia,126/162,Uncommon
Staraptor,127/162,Rare
Chatot,128/162,Rare
Rufflet,129/162,Common
Braviary,130/162,Rare
Noibat,131/162,Common
Noibat,132/162,Common
Assault Vest,133/162,Uncommon
Brigette,134/162,Uncommon
Buddy-Buddy Rescue,135/162,Uncommon
Fisherman,136/162,Uncommon
Float Stone,137/162,Uncommon
Giovanni's Scheme,138/162,Uncommon
Glalie Spirit Link,139/162,Uncommon
Heavy Ball,140/162,Uncommon
Heavy Boots,141/162,Uncommon
Houndoom Spirit Link,142/162,Uncommon
Judge,143/162,Uncommon
Mewtwo Spirit Link,144/162,Uncommon
Parallel City,145/162,Uncommon
Professor's Letter,146/162,Uncommon
Professor's Letter,146a/162,Uncommon
Reserved Ticket,147/162,Uncommon
Skyla,148/162,Uncommon
Super Rod,149/162,Uncommon
Town Map,150/162,Uncommon
Burning Energy,151/162,Uncommon
Rainbow Energy,152/162,Uncommon
Houndoom-EX,153/162,Rare Ultra
M Houndoom-EX,154/162,Rare Ultra
Glalie-EX,155/162,Rare Ultra
M Glalie-EX,156/162,Rare Ultra
Mewtwo-EX,157/162,Rare Ultra
Mewtwo-EX,158/162,Rare Ultra
M Mewtwo-EX,159/162,Rare Ultra
M Mewtwo-EX,160/162,Rare Ultra
Brigette,161/162,Rare Ultra
Giovanni's Scheme,162/162,Rare Ultra
Mewtwo-EX,163/162,Rare Secret
Mewtwo-EX,164/162,Rare Secret
